Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BKEX,0.0,0.0
2019-06-12,BKEX,0.0,0.0
2019-06-13,BKEX,0.0,0.0
2019-06-14,BKEX,0.0,0.0
2019-06-15,BKEX,0.0,0.0
2019-06-16,BKEX,0.0,0.0
2019-06-17,BKEX,0.0,0.0
2019-06-18,BKEX,0.0,0.0
2019-06-19,BKEX,0.0,0.0
2019-06-20,BKEX,0.0,0.0
2019-06-21,BKEX,0.0,0.0
2019-06-22,BKEX,0.0,0.0
2019-06-23,BKEX,0.0,0.0
2019-06-24,BKEX,0.0,0.0
2019-06-25,BKEX,0.0,0.0
2019-06-26,BKEX,0.0,0.0
2019-06-27,BKEX,0.0,0.0
2019-06-28,BKEX,0.0,0.0
2019-06-29,BKEX,0.0,0.0
2019-06-30,BKEX,0.0,0.0
2019-07-01,BKEX,0.0,0.0
2019-07-02,BKEX,0.0,0.0
2019-07-03,BKEX,0.0,0.0
2019-07-04,BKEX,0.0,0.0
2019-07-05,BKEX,0.0,0.0
2019-07-06,BKEX,0.0,0.0
2019-07-07,BKEX,0.0,0.0
2019-07-08,BKEX,0.0,0.0
2019-07-09,BKEX,0.0,0.0
2019-07-10,BKEX,0.0,0.0
2019-07-11,BKEX,0.0,0.0
2019-07-12,BKEX,0.0,0.0
2019-07-13,BKEX,0.0,0.0
2019-07-14,BKEX,0.0,0.0
2019-07-15,BKEX,0.0,0.0
2019-07-16,BKEX,0.0,0.0
2019-07-17,BKEX,0.0,0.0
2019-07-18,BKEX,0.0,0.0
2019-07-19,BKEX,0.0,0.0
2019-07-20,BKEX,0.0,0.0
2019-07-21,BKEX,0.0,0.0
2019-07-22,BKEX,0.0,0.0
2019-07-23,BKEX,0.0,0.0
2019-07-24,BKEX,0.0,0.0
2019-07-25,BKEX,0.0,0.0
2019-07-26,BKEX,0.0,0.0
2019-07-27,BKEX,0.0,0.0
2019-07-28,BKEX,0.0,0.0
2019-07-29,BKEX,0.0,0.0
2019-07-30,BKEX,0.0,0.0
2019-07-31,BKEX,0.0,0.0
2019-08-01,BKEX,0.0,0.0
2019-08-02,BKEX,0.0,0.0
2019-08-03,BKEX,0.0,0.0
2019-08-04,BKEX,0.0,0.0
2019-08-05,BKEX,0.0,0.0
2019-08-06,BKEX,0.0,0.0
2019-08-07,BKEX,0.0,0.0
2019-08-08,BKEX,0.0,0.0
2019-08-09,BKEX,0.0,0.0
2019-08-10,BKEX,0.0,0.0
2019-08-11,BKEX,0.0,0.0
2019-08-12,BKEX,0.0,0.0
2019-08-13,BKEX,0.0,0.0
2019-08-14,BKEX,0.0,0.0
2019-08-15,BKEX,0.0,0.0
2019-08-16,BKEX,0.0,0.0
2019-08-17,BKEX,0.0,0.0
2019-08-18,BKEX,0.0,0.0
2019-08-19,BKEX,0.0,0.0
2019-08-20,BKEX,0.0,0.0
2019-08-21,BKEX,0.0,0.0
2019-08-22,BKEX,0.0,0.0
2019-08-23,BKEX,0.0,0.0
2019-08-24,BKEX,0.0,0.0
2019-08-25,BKEX,0.0,0.0
2019-08-26,BKEX,0.0,0.0
2019-08-27,BKEX,0.0,0.0
2019-08-28,BKEX,0.0,0.0
2019-08-29,BKEX,0.0,0.0
2019-08-30,BKEX,0.0,0.0
2019-08-31,BKEX,0.0,0.0
2019-09-01,BKEX,0.0,0.0
2019-09-02,BKEX,0.0,0.0
2019-09-03,BKEX,0.0,0.0
2019-09-04,BKEX,0.0,0.0
2019-09-05,BKEX,0.0,0.0
2019-09-06,BKEX,0.0,0.0
2019-09-07,BKEX,0.0,0.0
2019-09-08,BKEX,0.0,0.0
2019-09-09,BKEX,0.0,0.0
2019-09-10,BKEX,0.0,0.0
2019-09-11,BKEX,0.0,0.0
2019-09-12,BKEX,0.0,0.0
2019-09-13,BKEX,0.0,0.0
2019-09-14,BKEX,0.0,0.0
2019-09-15,BKEX,0.0,0.0
2019-09-16,BKEX,0.0,0.0
2019-09-17,BKEX,0.0,0.0
2019-09-18,BKEX,0.0,0.0
2019-09-19,BKEX,0.0,0.0
2019-09-20,BKEX,0.0,0.0
2019-09-21,BKEX,0.0,0.0
2019-09-22,BKEX,0.0,0.0
2019-09-23,BKEX,0.0,0.0
2019-09-24,BKEX,0.0,0.0
2019-09-25,BKEX,0.0,0.0
2019-09-26,BKEX,0.0,0.0
2019-09-27,BKEX,0.0,0.0
2019-09-28,BKEX,0.0,0.0
2019-09-29,BKEX,0.0,0.0
2019-09-30,BKEX,0.0,0.0
2019-10-01,BKEX,0.0,0.0
2019-10-02,BKEX,0.0,0.0
2019-10-03,BKEX,0.0,0.0
2019-10-04,BKEX,0.0,0.0
2019-10-05,BKEX,0.0,0.0
2019-10-06,BKEX,0.0,0.0
2019-10-07,BKEX,0.0,0.0
2019-10-08,BKEX,0.0,0.0
2019-10-09,BKEX,0.0,0.0
2019-10-10,BKEX,0.0,0.0
2019-10-11,BKEX,0.0,0.0
2019-10-12,BKEX,0.0,0.0
2019-10-13,BKEX,0.0,0.0
2019-10-14,BKEX,0.0,0.0
2019-10-15,BKEX,0.0,0.0
2019-10-16,BKEX,0.0,0.0
2019-10-17,BKEX,0.0,0.0
2019-10-18,BKEX,0.0,0.0
2019-10-19,BKEX,0.0,0.0
2019-10-20,BKEX,0.0,0.0
2019-10-21,BKEX,0.0,0.0
2019-10-22,BKEX,0.0,0.0
2019-10-23,BKEX,0.0,0.0
2019-10-24,BKEX,0.0,0.0
2019-10-25,BKEX,0.0,0.0
2019-10-26,BKEX,0.0,0.0
2019-10-27,BKEX,0.0,0.0
2019-10-28,BKEX,0.0,0.0
2019-10-29,BKEX,0.0,0.0
2019-10-30,BKEX,0.0,0.0
2019-10-31,BKEX,0.0,0.0
2019-11-01,BKEX,0.0,0.0
2019-11-02,BKEX,0.0,0.0
2019-11-03,BKEX,0.0,0.0
2019-11-04,BKEX,0.0,0.0
2019-11-05,BKEX,0.0,0.0
2019-11-06,BKEX,0.0,0.0
2019-11-07,BKEX,0.0,0.0
2019-11-08,BKEX,0.0,0.0
2019-11-09,BKEX,0.0,0.0
2019-11-10,BKEX,0.0,0.0
2019-11-11,BKEX,0.0,0.0
2019-11-12,BKEX,0.0,0.0
2019-11-13,BKEX,0.0,0.0
2019-11-14,BKEX,0.0,0.0
2019-11-15,BKEX,0.0,0.0
2019-11-16,BKEX,0.0,0.0
2019-11-17,BKEX,0.0,0.0
2019-11-18,BKEX,0.0,0.0
2019-11-19,BKEX,0.0,0.0
2019-11-20,BKEX,0.0,0.0
2019-11-21,BKEX,0.0,0.0
2019-11-22,BKEX,0.0,0.0
2019-11-23,BKEX,0.0,0.0
2019-11-24,BKEX,0.0,0.0
2019-11-25,BKEX,0.0,0.0
2019-11-26,BKEX,0.0,0.0
2019-11-27,BKEX,0.0,0.0
2019-11-28,BKEX,0.0,0.0
2019-11-29,BKEX,0.0,0.0
2019-11-30,BKEX,0.0,0.0
2019-12-01,BKEX,0.0,0.0
2019-12-02,BKEX,0.0,0.0
2019-12-03,BKEX,0.0,0.0
2019-12-04,BKEX,0.0,0.0
2019-12-05,BKEX,0.0,0.0
2019-12-06,BKEX,0.0,0.0
2019-12-07,BKEX,0.0,0.0
2019-12-08,BKEX,0.0,0.0
2019-12-09,BKEX,0.0,0.0
2019-12-10,BKEX,0.0,0.0
2019-12-11,BKEX,0.0,0.0
2019-12-12,BKEX,0.0,0.0
2019-12-13,BKEX,0.0,0.0
2019-12-14,BKEX,0.0,0.0
2019-12-15,BKEX,0.0,0.0
2019-12-16,BKEX,0.0,0.0
2019-12-17,BKEX,0.0,0.0
2019-12-18,BKEX,0.0,0.0
2019-12-19,BKEX,0.0,0.0
2019-12-20,BKEX,0.0,0.0
