Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BTC Markets,0.0,0.0
2019-06-12,BTC Markets,0.0,0.0
2019-06-13,BTC Markets,0.0,0.0
2019-06-14,BTC Markets,0.0,0.0
2019-06-15,BTC Markets,0.0,0.0
2019-06-16,BTC Markets,0.0,0.0
2019-06-17,BTC Markets,0.0,0.0
2019-06-18,BTC Markets,0.0,0.0
2019-06-19,BTC Markets,0.0,0.0
2019-06-20,BTC Markets,0.0,0.0
2019-06-21,BTC Markets,0.0,0.0
2019-06-22,BTC Markets,0.0,0.0
2019-06-23,BTC Markets,0.0,0.0
2019-06-24,BTC Markets,0.0,0.0
2019-06-25,BTC Markets,0.0,0.0
2019-06-26,BTC Markets,0.0,0.0
2019-06-27,BTC Markets,0.0,0.0
2019-06-28,BTC Markets,0.0,0.0
2019-06-29,BTC Markets,0.0,0.0
2019-06-30,BTC Markets,0.0,0.0
2019-07-01,BTC Markets,0.0,0.0
2019-07-02,BTC Markets,0.0,0.0
2019-07-03,BTC Markets,0.0,0.0
2019-07-04,BTC Markets,0.0,0.0
2019-07-05,BTC Markets,0.0,0.0
2019-07-06,BTC Markets,0.0,0.0
2019-07-07,BTC Markets,0.0,0.0
2019-07-08,BTC Markets,0.0,0.0
2019-07-09,BTC Markets,0.0,0.0
2019-07-10,BTC Markets,0.0,0.0
2019-07-11,BTC Markets,0.0,0.0
2019-07-12,BTC Markets,0.0,0.0
2019-07-13,BTC Markets,0.0,0.0
2019-07-14,BTC Markets,0.0,0.0
2019-07-15,BTC Markets,0.0,0.0
2019-07-16,BTC Markets,0.0,0.0
2019-07-17,BTC Markets,0.0,0.0
2019-07-18,BTC Markets,0.0,0.0
2019-07-19,BTC Markets,0.0,0.0
2019-07-20,BTC Markets,0.0,0.0
2019-07-21,BTC Markets,0.0,0.0
2019-07-22,BTC Markets,0.0,0.0
2019-07-23,BTC Markets,0.0,0.0
2019-07-24,BTC Markets,0.0,0.0
2019-07-25,BTC Markets,0.0,0.0
2019-07-26,BTC Markets,0.0,0.0
2019-07-27,BTC Markets,0.0,0.0
2019-07-28,BTC Markets,0.0,0.0
2019-07-29,BTC Markets,0.0,0.0
2019-07-30,BTC Markets,0.0,0.0
2019-07-31,BTC Markets,0.0,0.0
2019-08-01,BTC Markets,0.0,0.0
2019-08-02,BTC Markets,0.0,0.0
2019-08-03,BTC Markets,0.0,0.0
2019-08-04,BTC Markets,0.0,0.0
2019-08-05,BTC Markets,0.0,0.0
2019-08-06,BTC Markets,0.0,0.0
2019-08-07,BTC Markets,0.0,0.0
2019-08-08,BTC Markets,0.0,0.0
2019-08-09,BTC Markets,0.0,0.0
2019-08-10,BTC Markets,0.0,0.0
2019-08-11,BTC Markets,0.0,0.0
2019-08-12,BTC Markets,0.0,0.0
2019-08-13,BTC Markets,0.0,0.0
2019-08-14,BTC Markets,0.0,0.0
2019-08-15,BTC Markets,0.0,0.0
2019-08-16,BTC Markets,0.0,0.0
2019-08-17,BTC Markets,0.0,0.0
2019-08-18,BTC Markets,0.0,0.0
2019-08-19,BTC Markets,0.0,0.0
2019-08-20,BTC Markets,0.0,0.0
2019-08-21,BTC Markets,0.0,0.0
2019-08-22,BTC Markets,0.0,0.0
2019-08-23,BTC Markets,0.0,0.0
2019-08-24,BTC Markets,0.0,0.0
2019-08-25,BTC Markets,0.0,0.0
2019-08-26,BTC Markets,0.0,0.0
2019-08-27,BTC Markets,0.0,0.0
2019-08-28,BTC Markets,0.0,0.0
2019-08-29,BTC Markets,0.0,0.0
2019-08-30,BTC Markets,0.0,0.0
2019-08-31,BTC Markets,0.0,0.0
2019-09-01,BTC Markets,0.0,0.0
2019-09-02,BTC Markets,0.0,0.0
2019-09-03,BTC Markets,0.0,0.0
2019-09-04,BTC Markets,0.0,0.0
2019-09-05,BTC Markets,0.0,0.0
2019-09-06,BTC Markets,0.0,0.0
2019-09-07,BTC Markets,0.0,0.0
2019-09-08,BTC Markets,0.0,0.0
2019-09-09,BTC Markets,0.0,0.0
2019-09-10,BTC Markets,0.0,0.0
2019-09-11,BTC Markets,0.0,0.0
2019-09-12,BTC Markets,0.0,0.0
2019-09-13,BTC Markets,0.0,0.0
2019-09-14,BTC Markets,0.0,0.0
2019-09-15,BTC Markets,0.0,0.0
2019-09-16,BTC Markets,0.0,0.0
2019-09-17,BTC Markets,0.0,0.0
2019-09-18,BTC Markets,0.0,0.0
2019-09-19,BTC Markets,0.0,0.0
2019-09-20,BTC Markets,0.0,0.0
2019-09-21,BTC Markets,0.0,0.0
2019-09-22,BTC Markets,0.0,0.0
2019-09-23,BTC Markets,0.0,0.0
2019-09-24,BTC Markets,0.0,0.0
2019-09-25,BTC Markets,0.0,0.0
2019-09-26,BTC Markets,0.0,0.0
2019-09-27,BTC Markets,0.0,0.0
2019-09-28,BTC Markets,0.0,0.0
2019-09-29,BTC Markets,0.0,0.0
2019-09-30,BTC Markets,0.0,0.0
2019-10-01,BTC Markets,0.0,0.0
2019-10-02,BTC Markets,0.0,0.0
2019-10-03,BTC Markets,0.0,0.0
2019-10-04,BTC Markets,0.0,0.0
2019-10-05,BTC Markets,0.0,0.0
2019-10-06,BTC Markets,0.0,0.0
2019-10-07,BTC Markets,0.0,0.0
2019-10-08,BTC Markets,0.0,0.0
2019-10-09,BTC Markets,0.0,0.0
2019-10-10,BTC Markets,0.0,0.0
2019-10-11,BTC Markets,0.0,0.0
2019-10-12,BTC Markets,0.0,0.0
2019-10-13,BTC Markets,0.0,0.0
2019-10-14,BTC Markets,0.0,0.0
2019-10-15,BTC Markets,0.0,0.0
2019-10-16,BTC Markets,0.0,0.0
2019-10-17,BTC Markets,0.0,0.0
2019-10-18,BTC Markets,0.0,0.0
2019-10-19,BTC Markets,0.0,0.0
2019-10-20,BTC Markets,0.0,0.0
2019-10-21,BTC Markets,0.0,0.0
2019-10-22,BTC Markets,0.0,0.0
2019-10-23,BTC Markets,0.0,0.0
2019-10-24,BTC Markets,0.0,0.0
2019-10-25,BTC Markets,0.0,0.0
2019-10-26,BTC Markets,0.0,0.0
2019-10-27,BTC Markets,0.0,0.0
2019-10-28,BTC Markets,0.0,0.0
2019-10-29,BTC Markets,0.0,0.0
