Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BTCTurk,0.0,0.0
2019-06-12,BTCTurk,0.0,0.0
2019-06-13,BTCTurk,0.0,0.0
2019-06-14,BTCTurk,0.0,0.0
2019-06-15,BTCTurk,0.0,0.0
2019-06-16,BTCTurk,0.0,0.0
2019-06-17,BTCTurk,0.0,0.0
2019-06-18,BTCTurk,0.0,0.0
2019-06-19,BTCTurk,0.0,0.0
2019-06-20,BTCTurk,0.0,0.0
2019-06-21,BTCTurk,0.0,0.0
2019-06-22,BTCTurk,0.0,0.0
2019-06-23,BTCTurk,0.0,0.0
2019-06-24,BTCTurk,0.0,0.0
2019-06-25,BTCTurk,0.0,0.0
2019-06-26,BTCTurk,0.0,0.0
2019-06-27,BTCTurk,0.0,0.0
2019-06-28,BTCTurk,0.0,0.0
2019-06-29,BTCTurk,0.0,0.0
2019-06-30,BTCTurk,0.0,0.0
2019-07-01,BTCTurk,0.0,0.0
2019-07-02,BTCTurk,0.0,0.0
2019-07-03,BTCTurk,0.0,0.0
2019-07-04,BTCTurk,0.0,0.0
2019-07-05,BTCTurk,0.0,0.0
2019-07-06,BTCTurk,0.0,0.0
2019-07-07,BTCTurk,0.0,0.0
2019-07-08,BTCTurk,0.0,0.0
2019-07-09,BTCTurk,0.0,0.0
2019-07-10,BTCTurk,0.0,0.0
2019-07-11,BTCTurk,0.0,0.0
2019-07-12,BTCTurk,0.0,0.0
2019-07-13,BTCTurk,0.0,0.0
2019-07-14,BTCTurk,0.0,0.0
2019-07-15,BTCTurk,0.0,0.0
2019-07-16,BTCTurk,0.0,0.0
2019-07-17,BTCTurk,0.0,0.0
2019-07-18,BTCTurk,0.0,0.0
2019-07-19,BTCTurk,0.0,0.0
2019-07-20,BTCTurk,0.0,0.0
2019-07-21,BTCTurk,0.0,0.0
2019-07-22,BTCTurk,0.0,0.0
2019-07-23,BTCTurk,0.0,0.0
2019-07-24,BTCTurk,0.0,0.0
2019-07-25,BTCTurk,0.0,0.0
2019-07-26,BTCTurk,0.0,0.0
2019-07-27,BTCTurk,0.0,0.0
2019-07-28,BTCTurk,0.0,0.0
2019-07-29,BTCTurk,0.0,0.0
2019-07-30,BTCTurk,0.0,0.0
2019-07-31,BTCTurk,0.0,0.0
2019-08-01,BTCTurk,0.0,0.0
2019-08-02,BTCTurk,0.0,0.0
2019-08-03,BTCTurk,0.0,0.0
2019-08-04,BTCTurk,0.0,0.0
2019-08-05,BTCTurk,0.0,0.0
2019-08-06,BTCTurk,0.0,0.0
2019-08-07,BTCTurk,0.0,0.0
2019-08-08,BTCTurk,0.0,0.0
2019-08-09,BTCTurk,0.0,0.0
2019-08-10,BTCTurk,0.0,0.0
2019-08-11,BTCTurk,0.0,0.0
2019-08-12,BTCTurk,0.0,0.0
2019-08-13,BTCTurk,0.0,0.0
2019-08-14,BTCTurk,0.0,0.0
2019-08-15,BTCTurk,0.0,0.0
2019-08-16,BTCTurk,0.0,0.0
2019-08-17,BTCTurk,0.0,0.0
2019-08-18,BTCTurk,0.0,0.0
2019-08-19,BTCTurk,0.0,0.0
2019-08-20,BTCTurk,0.0,0.0
