Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Binance,0.0,0.0
2019-06-12,Binance,0.0,0.0
2019-06-13,Binance,0.0,0.0
2019-06-14,Binance,0.0,0.0
2019-06-15,Binance,0.0,0.0
2019-06-16,Binance,0.0,0.0
2019-06-17,Binance,0.0,0.0
2019-06-18,Binance,0.0,0.0
2019-06-19,Binance,0.0,0.0
2019-06-20,Binance,0.0,0.0
2019-06-21,Binance,0.0,0.0
2019-06-22,Binance,0.0,0.0
2019-06-23,Binance,0.0,0.0
2019-06-24,Binance,0.0,0.0
2019-06-25,Binance,0.0,0.0
2019-06-26,Binance,0.0,0.0
2019-06-27,Binance,0.0,0.0
2019-06-28,Binance,0.0,0.0
2019-06-29,Binance,0.0,0.0
2019-06-30,Binance,0.0,0.0
2019-07-01,Binance,0.0,0.0
2019-07-02,Binance,0.0,0.0
2019-07-03,Binance,0.0,0.0
2019-07-04,Binance,0.0,0.0
2019-07-05,Binance,0.0,0.0
2019-07-06,Binance,0.0,0.0
2019-07-07,Binance,0.0,0.0
2019-07-08,Binance,0.0,0.0
2019-07-09,Binance,0.0,0.0
2019-07-10,Binance,0.0,0.0
2019-07-11,Binance,0.0,0.0
2019-07-12,Binance,0.0,0.0
2019-07-13,Binance,0.0,0.0
2019-07-14,Binance,0.0,0.0
2019-07-15,Binance,0.0,0.0
2019-07-16,Binance,0.0,0.0
2019-07-17,Binance,0.0,0.0
2019-07-18,Binance,0.0,0.0
2019-07-19,Binance,0.0,0.0
2019-07-20,Binance,0.0,0.0
2019-07-21,Binance,0.0,0.0
2019-07-22,Binance,0.0,0.0
2019-07-23,Binance,0.0,0.0
2019-07-24,Binance,0.0,0.0
2019-07-25,Binance,0.0,0.0
2019-07-26,Binance,0.0,0.0
2019-07-27,Binance,0.0,0.0
2019-07-28,Binance,0.0,0.0
2019-07-29,Binance,0.0,0.0
2019-07-30,Binance,0.0,0.0
2019-07-31,Binance,0.0,0.0
2019-08-01,Binance,0.0,0.0
2019-08-02,Binance,0.0,0.0
2019-08-03,Binance,0.0,0.0
2019-08-04,Binance,0.0,0.0
2019-08-05,Binance,0.0,0.0
2019-08-06,Binance,0.0,0.0
2019-08-07,Binance,0.0,0.0
2019-08-08,Binance,0.0,0.0
2019-08-09,Binance,0.0,0.0
2019-08-10,Binance,0.0,0.0
2019-08-11,Binance,0.0,0.0
2019-08-12,Binance,0.0,0.0
2019-08-13,Binance,0.0,0.0
2019-08-14,Binance,0.0,0.0
2019-08-15,Binance,0.0,0.0
2019-08-16,Binance,0.0,0.0
2019-08-17,Binance,0.0,0.0
2019-08-18,Binance,0.0,0.0
2019-08-19,Binance,0.0,0.0
2019-08-20,Binance,0.0,0.0
2019-08-21,Binance,0.0,0.0
2019-08-22,Binance,0.0,0.0
2019-08-23,Binance,0.0,0.0
2019-08-24,Binance,0.0,0.0
2019-08-25,Binance,0.0,0.0
2019-08-26,Binance,0.0,0.0
2019-08-27,Binance,0.0,0.0
2019-08-28,Binance,0.0,0.0
2019-08-29,Binance,0.0,0.0
2019-08-30,Binance,0.0,0.0
2019-08-31,Binance,0.0,0.0
2019-09-01,Binance,0.0,0.0
2019-09-02,Binance,0.0,0.0
2019-09-03,Binance,0.0,0.0
2019-09-04,Binance,0.0,0.0
2019-09-05,Binance,0.0,0.0
2019-09-06,Binance,0.0,0.0
2019-09-07,Binance,0.0,0.0
2019-09-08,Binance,0.0,0.0
2019-09-09,Binance,0.0,0.0
2019-09-10,Binance,0.0,0.0
2019-09-11,Binance,0.0,0.0
2019-09-12,Binance,0.0,0.0
2019-09-13,Binance,0.0,0.0
2019-09-14,Binance,0.0,0.0
2019-09-15,Binance,0.0,0.0
2019-09-16,Binance,0.0,0.0
2019-09-17,Binance,0.0,0.0
2019-09-18,Binance,0.0,0.0
2019-09-19,Binance,0.0,0.0
2019-09-20,Binance,0.0,0.0
2019-09-21,Binance,0.0,0.0
2019-09-22,Binance,0.0,0.0
2019-09-23,Binance,0.0,0.0
2019-09-24,Binance,0.0,0.0
2019-09-25,Binance,0.0,0.0
2019-09-26,Binance,0.0,0.0
2019-09-27,Binance,0.0,0.0
2019-09-28,Binance,0.0,0.0
2019-09-29,Binance,0.0,0.0
2019-09-30,Binance,0.0,0.0
2019-10-01,Binance,0.0,0.0
2019-10-02,Binance,0.0,0.0
2019-10-03,Binance,0.0,0.0
2019-10-04,Binance,0.0,0.0
2019-10-05,Binance,0.0,0.0
2019-10-06,Binance,0.0,0.0
2019-10-07,Binance,0.0,0.0
2019-10-08,Binance,0.0,0.0
2019-10-09,Binance,0.0,0.0
2019-10-10,Binance,0.0,0.0
2019-10-11,Binance,0.0,0.0
2019-10-12,Binance,0.0,0.0
2019-10-13,Binance,0.0,0.0
2019-10-14,Binance,0.0,0.0
2019-10-15,Binance,0.0,0.0
2019-10-16,Binance,0.0,0.0
2019-10-17,Binance,0.0,0.0
2019-10-18,Binance,0.0,0.0
2019-10-19,Binance,0.0,0.0
2019-10-20,Binance,0.0,0.0
2019-10-21,Binance,0.0,0.0
2019-10-22,Binance,0.0,0.0
2019-10-23,Binance,0.0,0.0
2019-10-24,Binance,0.0,0.0
2019-10-25,Binance,0.0,0.0
2019-10-26,Binance,0.0,0.0
2019-10-27,Binance,0.0,0.0
2019-10-28,Binance,0.0,0.0
2019-10-29,Binance,0.0,0.0
2019-10-30,Binance,0.0,0.0
2019-10-31,Binance,0.0,0.0
2019-11-01,Binance,0.0,0.0
2019-11-02,Binance,0.0,0.0
2019-11-03,Binance,0.0,0.0
2019-11-04,Binance,0.0,0.0
2019-11-05,Binance,0.0,0.0
2019-11-06,Binance,0.0,0.0
2019-11-07,Binance,0.0,0.0
2019-11-08,Binance,0.0,0.0
2019-11-09,Binance,0.0,0.0
2019-11-10,Binance,0.0,0.0
2019-11-11,Binance,0.0,0.0
2019-11-12,Binance,0.0,0.0
2019-11-13,Binance,0.0,0.0
2019-11-14,Binance,0.0,0.0
2019-11-15,Binance,0.0,0.0
2019-11-16,Binance,0.0,0.0
2019-11-17,Binance,0.0,0.0
2019-11-18,Binance,0.0,0.0
