Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BingX,0.0,0.0
2019-06-12,BingX,0.0,0.0
2019-06-13,BingX,0.0,0.0
2019-06-14,BingX,0.0,0.0
2019-06-15,BingX,0.0,0.0
2019-06-16,BingX,0.0,0.0
2019-06-17,BingX,0.0,0.0
2019-06-18,BingX,0.0,0.0
2019-06-19,BingX,0.0,0.0
2019-06-20,BingX,0.0,0.0
2019-06-21,BingX,0.0,0.0
2019-06-22,BingX,0.0,0.0
2019-06-23,BingX,0.0,0.0
2019-06-24,BingX,0.0,0.0
2019-06-25,BingX,0.0,0.0
2019-06-26,BingX,0.0,0.0
2019-06-27,BingX,0.0,0.0
2019-06-28,BingX,0.0,0.0
2019-06-29,BingX,0.0,0.0
2019-06-30,BingX,0.0,0.0
2019-07-01,BingX,0.0,0.0
2019-07-02,BingX,0.0,0.0
2019-07-03,BingX,0.0,0.0
2019-07-04,BingX,0.0,0.0
2019-07-05,BingX,0.0,0.0
2019-07-06,BingX,0.0,0.0
2019-07-07,BingX,0.0,0.0
2019-07-08,BingX,0.0,0.0
2019-07-09,BingX,0.0,0.0
2019-07-10,BingX,0.0,0.0
2019-07-11,BingX,0.0,0.0
2019-07-12,BingX,0.0,0.0
2019-07-13,BingX,0.0,0.0
2019-07-14,BingX,0.0,0.0
2019-07-15,BingX,0.0,0.0
2019-07-16,BingX,0.0,0.0
2019-07-17,BingX,0.0,0.0
2019-07-18,BingX,0.0,0.0
2019-07-19,BingX,0.0,0.0
2019-07-20,BingX,0.0,0.0
2019-07-21,BingX,0.0,0.0
2019-07-22,BingX,0.0,0.0
2019-07-23,BingX,0.0,0.0
2019-07-24,BingX,0.0,0.0
2019-07-25,BingX,0.0,0.0
2019-07-26,BingX,0.0,0.0
2019-07-27,BingX,0.0,0.0
2019-07-28,BingX,0.0,0.0
2019-07-29,BingX,0.0,0.0
2019-07-30,BingX,0.0,0.0
2019-07-31,BingX,0.0,0.0
2019-08-01,BingX,0.0,0.0
2019-08-02,BingX,0.0,0.0
2019-08-03,BingX,0.0,0.0
2019-08-04,BingX,0.0,0.0
2019-08-05,BingX,0.0,0.0
2019-08-06,BingX,0.0,0.0
2019-08-07,BingX,0.0,0.0
2019-08-08,BingX,0.0,0.0
2019-08-09,BingX,0.0,0.0
2019-08-10,BingX,0.0,0.0
2019-08-11,BingX,0.0,0.0
2019-08-12,BingX,0.0,0.0
2019-08-13,BingX,0.0,0.0
2019-08-14,BingX,0.0,0.0
2019-08-15,BingX,0.0,0.0
2019-08-16,BingX,0.0,0.0
2019-08-17,BingX,0.0,0.0
2019-08-18,BingX,0.0,0.0
2019-08-19,BingX,0.0,0.0
2019-08-20,BingX,0.0,0.0
2019-08-21,BingX,0.0,0.0
2019-08-22,BingX,0.0,0.0
2019-08-23,BingX,0.0,0.0
2019-08-24,BingX,0.0,0.0
2019-08-25,BingX,0.0,0.0
2019-08-26,BingX,0.0,0.0
2019-08-27,BingX,0.0,0.0
2019-08-28,BingX,0.0,0.0
2019-08-29,BingX,0.0,0.0
2019-08-30,BingX,0.0,0.0
2019-08-31,BingX,0.0,0.0
2019-09-01,BingX,0.0,0.0
2019-09-02,BingX,0.0,0.0
2019-09-03,BingX,0.0,0.0
2019-09-04,BingX,0.0,0.0
2019-09-05,BingX,0.0,0.0
2019-09-06,BingX,0.0,0.0
2019-09-07,BingX,0.0,0.0
2019-09-08,BingX,0.0,0.0
2019-09-09,BingX,0.0,0.0
2019-09-10,BingX,0.0,0.0
2019-09-11,BingX,0.0,0.0
2019-09-12,BingX,0.0,0.0
2019-09-13,BingX,0.0,0.0
2019-09-14,BingX,0.0,0.0
2019-09-15,BingX,0.0,0.0
2019-09-16,BingX,0.0,0.0
2019-09-17,BingX,0.0,0.0
2019-09-18,BingX,0.0,0.0
2019-09-19,BingX,0.0,0.0
2019-09-20,BingX,0.0,0.0
2019-09-21,BingX,0.0,0.0
2019-09-22,BingX,0.0,0.0
2019-09-23,BingX,0.0,0.0
2019-09-24,BingX,0.0,0.0
2019-09-25,BingX,0.0,0.0
2019-09-26,BingX,0.0,0.0
2019-09-27,BingX,0.0,0.0
2019-09-28,BingX,0.0,0.0
2019-09-29,BingX,0.0,0.0
2019-09-30,BingX,0.0,0.0
2019-10-01,BingX,0.0,0.0
2019-10-02,BingX,0.0,0.0
2019-10-03,BingX,0.0,0.0
2019-10-04,BingX,0.0,0.0
2019-10-05,BingX,0.0,0.0
2019-10-06,BingX,0.0,0.0
2019-10-07,BingX,0.0,0.0
2019-10-08,BingX,0.0,0.0
2019-10-09,BingX,0.0,0.0
2019-10-10,BingX,0.0,0.0
2019-10-11,BingX,0.0,0.0
2019-10-12,BingX,0.0,0.0
2019-10-13,BingX,0.0,0.0
2019-10-14,BingX,0.0,0.0
2019-10-15,BingX,0.0,0.0
2019-10-16,BingX,0.0,0.0
2019-10-17,BingX,0.0,0.0
2019-10-18,BingX,0.0,0.0
2019-10-19,BingX,0.0,0.0
2019-10-20,BingX,0.0,0.0
2019-10-21,BingX,0.0,0.0
2019-10-22,BingX,0.0,0.0
2019-10-23,BingX,0.0,0.0
2019-10-24,BingX,0.0,0.0
2019-10-25,BingX,0.0,0.0
2019-10-26,BingX,0.0,0.0
2019-10-27,BingX,0.0,0.0
2019-10-28,BingX,0.0,0.0
2019-10-29,BingX,0.0,0.0
2019-10-30,BingX,0.0,0.0
2019-10-31,BingX,0.0,0.0
2019-11-01,BingX,0.0,0.0
2019-11-02,BingX,0.0,0.0
2019-11-03,BingX,0.0,0.0
2019-11-04,BingX,0.0,0.0
2019-11-05,BingX,0.0,0.0
2019-11-06,BingX,0.0,0.0
2019-11-07,BingX,0.0,0.0
2019-11-08,BingX,0.0,0.0
2019-11-09,BingX,0.0,0.0
2019-11-10,BingX,0.0,0.0
2019-11-11,BingX,0.0,0.0
2019-11-12,BingX,0.0,0.0
2019-11-13,BingX,0.0,0.0
2019-11-14,BingX,0.0,0.0
2019-11-15,BingX,0.0,0.0
2019-11-16,BingX,0.0,0.0
2019-11-17,BingX,0.0,0.0
2019-11-18,BingX,0.0,0.0
2019-11-19,BingX,0.0,0.0
2019-11-20,BingX,0.0,0.0
2019-11-21,BingX,0.0,0.0
2019-11-22,BingX,0.0,0.0
2019-11-23,BingX,0.0,0.0
2019-11-24,BingX,0.0,0.0
2019-11-25,BingX,0.0,0.0
2019-11-26,BingX,0.0,0.0
2019-11-27,BingX,0.0,0.0
2019-11-28,BingX,0.0,0.0
2019-11-29,BingX,0.0,0.0
2019-11-30,BingX,0.0,0.0
2019-12-01,BingX,0.0,0.0
2019-12-02,BingX,0.0,0.0
2019-12-03,BingX,0.0,0.0
2019-12-04,BingX,0.0,0.0
2019-12-05,BingX,0.0,0.0
2019-12-06,BingX,0.0,0.0
2019-12-07,BingX,0.0,0.0
2019-12-08,BingX,0.0,0.0
2019-12-09,BingX,0.0,0.0
2019-12-10,BingX,0.0,0.0
2019-12-11,BingX,0.0,0.0
2019-12-12,BingX,0.0,0.0
2019-12-13,BingX,0.0,0.0
2019-12-14,BingX,0.0,0.0
2019-12-15,BingX,0.0,0.0
2019-12-16,BingX,0.0,0.0
2019-12-17,BingX,0.0,0.0
2019-12-18,BingX,0.0,0.0
2019-12-19,BingX,0.0,0.0
2019-12-20,BingX,0.0,0.0
2019-12-21,BingX,0.0,0.0
2019-12-22,BingX,0.0,0.0
