Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BitPanda,0.0,0.0
2019-06-12,BitPanda,0.0,0.0
2019-06-13,BitPanda,0.0,0.0
2019-06-14,BitPanda,0.0,0.0
2019-06-15,BitPanda,0.0,0.0
2019-06-16,BitPanda,0.0,0.0
2019-06-17,BitPanda,0.0,0.0
2019-06-18,BitPanda,0.0,0.0
2019-06-19,BitPanda,0.0,0.0
2019-06-20,BitPanda,0.0,0.0
2019-06-21,BitPanda,0.0,0.0
2019-06-22,BitPanda,0.0,0.0
2019-06-23,BitPanda,0.0,0.0
2019-06-24,BitPanda,0.0,0.0
2019-06-25,BitPanda,0.0,0.0
2019-06-26,BitPanda,0.0,0.0
2019-06-27,BitPanda,0.0,0.0
2019-06-28,BitPanda,0.0,0.0
2019-06-29,BitPanda,0.0,0.0
2019-06-30,BitPanda,0.0,0.0
2019-07-01,BitPanda,0.0,0.0
2019-07-02,BitPanda,0.0,0.0
2019-07-03,BitPanda,0.0,0.0
2019-07-04,BitPanda,0.0,0.0
2019-07-05,BitPanda,0.0,0.0
2019-07-06,BitPanda,0.0,0.0
2019-07-07,BitPanda,0.0,0.0
2019-07-08,BitPanda,0.0,0.0
2019-07-09,BitPanda,0.0,0.0
2019-07-10,BitPanda,0.0,0.0
2019-07-11,BitPanda,0.0,0.0
2019-07-12,BitPanda,0.0,0.0
2019-07-13,BitPanda,0.0,0.0
2019-07-14,BitPanda,0.0,0.0
2019-07-15,BitPanda,0.0,0.0
2019-07-16,BitPanda,0.0,0.0
2019-07-17,BitPanda,0.0,0.0
2019-07-18,BitPanda,0.0,0.0
2019-07-19,BitPanda,0.0,0.0
2019-07-20,BitPanda,0.0,0.0
2019-07-21,BitPanda,0.0,0.0
2019-07-22,BitPanda,0.0,0.0
2019-07-23,BitPanda,0.0,0.0
2019-07-24,BitPanda,0.0,0.0
2019-07-25,BitPanda,0.0,0.0
2019-07-26,BitPanda,0.0,0.0
2019-07-27,BitPanda,0.0,0.0
2019-07-28,BitPanda,0.0,0.0
2019-07-29,BitPanda,0.0,0.0
2019-07-30,BitPanda,0.0,0.0
2019-07-31,BitPanda,0.0,0.0
2019-08-01,BitPanda,0.0,0.0
2019-08-02,BitPanda,0.0,0.0
2019-08-03,BitPanda,0.0,0.0
2019-08-04,BitPanda,0.0,0.0
2019-08-05,BitPanda,0.0,0.0
2019-08-06,BitPanda,0.0,0.0
2019-08-07,BitPanda,0.0,0.0
2019-08-08,BitPanda,0.0,0.0
2019-08-09,BitPanda,0.0,0.0
2019-08-10,BitPanda,0.0,0.0
2019-08-11,BitPanda,0.0,0.0
2019-08-12,BitPanda,0.0,0.0
2019-08-13,BitPanda,0.0,0.0
2019-08-14,BitPanda,0.0,0.0
2019-08-15,BitPanda,0.0,0.0
2019-08-16,BitPanda,0.0,0.0
2019-08-17,BitPanda,0.0,0.0
2019-08-18,BitPanda,0.0,0.0
2019-08-19,BitPanda,0.0,0.0
2019-08-20,BitPanda,0.0,0.0
2019-08-21,BitPanda,0.0,0.0
2019-08-22,BitPanda,0.0,0.0
2019-08-23,BitPanda,0.0,0.0
2019-08-24,BitPanda,0.0,0.0
2019-08-25,BitPanda,0.0,0.0
2019-08-26,BitPanda,0.0,0.0
2019-08-27,BitPanda,0.0,0.0
2019-08-28,BitPanda,0.0,0.0
2019-08-29,BitPanda,0.0,0.0
2019-08-30,BitPanda,0.0,0.0
2019-08-31,BitPanda,0.0,0.0
2019-09-01,BitPanda,0.0,0.0
2019-09-02,BitPanda,0.0,0.0
2019-09-03,BitPanda,0.0,0.0
2019-09-04,BitPanda,0.0,0.0
2019-09-05,BitPanda,0.0,0.0
2019-09-06,BitPanda,0.0,0.0
2019-09-07,BitPanda,0.0,0.0
2019-09-08,BitPanda,0.0,0.0
2019-09-09,BitPanda,0.0,0.0
2019-09-10,BitPanda,0.0,0.0
2019-09-11,BitPanda,0.0,0.0
2019-09-12,BitPanda,0.0,0.0
2019-09-13,BitPanda,0.0,0.0
2019-09-14,BitPanda,0.0,0.0
2019-09-15,BitPanda,0.0,0.0
2019-09-16,BitPanda,0.0,0.0
2019-09-17,BitPanda,0.0,0.0
2019-09-18,BitPanda,0.0,0.0
2019-09-19,BitPanda,0.0,0.0
2019-09-20,BitPanda,0.0,0.0
2019-09-21,BitPanda,0.0,0.0
2019-09-22,BitPanda,0.0,0.0
2019-09-23,BitPanda,0.0,0.0
2019-09-24,BitPanda,0.0,0.0
2019-09-25,BitPanda,0.0,0.0
2019-09-26,BitPanda,0.0,0.0
2019-09-27,BitPanda,0.0,0.0
2019-09-28,BitPanda,0.0,0.0
2019-09-29,BitPanda,0.0,0.0
2019-09-30,BitPanda,0.0,0.0
2019-10-01,BitPanda,0.0,0.0
2019-10-02,BitPanda,0.0,0.0
2019-10-03,BitPanda,0.0,0.0
2019-10-04,BitPanda,0.0,0.0
2019-10-05,BitPanda,0.0,0.0
2019-10-06,BitPanda,0.0,0.0
