Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,BitZ,0.0,0.0
2019-06-12,BitZ,0.0,0.0
2019-06-13,BitZ,0.0,0.0
2019-06-14,BitZ,0.0,0.0
2019-06-15,BitZ,0.0,0.0
2019-06-16,BitZ,0.0,0.0
2019-06-17,BitZ,0.0,0.0
2019-06-18,BitZ,0.0,0.0
2019-06-19,BitZ,0.0,0.0
2019-06-20,BitZ,0.0,0.0
2019-06-21,BitZ,0.0,0.0
2019-06-22,BitZ,0.0,0.0
2019-06-23,BitZ,0.0,0.0
2019-06-24,BitZ,0.0,0.0
2019-06-25,BitZ,2676.466844,2676.466844
2019-06-26,BitZ,2676.466844,0.0
2019-06-27,BitZ,2676.466844,0.0
2019-06-28,BitZ,2676.466844,0.0
2019-06-29,BitZ,2676.466844,0.0
2019-06-30,BitZ,2676.466844,0.0
2019-07-01,BitZ,2676.466844,0.0
2019-07-02,BitZ,2676.466844,0.0
2019-07-03,BitZ,2676.466844,0.0
2019-07-04,BitZ,2676.466844,0.0
2019-07-05,BitZ,45187.637716,42511.170872
2019-07-06,BitZ,45187.637716,0.0
2019-07-07,BitZ,45187.637716,0.0
2019-07-08,BitZ,45189.243143,1.605427
2019-07-09,BitZ,43800.811804,-1388.431339
2019-07-10,BitZ,43800.811804,0.0
2019-07-11,BitZ,43800.811804,0.0
2019-07-12,BitZ,34855.045204,-8945.7666
2019-07-13,BitZ,17520.42699,-17334.618214
2019-07-14,BitZ,17520.42699,0.0
2019-07-15,BitZ,17520.42699,0.0
2019-07-16,BitZ,7536.25655,-9984.17044
2019-07-17,BitZ,7536.25655,0.0
2019-07-18,BitZ,67519.637852,59983.381302
2019-07-19,BitZ,67519.637852,0.0
2019-07-20,BitZ,67519.637852,0.0
2019-07-21,BitZ,67519.637852,0.0
2019-07-22,BitZ,67519.637852,0.0
2019-07-23,BitZ,67519.637852,0.0
2019-07-24,BitZ,50672.710567,-16846.927285
2019-07-25,BitZ,50672.710567,0.0
2019-07-26,BitZ,44614.697344,-6058.013223
2019-07-27,BitZ,44614.697344,0.0
2019-07-28,BitZ,44322.435464,-292.26188
2019-07-29,BitZ,44322.435464,0.0
2019-07-30,BitZ,39352.49478,-4969.940684
2019-07-31,BitZ,39026.977772,-325.517008
2019-08-01,BitZ,39026.977772,0.0
