Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitbox,0.0,0.0
2019-06-12,Bitbox,0.0,0.0
2019-06-13,Bitbox,0.0,0.0
2019-06-14,Bitbox,0.0,0.0
2019-06-15,Bitbox,0.0,0.0
2019-06-16,Bitbox,0.0,0.0
2019-06-17,Bitbox,0.0,0.0
2019-06-18,Bitbox,0.0,0.0
2019-06-19,Bitbox,0.0,0.0
2019-06-20,Bitbox,0.0,0.0
2019-06-21,Bitbox,5453.086642,5453.086642
2019-06-22,Bitbox,5031.814045,-421.272597
2019-06-23,Bitbox,5011.187327,-20.626718
2019-06-24,Bitbox,15406.320661,10395.133334
2019-06-25,Bitbox,18625.819583,3219.498922
2019-06-26,Bitbox,19198.623937,572.804354
2019-06-27,Bitbox,19170.641921,-27.982016
2019-06-28,Bitbox,18618.020431,-552.62149
2019-06-29,Bitbox,18116.513127,-501.507304
2019-06-30,Bitbox,17900.123939,-216.389188
2019-07-01,Bitbox,16598.225559,-1301.89838
2019-07-02,Bitbox,19105.227823,2507.002264
2019-07-03,Bitbox,17660.413665,-1444.814158
2019-07-04,Bitbox,1082.936075,-16577.47759
2019-07-05,Bitbox,1345.834525,262.89845
2019-07-06,Bitbox,1345.834525,0.0
2019-07-07,Bitbox,1345.834525,0.0
2019-07-08,Bitbox,1827.387334,481.552809
2019-07-09,Bitbox,1945.985053,118.597719
2019-07-10,Bitbox,3806.141242,1860.156189
2019-07-11,Bitbox,3806.141242,0.0
2019-07-12,Bitbox,4158.468756,352.327514
2019-07-13,Bitbox,4158.468756,0.0
2019-07-14,Bitbox,163.882774,-3994.585982
2019-07-15,Bitbox,163.882774,0.0
2019-07-16,Bitbox,163.882774,0.0
2019-07-17,Bitbox,163.882774,0.0
2019-07-18,Bitbox,4852.517347,4688.634573
2019-07-19,Bitbox,10409.515555,5556.998208
2019-07-20,Bitbox,11675.576131,1266.060576
2019-07-21,Bitbox,12367.919944,692.343813
2019-07-22,Bitbox,14373.613618,2005.693674
2019-07-23,Bitbox,47375.938205,33002.324587
2019-07-24,Bitbox,48982.204243,1606.266038
2019-07-25,Bitbox,53482.054994,4499.850751
2019-07-26,Bitbox,47540.840112,-5941.214882
2019-07-27,Bitbox,46960.678126,-580.161986
2019-07-28,Bitbox,48441.130811,1480.452685
2019-07-29,Bitbox,49244.932947,803.802136
2019-07-30,Bitbox,49244.932947,0.0
2019-07-31,Bitbox,50184.657692,939.724745
2019-08-01,Bitbox,53719.088257,3534.430565
2019-08-02,Bitbox,26913.568995,-26805.519262
2019-08-03,Bitbox,72963.068929,46049.499934
2019-08-04,Bitbox,96234.666365,23271.597436
2019-08-05,Bitbox,83851.311028,-12383.355337
2019-08-06,Bitbox,84672.493347,821.182319
2019-08-07,Bitbox,84556.903327,-115.59002
2019-08-08,Bitbox,59570.938623,-24985.964704
2019-08-09,Bitbox,57187.609158,-2383.329465
2019-08-10,Bitbox,55015.401471,-2172.207687
2019-08-11,Bitbox,58028.676618,3013.275147
2019-08-12,Bitbox,64743.900153,6715.223535
2019-08-13,Bitbox,81526.94332,16783.043167
2019-08-14,Bitbox,70858.97242,-10667.9709
2019-08-15,Bitbox,65556.809582,-5302.162838
2019-08-16,Bitbox,54497.886697,-11058.922885
2019-08-17,Bitbox,53383.905409,-1113.981288
2019-08-18,Bitbox,50416.834954,-2967.070455
2019-08-19,Bitbox,49308.979892,-1107.855062
2019-08-20,Bitbox,47943.969782,-1365.01011
2019-08-21,Bitbox,51068.131546,3124.161764
2019-08-22,Bitbox,49832.053477,-1236.078069
2019-08-23,Bitbox,53617.059244,3785.005767
2019-08-24,Bitbox,53617.059244,0.0
2019-08-25,Bitbox,59314.239113,5697.179869
2019-08-26,Bitbox,59314.239113,0.0
2019-08-27,Bitbox,58403.285152,-910.953961
2019-08-28,Bitbox,58403.285152,0.0
2019-08-29,Bitbox,58139.027274,-264.257878
2019-08-30,Bitbox,58139.027274,0.0
2019-08-31,Bitbox,58139.027274,0.0
2019-09-01,Bitbox,55347.83919,-2791.188084
2019-09-02,Bitbox,55347.83919,0.0
2019-09-03,Bitbox,58889.548185,3541.708995
2019-09-04,Bitbox,64935.060168,6045.511983
2019-09-05,Bitbox,65729.072483,794.012315
2019-09-06,Bitbox,58648.592945,-7080.479538
2019-09-07,Bitbox,58648.592945,0.0
2019-09-08,Bitbox,57714.122977,-934.469968
2019-09-09,Bitbox,57714.122977,0.0
2019-09-10,Bitbox,57042.500973,-671.622004
2019-09-11,Bitbox,53881.533907,-3160.967066
2019-09-12,Bitbox,63083.867304,9202.333397
2019-09-13,Bitbox,63083.867304,0.0
2019-09-14,Bitbox,63083.867304,0.0
2019-09-15,Bitbox,62037.372553,-1046.494751
2019-09-16,Bitbox,62010.909502,-26.463051
2019-09-17,Bitbox,61933.100242,-77.80926
2019-09-18,Bitbox,58858.912852,-3074.18739
2019-09-19,Bitbox,69521.294335,10662.381483
2019-09-20,Bitbox,69521.294335,0.0
2019-09-21,Bitbox,69521.294335,0.0
2019-09-22,Bitbox,69521.294335,0.0
2019-09-23,Bitbox,69521.294335,0.0
2019-09-24,Bitbox,79184.621282,9663.326947
2019-09-25,Bitbox,78794.752352,-389.86893
2019-09-26,Bitbox,79203.157335,408.404983
2019-09-27,Bitbox,79203.157335,0.0
