Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitfinex,0.0,0.0
2019-06-12,Bitfinex,0.0,0.0
2019-06-13,Bitfinex,0.0,0.0
2019-06-14,Bitfinex,0.0,0.0
2019-06-15,Bitfinex,0.0,0.0
2019-06-16,Bitfinex,0.0,0.0
2019-06-17,Bitfinex,0.0,0.0
2019-06-18,Bitfinex,0.0,0.0
2019-06-19,Bitfinex,0.0,0.0
2019-06-20,Bitfinex,0.0,0.0
2019-06-21,Bitfinex,509609.911555,509609.911555
2019-06-22,Bitfinex,529489.439665,19879.52811
2019-06-23,Bitfinex,536069.055164,6579.615499
2019-06-24,Bitfinex,554962.785122,18893.729958
2019-06-25,Bitfinex,559262.101695,4299.316573
2019-06-26,Bitfinex,582323.452011,23061.350316
2019-06-27,Bitfinex,585117.764574,2794.312563
2019-06-28,Bitfinex,585822.508049,704.743475
2019-06-29,Bitfinex,586115.944913,293.436864
2019-06-30,Bitfinex,586915.775915,799.831002
2019-07-01,Bitfinex,586915.775915,0.0
2019-07-02,Bitfinex,584005.19651,-2910.579405
2019-07-03,Bitfinex,589577.010284,5571.813774
2019-07-04,Bitfinex,589876.621901,299.611617
2019-07-05,Bitfinex,590247.709892,371.087991
2019-07-06,Bitfinex,590639.689733,391.979841
2019-07-07,Bitfinex,597666.34222,7026.652487
2019-07-08,Bitfinex,595213.308773,-2453.033447
2019-07-09,Bitfinex,596041.987389,828.678616
2019-07-10,Bitfinex,596041.987389,0.0
2019-07-11,Bitfinex,568699.361836,-27342.625553
2019-07-12,Bitfinex,590829.348898,22129.987062
2019-07-13,Bitfinex,594503.025334,3673.676436
2019-07-14,Bitfinex,595186.125117,683.099783
2019-07-15,Bitfinex,598441.72158,3255.596463
2019-07-16,Bitfinex,620951.177347,22509.455767
2019-07-17,Bitfinex,635736.874014,14785.696667
2019-07-18,Bitfinex,619172.416759,-16564.457255
2019-07-19,Bitfinex,629193.063263,10020.646504
2019-07-20,Bitfinex,659862.139502,30669.076239
2019-07-21,Bitfinex,633168.698158,-26693.441344
2019-07-22,Bitfinex,635995.799847,2827.101689
2019-07-23,Bitfinex,635931.433367,-64.36648
2019-07-24,Bitfinex,636768.73977,837.306403
2019-07-25,Bitfinex,637201.731288,432.991518
2019-07-26,Bitfinex,631428.873988,-5772.8573
2019-07-27,Bitfinex,631755.925924,327.051936
2019-07-28,Bitfinex,632465.117051,709.191127
2019-07-29,Bitfinex,632697.614644,232.497593
2019-07-30,Bitfinex,626791.383208,-5906.231436
2019-07-31,Bitfinex,627199.084769,407.701561
2019-08-01,Bitfinex,625527.631005,-1671.453764
2019-08-02,Bitfinex,644193.709739,18666.078734
2019-08-03,Bitfinex,618898.775171,-25294.934568
2019-08-04,Bitfinex,619362.277351,463.50218
2019-08-05,Bitfinex,614823.487489,-4538.789862
2019-08-06,Bitfinex,625157.172887,10333.685398
2019-08-07,Bitfinex,622652.909227,-2504.26366
2019-08-08,Bitfinex,629953.671925,7300.762698
2019-08-09,Bitfinex,629645.296184,-308.375741
2019-08-10,Bitfinex,629645.296184,0.0
2019-08-11,Bitfinex,618915.373042,-10729.923142
2019-08-12,Bitfinex,624635.157623,5719.784581
2019-08-13,Bitfinex,606958.275129,-17676.882494
2019-08-14,Bitfinex,601590.820993,-5367.454136
2019-08-15,Bitfinex,602724.38064,1133.559647
2019-08-16,Bitfinex,629903.423954,27179.043314
2019-08-17,Bitfinex,624072.812709,-5830.611245
2019-08-18,Bitfinex,621548.272922,-2524.539787
2019-08-19,Bitfinex,617686.439031,-3861.833891
2019-08-20,Bitfinex,189657.536618,-428028.902413
2019-08-21,Bitfinex,175413.223,-14244.313618
2019-08-22,Bitfinex,166130.52647,-9282.69653
2019-08-23,Bitfinex,166030.777869,-99.748601
2019-08-24,Bitfinex,166030.777869,0.0
2019-08-25,Bitfinex,160214.957851,-5815.820018
2019-08-26,Bitfinex,164991.876278,4776.918427
2019-08-27,Bitfinex,169080.97517,4089.098892
2019-08-28,Bitfinex,181408.254868,12327.279698
2019-08-29,Bitfinex,179694.749527,-1713.505341
2019-08-30,Bitfinex,179986.74298,291.993453
2019-08-31,Bitfinex,180805.127899,818.384919
2019-09-01,Bitfinex,181057.614294,252.486395
2019-09-02,Bitfinex,181641.376154,583.76186
2019-09-03,Bitfinex,180207.266223,-1434.109931
2019-09-04,Bitfinex,187979.501902,7772.235679
2019-09-05,Bitfinex,201339.190974,13359.689072
2019-09-06,Bitfinex,201584.805192,245.614218
2019-09-07,Bitfinex,198099.832845,-3484.972347
2019-09-08,Bitfinex,198383.862322,284.029477
2019-09-09,Bitfinex,189916.283802,-8467.57852
2019-09-10,Bitfinex,196111.735388,6195.451586
2019-09-11,Bitfinex,196637.145477,525.410089
2019-09-12,Bitfinex,196927.413834,290.268357
2019-09-13,Bitfinex,222227.521662,25300.107828
2019-09-14,Bitfinex,224117.684728,1890.163066
2019-09-15,Bitfinex,205731.8803,-18385.804428
2019-09-16,Bitfinex,206029.918693,298.038393
2019-09-17,Bitfinex,195551.01058,-10478.908113
2019-09-18,Bitfinex,213373.802744,17822.792164
2019-09-19,Bitfinex,202417.429055,-10956.373689
2019-09-20,Bitfinex,202669.662913,252.233858
2019-09-21,Bitfinex,202997.331186,327.668273
