Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitkub,0.0,0.0
2019-06-12,Bitkub,0.0,0.0
2019-06-13,Bitkub,0.0,0.0
2019-06-14,Bitkub,0.0,0.0
2019-06-15,Bitkub,0.0,0.0
2019-06-16,Bitkub,0.0,0.0
2019-06-17,Bitkub,0.0,0.0
2019-06-18,Bitkub,0.0,0.0
2019-06-19,Bitkub,0.0,0.0
2019-06-20,Bitkub,0.0,0.0
2019-06-21,Bitkub,0.0,0.0
2019-06-22,Bitkub,0.0,0.0
2019-06-23,Bitkub,0.0,0.0
2019-06-24,Bitkub,0.0,0.0
2019-06-25,Bitkub,0.0,0.0
2019-06-26,Bitkub,0.0,0.0
2019-06-27,Bitkub,0.0,0.0
2019-06-28,Bitkub,0.0,0.0
2019-06-29,Bitkub,0.0,0.0
2019-06-30,Bitkub,0.0,0.0
2019-07-01,Bitkub,0.0,0.0
2019-07-02,Bitkub,0.0,0.0
2019-07-03,Bitkub,0.0,0.0
2019-07-04,Bitkub,0.0,0.0
2019-07-05,Bitkub,0.0,0.0
2019-07-06,Bitkub,0.0,0.0
2019-07-07,Bitkub,0.0,0.0
2019-07-08,Bitkub,0.0,0.0
2019-07-09,Bitkub,0.0,0.0
2019-07-10,Bitkub,0.0,0.0
2019-07-11,Bitkub,0.0,0.0
2019-07-12,Bitkub,0.0,0.0
2019-07-13,Bitkub,0.0,0.0
2019-07-14,Bitkub,0.0,0.0
2019-07-15,Bitkub,0.0,0.0
2019-07-16,Bitkub,0.0,0.0
2019-07-17,Bitkub,0.0,0.0
2019-07-18,Bitkub,0.0,0.0
2019-07-19,Bitkub,0.0,0.0
2019-07-20,Bitkub,0.0,0.0
2019-07-21,Bitkub,0.0,0.0
2019-07-22,Bitkub,0.0,0.0
2019-07-23,Bitkub,0.0,0.0
2019-07-24,Bitkub,0.0,0.0
2019-07-25,Bitkub,0.0,0.0
2019-07-26,Bitkub,0.0,0.0
2019-07-27,Bitkub,0.0,0.0
2019-07-28,Bitkub,0.0,0.0
2019-07-29,Bitkub,0.0,0.0
2019-07-30,Bitkub,0.0,0.0
2019-07-31,Bitkub,0.0,0.0
2019-08-01,Bitkub,0.0,0.0
2019-08-02,Bitkub,0.0,0.0
2019-08-03,Bitkub,0.0,0.0
2019-08-04,Bitkub,0.0,0.0
2019-08-05,Bitkub,0.0,0.0
2019-08-06,Bitkub,0.0,0.0
2019-08-07,Bitkub,0.0,0.0
2019-08-08,Bitkub,0.0,0.0
2019-08-09,Bitkub,0.0,0.0
2019-08-10,Bitkub,0.0,0.0
2019-08-11,Bitkub,0.0,0.0
2019-08-12,Bitkub,0.0,0.0
2019-08-13,Bitkub,0.0,0.0
2019-08-14,Bitkub,0.0,0.0
2019-08-15,Bitkub,0.0,0.0
2019-08-16,Bitkub,0.0,0.0
2019-08-17,Bitkub,0.0,0.0
2019-08-18,Bitkub,0.0,0.0
2019-08-19,Bitkub,0.0,0.0
2019-08-20,Bitkub,0.0,0.0
2019-08-21,Bitkub,0.0,0.0
2019-08-22,Bitkub,0.0,0.0
2019-08-23,Bitkub,0.0,0.0
2019-08-24,Bitkub,0.0,0.0
2019-08-25,Bitkub,0.0,0.0
2019-08-26,Bitkub,0.0,0.0
2019-08-27,Bitkub,0.0,0.0
2019-08-28,Bitkub,0.0,0.0
2019-08-29,Bitkub,0.0,0.0
2019-08-30,Bitkub,0.0,0.0
2019-08-31,Bitkub,0.0,0.0
2019-09-01,Bitkub,0.0,0.0
2019-09-02,Bitkub,0.0,0.0
2019-09-03,Bitkub,0.0,0.0
2019-09-04,Bitkub,0.0,0.0
2019-09-05,Bitkub,0.0,0.0
2019-09-06,Bitkub,0.0,0.0
2019-09-07,Bitkub,0.0,0.0
2019-09-08,Bitkub,0.0,0.0
2019-09-09,Bitkub,0.0,0.0
2019-09-10,Bitkub,0.0,0.0
2019-09-11,Bitkub,0.0,0.0
2019-09-12,Bitkub,0.0,0.0
2019-09-13,Bitkub,0.0,0.0
2019-09-14,Bitkub,0.0,0.0
2019-09-15,Bitkub,0.0,0.0
2019-09-16,Bitkub,0.0,0.0
2019-09-17,Bitkub,0.0,0.0
2019-09-18,Bitkub,0.0,0.0
2019-09-19,Bitkub,0.0,0.0
2019-09-20,Bitkub,0.0,0.0
2019-09-21,Bitkub,0.0,0.0
2019-09-22,Bitkub,0.0,0.0
2019-09-23,Bitkub,0.0,0.0
2019-09-24,Bitkub,0.0,0.0
2019-09-25,Bitkub,0.0,0.0
2019-09-26,Bitkub,0.0,0.0
2019-09-27,Bitkub,0.0,0.0
2019-09-28,Bitkub,0.0,0.0
2019-09-29,Bitkub,0.0,0.0
2019-09-30,Bitkub,0.0,0.0
2019-10-01,Bitkub,0.0,0.0
2019-10-02,Bitkub,0.0,0.0
2019-10-03,Bitkub,0.0,0.0
2019-10-04,Bitkub,0.0,0.0
2019-10-05,Bitkub,0.0,0.0
2019-10-06,Bitkub,0.0,0.0
2019-10-07,Bitkub,0.0,0.0
2019-10-08,Bitkub,0.0,0.0
2019-10-09,Bitkub,0.0,0.0
