Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitmax,0.0,0.0
2019-06-12,Bitmax,0.0,0.0
2019-06-13,Bitmax,0.0,0.0
2019-06-14,Bitmax,0.0,0.0
2019-06-15,Bitmax,0.0,0.0
2019-06-16,Bitmax,0.0,0.0
2019-06-17,Bitmax,0.0,0.0
2019-06-18,Bitmax,1.0,1.0
2019-06-19,Bitmax,0.383906,-0.616094
2019-06-20,Bitmax,1580842.273968,1580841.890062
2019-06-21,Bitmax,1771462.607064,190620.333096
2019-06-22,Bitmax,1517942.128525,-253520.478539
2019-06-23,Bitmax,1166821.376234,-351120.752291
2019-06-24,Bitmax,645703.627828,-521117.748406
2019-06-25,Bitmax,334381.274745,-311322.353083
2019-06-26,Bitmax,374500.401094,40119.126349
2019-06-27,Bitmax,219154.962136,-155345.438958
2019-06-28,Bitmax,216902.594793,-2252.367343
2019-06-29,Bitmax,245062.772718,28160.177925
2019-06-30,Bitmax,249206.516115,4143.743397
2019-07-01,Bitmax,458814.344749,209607.828634
2019-07-02,Bitmax,669491.865061,210677.520312
2019-07-03,Bitmax,686487.287939,16995.422878
2019-07-04,Bitmax,698720.134194,12232.846255
2019-07-05,Bitmax,702249.920708,3529.786514
2019-07-06,Bitmax,705391.959086,3142.038378
2019-07-07,Bitmax,759607.705776,54215.74669
2019-07-08,Bitmax,758801.925992,-805.779784
2019-07-09,Bitmax,777228.744242,18426.81825
2019-07-10,Bitmax,795598.8026,18370.058358
2019-07-11,Bitmax,817674.371963,22075.569363
2019-07-12,Bitmax,945019.387545,127345.015582
2019-07-13,Bitmax,768936.677235,-176082.71031
2019-07-14,Bitmax,915401.704051,146465.026816
2019-07-15,Bitmax,1051106.220145,135704.516094
2019-07-16,Bitmax,1137093.720765,85987.50062
2019-07-17,Bitmax,1187287.419809,50193.699044
2019-07-18,Bitmax,1154376.99215,-32910.427659
2019-07-19,Bitmax,963219.699885,-191157.292265
2019-07-20,Bitmax,987820.882348,24601.182463
2019-07-21,Bitmax,1002450.350671,14629.468323
2019-07-22,Bitmax,1044780.949145,42330.598474
2019-07-23,Bitmax,1043819.870446,-961.078699
2019-07-24,Bitmax,1049352.991509,5533.121063
2019-07-25,Bitmax,1046777.915403,-2575.076106
2019-07-26,Bitmax,1012572.378631,-34205.536772
2019-07-27,Bitmax,588751.8334,-423820.545231
2019-07-28,Bitmax,617498.958336,28747.124936
2019-07-29,Bitmax,632256.137773,14757.179437
2019-07-30,Bitmax,691199.76029,58943.622517
2019-07-31,Bitmax,728581.290023,37381.529733
2019-08-01,Bitmax,789428.378806,60847.088783
2019-08-02,Bitmax,887910.123731,98481.744925
2019-08-03,Bitmax,833545.631883,-54364.491848
2019-08-04,Bitmax,891754.255458,58208.623575
2019-08-05,Bitmax,885141.760259,-6612.495199
2019-08-06,Bitmax,870037.493981,-15104.266278
2019-08-07,Bitmax,861597.366066,-8440.127915
2019-08-08,Bitmax,844013.333637,-17584.032429
2019-08-09,Bitmax,805853.905895,-38159.427742
2019-08-10,Bitmax,827528.063092,21674.157197
2019-08-11,Bitmax,831569.278988,4041.215896
2019-08-12,Bitmax,866025.877029,34456.598041
2019-08-13,Bitmax,867001.881777,976.004748
2019-08-14,Bitmax,894882.281394,27880.399617
2019-08-15,Bitmax,894305.019988,-577.261406
2019-08-16,Bitmax,900564.673154,6259.653166
2019-08-17,Bitmax,888423.192139,-12141.481015
2019-08-18,Bitmax,889233.087657,809.895518
2019-08-19,Bitmax,879707.330861,-9525.756796
2019-08-20,Bitmax,967179.941199,87472.610338
2019-08-21,Bitmax,1033413.566653,66233.625454
2019-08-22,Bitmax,1026884.466277,-6529.100376
2019-08-23,Bitmax,1029070.441777,2185.9755
2019-08-24,Bitmax,1030393.156276,1322.714499
2019-08-25,Bitmax,1026333.802171,-4059.354105
2019-08-26,Bitmax,1028513.365235,2179.563064
2019-08-27,Bitmax,1036053.650504,7540.285269
2019-08-28,Bitmax,1040458.955934,4405.30543
2019-08-29,Bitmax,1079602.339977,39143.384043
2019-08-30,Bitmax,543073.118502,-536529.221475
2019-08-31,Bitmax,547891.361243,4818.242741
2019-09-01,Bitmax,627204.818982,79313.457739
2019-09-02,Bitmax,670987.09668,43782.277698
2019-09-03,Bitmax,431517.286069,-239469.810611
2019-09-04,Bitmax,160937.59854,-270579.687529
2019-09-05,Bitmax,83483.308299,-77454.290241
2019-09-06,Bitmax,79985.1759,-3498.132399
2019-09-07,Bitmax,4122.881774,-75862.294126
2019-09-08,Bitmax,59984.870252,55861.988478
2019-09-09,Bitmax,347851.059311,287866.189059
2019-09-10,Bitmax,194852.198147,-152998.861164
2019-09-11,Bitmax,236756.987888,41904.789741
2019-09-12,Bitmax,296223.151219,59466.163331
2019-09-13,Bitmax,339475.669372,43252.518153
2019-09-14,Bitmax,258379.955764,-81095.713608
2019-09-15,Bitmax,224385.664206,-33994.291558
2019-09-16,Bitmax,262932.714309,38547.050103
2019-09-17,Bitmax,245293.683741,-17639.030568
2019-09-18,Bitmax,206505.204391,-38788.47935
2019-09-19,Bitmax,157986.396711,-48518.80768
2019-09-20,Bitmax,150903.146115,-7083.250596
2019-09-21,Bitmax,143092.084411,-7811.061704
2019-09-22,Bitmax,166892.401308,23800.316897
2019-09-23,Bitmax,202468.433687,35576.032379
2019-09-24,Bitmax,252353.370633,49884.936946
2019-09-25,Bitmax,317990.495352,65637.124719
2019-09-26,Bitmax,112070.076311,-205920.419041
