Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitrue,0.0,0.0
2019-06-12,Bitrue,0.0,0.0
2019-06-13,Bitrue,0.0,0.0
2019-06-14,Bitrue,0.0,0.0
2019-06-15,Bitrue,0.0,0.0
2019-06-16,Bitrue,0.0,0.0
2019-06-17,Bitrue,0.0,0.0
2019-06-18,Bitrue,0.0,0.0
2019-06-19,Bitrue,0.0,0.0
2019-06-20,Bitrue,0.0,0.0
2019-06-21,Bitrue,0.0,0.0
2019-06-22,Bitrue,0.0,0.0
2019-06-23,Bitrue,0.0,0.0
2019-06-24,Bitrue,0.0,0.0
2019-06-25,Bitrue,0.0,0.0
2019-06-26,Bitrue,0.0,0.0
2019-06-27,Bitrue,0.0,0.0
2019-06-28,Bitrue,0.0,0.0
2019-06-29,Bitrue,0.0,0.0
2019-06-30,Bitrue,0.0,0.0
2019-07-01,Bitrue,0.0,0.0
2019-07-02,Bitrue,0.0,0.0
2019-07-03,Bitrue,0.0,0.0
2019-07-04,Bitrue,0.0,0.0
2019-07-05,Bitrue,0.0,0.0
2019-07-06,Bitrue,0.0,0.0
2019-07-07,Bitrue,0.0,0.0
2019-07-08,Bitrue,0.0,0.0
2019-07-09,Bitrue,0.0,0.0
2019-07-10,Bitrue,0.0,0.0
2019-07-11,Bitrue,0.0,0.0
2019-07-12,Bitrue,0.0,0.0
2019-07-13,Bitrue,0.0,0.0
2019-07-14,Bitrue,0.0,0.0
2019-07-15,Bitrue,0.0,0.0
2019-07-16,Bitrue,0.0,0.0
2019-07-17,Bitrue,0.0,0.0
2019-07-18,Bitrue,0.0,0.0
2019-07-19,Bitrue,0.0,0.0
2019-07-20,Bitrue,0.0,0.0
2019-07-21,Bitrue,0.0,0.0
2019-07-22,Bitrue,0.0,0.0
2019-07-23,Bitrue,0.0,0.0
2019-07-24,Bitrue,0.0,0.0
2019-07-25,Bitrue,0.0,0.0
2019-07-26,Bitrue,0.0,0.0
2019-07-27,Bitrue,0.0,0.0
2019-07-28,Bitrue,0.0,0.0
2019-07-29,Bitrue,0.0,0.0
2019-07-30,Bitrue,0.0,0.0
2019-07-31,Bitrue,0.0,0.0
2019-08-01,Bitrue,0.0,0.0
2019-08-02,Bitrue,0.0,0.0
2019-08-03,Bitrue,0.0,0.0
2019-08-04,Bitrue,0.0,0.0
2019-08-05,Bitrue,0.0,0.0
2019-08-06,Bitrue,0.0,0.0
2019-08-07,Bitrue,0.0,0.0
2019-08-08,Bitrue,0.0,0.0
2019-08-09,Bitrue,0.0,0.0
2019-08-10,Bitrue,0.0,0.0
2019-08-11,Bitrue,0.0,0.0
2019-08-12,Bitrue,0.0,0.0
2019-08-13,Bitrue,0.0,0.0
2019-08-14,Bitrue,0.0,0.0
2019-08-15,Bitrue,0.0,0.0
2019-08-16,Bitrue,0.0,0.0
2019-08-17,Bitrue,0.0,0.0
2019-08-18,Bitrue,0.0,0.0
2019-08-19,Bitrue,0.0,0.0
2019-08-20,Bitrue,0.0,0.0
2019-08-21,Bitrue,0.0,0.0
2019-08-22,Bitrue,0.0,0.0
2019-08-23,Bitrue,0.0,0.0
2019-08-24,Bitrue,0.0,0.0
2019-08-25,Bitrue,0.0,0.0
2019-08-26,Bitrue,0.0,0.0
2019-08-27,Bitrue,0.0,0.0
2019-08-28,Bitrue,0.0,0.0
2019-08-29,Bitrue,0.0,0.0
2019-08-30,Bitrue,0.0,0.0
2019-08-31,Bitrue,0.0,0.0
2019-09-01,Bitrue,0.0,0.0
2019-09-02,Bitrue,0.0,0.0
2019-09-03,Bitrue,0.0,0.0
2019-09-04,Bitrue,0.0,0.0
2019-09-05,Bitrue,0.0,0.0
2019-09-06,Bitrue,0.0,0.0
2019-09-07,Bitrue,0.0,0.0
2019-09-08,Bitrue,0.0,0.0
2019-09-09,Bitrue,0.0,0.0
2019-09-10,Bitrue,0.0,0.0
2019-09-11,Bitrue,0.0,0.0
2019-09-12,Bitrue,0.0,0.0
2019-09-13,Bitrue,0.0,0.0
2019-09-14,Bitrue,0.0,0.0
2019-09-15,Bitrue,0.0,0.0
2019-09-16,Bitrue,0.0,0.0
2019-09-17,Bitrue,0.0,0.0
2019-09-18,Bitrue,0.0,0.0
2019-09-19,Bitrue,0.0,0.0
2019-09-20,Bitrue,0.0,0.0
2019-09-21,Bitrue,0.0,0.0
2019-09-22,Bitrue,0.0,0.0
2019-09-23,Bitrue,0.0,0.0
2019-09-24,Bitrue,0.0,0.0
2019-09-25,Bitrue,0.0,0.0
2019-09-26,Bitrue,0.0,0.0
2019-09-27,Bitrue,0.0,0.0
2019-09-28,Bitrue,0.0,0.0
2019-09-29,Bitrue,0.0,0.0
2019-09-30,Bitrue,0.0,0.0
2019-10-01,Bitrue,0.0,0.0
2019-10-02,Bitrue,0.0,0.0
2019-10-03,Bitrue,0.0,0.0
2019-10-04,Bitrue,0.0,0.0
2019-10-05,Bitrue,0.0,0.0
2019-10-06,Bitrue,0.0,0.0
2019-10-07,Bitrue,0.0,0.0
2019-10-08,Bitrue,0.0,0.0
2019-10-09,Bitrue,0.0,0.0
2019-10-10,Bitrue,0.0,0.0
2019-10-11,Bitrue,0.0,0.0
2019-10-12,Bitrue,0.0,0.0
2019-10-13,Bitrue,0.0,0.0
2019-10-14,Bitrue,0.0,0.0
2019-10-15,Bitrue,0.0,0.0
2019-10-16,Bitrue,0.0,0.0
2019-10-17,Bitrue,0.0,0.0
2019-10-18,Bitrue,0.0,0.0
2019-10-19,Bitrue,0.0,0.0
2019-10-20,Bitrue,0.0,0.0
2019-10-21,Bitrue,0.0,0.0
2019-10-22,Bitrue,0.0,0.0
2019-10-23,Bitrue,0.0,0.0
2019-10-24,Bitrue,0.0,0.0
2019-10-25,Bitrue,0.0,0.0
2019-10-26,Bitrue,0.0,0.0
2019-10-27,Bitrue,0.0,0.0
2019-10-28,Bitrue,0.0,0.0
2019-10-29,Bitrue,0.0,0.0
2019-10-30,Bitrue,0.0,0.0
2019-10-31,Bitrue,0.0,0.0
2019-11-01,Bitrue,0.0,0.0
2019-11-02,Bitrue,0.0,0.0
2019-11-03,Bitrue,0.0,0.0
2019-11-04,Bitrue,0.0,0.0
2019-11-05,Bitrue,0.0,0.0
2019-11-06,Bitrue,0.0,0.0
2019-11-07,Bitrue,0.0,0.0
2019-11-08,Bitrue,0.0,0.0
2019-11-09,Bitrue,0.0,0.0
2019-11-10,Bitrue,0.0,0.0
2019-11-11,Bitrue,0.0,0.0
2019-11-12,Bitrue,0.0,0.0
2019-11-13,Bitrue,0.0,0.0
2019-11-14,Bitrue,0.0,0.0
2019-11-15,Bitrue,0.0,0.0
2019-11-16,Bitrue,0.0,0.0
2019-11-17,Bitrue,0.0,0.0
2019-11-18,Bitrue,0.0,0.0
2019-11-19,Bitrue,0.0,0.0
2019-11-20,Bitrue,0.0,0.0
2019-11-21,Bitrue,0.0,0.0
2019-11-22,Bitrue,0.0,0.0
2019-11-23,Bitrue,0.0,0.0
2019-11-24,Bitrue,0.0,0.0
2019-11-25,Bitrue,0.0,0.0
2019-11-26,Bitrue,0.0,0.0
2019-11-27,Bitrue,0.0,0.0
2019-11-28,Bitrue,0.0,0.0
2019-11-29,Bitrue,0.0,0.0
2019-11-30,Bitrue,0.0,0.0
2019-12-01,Bitrue,0.0,0.0
2019-12-02,Bitrue,0.0,0.0
2019-12-03,Bitrue,0.0,0.0
2019-12-04,Bitrue,0.0,0.0
2019-12-05,Bitrue,0.0,0.0
2019-12-06,Bitrue,0.0,0.0
2019-12-07,Bitrue,0.0,0.0
2019-12-08,Bitrue,0.0,0.0
2019-12-09,Bitrue,0.0,0.0
2019-12-10,Bitrue,0.0,0.0
2019-12-11,Bitrue,0.0,0.0
2019-12-12,Bitrue,0.0,0.0
2019-12-13,Bitrue,0.0,0.0
2019-12-14,Bitrue,0.0,0.0
2019-12-15,Bitrue,0.0,0.0
2019-12-16,Bitrue,0.0,0.0
2019-12-17,Bitrue,0.0,0.0
2019-12-18,Bitrue,0.0,0.0
2019-12-19,Bitrue,0.0,0.0
2019-12-20,Bitrue,0.0,0.0
2019-12-21,Bitrue,0.0,0.0
2019-12-22,Bitrue,0.0,0.0
2019-12-23,Bitrue,0.0,0.0
2019-12-24,Bitrue,0.0,0.0
2019-12-25,Bitrue,0.0,0.0
2019-12-26,Bitrue,0.0,0.0
2019-12-27,Bitrue,0.0,0.0
2019-12-28,Bitrue,0.0,0.0
2019-12-29,Bitrue,0.0,0.0
2019-12-30,Bitrue,0.0,0.0
2019-12-31,Bitrue,0.0,0.0
2020-01-01,Bitrue,0.0,0.0
