Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitso,0.0,0.0
2019-06-12,Bitso,0.0,0.0
2019-06-13,Bitso,0.0,0.0
2019-06-14,Bitso,0.0,0.0
2019-06-15,Bitso,0.0,0.0
2019-06-16,Bitso,0.0,0.0
2019-06-17,Bitso,0.0,0.0
2019-06-18,Bitso,0.0,0.0
2019-06-19,Bitso,0.0,0.0
2019-06-20,Bitso,0.0,0.0
2019-06-21,Bitso,0.0,0.0
2019-06-22,Bitso,0.0,0.0
2019-06-23,Bitso,0.0,0.0
2019-06-24,Bitso,0.0,0.0
2019-06-25,Bitso,0.0,0.0
2019-06-26,Bitso,0.0,0.0
2019-06-27,Bitso,0.0,0.0
2019-06-28,Bitso,0.0,0.0
2019-06-29,Bitso,0.0,0.0
2019-06-30,Bitso,0.0,0.0
2019-07-01,Bitso,0.0,0.0
2019-07-02,Bitso,0.0,0.0
2019-07-03,Bitso,0.0,0.0
2019-07-04,Bitso,0.0,0.0
2019-07-05,Bitso,0.0,0.0
2019-07-06,Bitso,0.0,0.0
2019-07-07,Bitso,0.0,0.0
2019-07-08,Bitso,0.0,0.0
2019-07-09,Bitso,0.0,0.0
2019-07-10,Bitso,0.0,0.0
2019-07-11,Bitso,0.0,0.0
2019-07-12,Bitso,0.0,0.0
2019-07-13,Bitso,0.0,0.0
2019-07-14,Bitso,0.0,0.0
2019-07-15,Bitso,0.0,0.0
2019-07-16,Bitso,0.0,0.0
2019-07-17,Bitso,0.0,0.0
2019-07-18,Bitso,0.0,0.0
2019-07-19,Bitso,0.0,0.0
2019-07-20,Bitso,0.0,0.0
2019-07-21,Bitso,0.0,0.0
2019-07-22,Bitso,0.0,0.0
2019-07-23,Bitso,0.0,0.0
2019-07-24,Bitso,0.0,0.0
2019-07-25,Bitso,0.0,0.0
2019-07-26,Bitso,0.0,0.0
2019-07-27,Bitso,0.0,0.0
2019-07-28,Bitso,0.0,0.0
2019-07-29,Bitso,0.0,0.0
2019-07-30,Bitso,0.0,0.0
2019-07-31,Bitso,0.0,0.0
2019-08-01,Bitso,0.0,0.0
2019-08-02,Bitso,0.0,0.0
2019-08-03,Bitso,0.0,0.0
2019-08-04,Bitso,0.0,0.0
2019-08-05,Bitso,0.0,0.0
2019-08-06,Bitso,0.0,0.0
2019-08-07,Bitso,0.0,0.0
2019-08-08,Bitso,0.0,0.0
2019-08-09,Bitso,0.0,0.0
2019-08-10,Bitso,0.0,0.0
2019-08-11,Bitso,0.0,0.0
2019-08-12,Bitso,0.0,0.0
2019-08-13,Bitso,0.0,0.0
2019-08-14,Bitso,0.0,0.0
2019-08-15,Bitso,0.0,0.0
2019-08-16,Bitso,0.0,0.0
2019-08-17,Bitso,0.0,0.0
2019-08-18,Bitso,0.0,0.0
2019-08-19,Bitso,0.0,0.0
2019-08-20,Bitso,0.0,0.0
2019-08-21,Bitso,0.0,0.0
2019-08-22,Bitso,0.0,0.0
2019-08-23,Bitso,0.0,0.0
2019-08-24,Bitso,0.0,0.0
2019-08-25,Bitso,0.0,0.0
2019-08-26,Bitso,0.0,0.0
2019-08-27,Bitso,0.0,0.0
2019-08-28,Bitso,0.0,0.0
2019-08-29,Bitso,0.0,0.0
2019-08-30,Bitso,0.0,0.0
2019-08-31,Bitso,0.0,0.0
2019-09-01,Bitso,0.0,0.0
2019-09-02,Bitso,0.0,0.0
2019-09-03,Bitso,0.0,0.0
2019-09-04,Bitso,0.0,0.0
2019-09-05,Bitso,0.0,0.0
2019-09-06,Bitso,0.0,0.0
2019-09-07,Bitso,0.0,0.0
2019-09-08,Bitso,0.0,0.0
2019-09-09,Bitso,0.0,0.0
2019-09-10,Bitso,0.0,0.0
2019-09-11,Bitso,0.0,0.0
2019-09-12,Bitso,0.0,0.0
