Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitstamp,0.0,0.0
2019-06-12,Bitstamp,0.0,0.0
2019-06-13,Bitstamp,0.0,0.0
2019-06-14,Bitstamp,0.0,0.0
2019-06-15,Bitstamp,0.0,0.0
2019-06-16,Bitstamp,0.0,0.0
2019-06-17,Bitstamp,0.0,0.0
2019-06-18,Bitstamp,0.0,0.0
2019-06-19,Bitstamp,0.0,0.0
2019-06-20,Bitstamp,0.0,0.0
2019-06-21,Bitstamp,0.0,0.0
2019-06-22,Bitstamp,0.0,0.0
2019-06-23,Bitstamp,0.0,0.0
2019-06-24,Bitstamp,0.0,0.0
2019-06-25,Bitstamp,0.0,0.0
2019-06-26,Bitstamp,0.0,0.0
2019-06-27,Bitstamp,0.0,0.0
2019-06-28,Bitstamp,0.0,0.0
2019-06-29,Bitstamp,0.0,0.0
2019-06-30,Bitstamp,0.0,0.0
2019-07-01,Bitstamp,0.0,0.0
2019-07-02,Bitstamp,0.0,0.0
2019-07-03,Bitstamp,0.0,0.0
2019-07-04,Bitstamp,0.0,0.0
2019-07-05,Bitstamp,0.0,0.0
2019-07-06,Bitstamp,0.0,0.0
2019-07-07,Bitstamp,0.0,0.0
2019-07-08,Bitstamp,0.0,0.0
2019-07-09,Bitstamp,0.0,0.0
2019-07-10,Bitstamp,0.0,0.0
2019-07-11,Bitstamp,0.0,0.0
2019-07-12,Bitstamp,0.0,0.0
2019-07-13,Bitstamp,0.0,0.0
2019-07-14,Bitstamp,0.0,0.0
2019-07-15,Bitstamp,0.0,0.0
2019-07-16,Bitstamp,0.0,0.0
2019-07-17,Bitstamp,0.0,0.0
2019-07-18,Bitstamp,0.0,0.0
2019-07-19,Bitstamp,0.0,0.0
2019-07-20,Bitstamp,0.0,0.0
2019-07-21,Bitstamp,0.0,0.0
2019-07-22,Bitstamp,0.0,0.0
2019-07-23,Bitstamp,0.0,0.0
2019-07-24,Bitstamp,0.0,0.0
2019-07-25,Bitstamp,0.0,0.0
2019-07-26,Bitstamp,0.0,0.0
2019-07-27,Bitstamp,0.0,0.0
2019-07-28,Bitstamp,0.0,0.0
2019-07-29,Bitstamp,0.0,0.0
2019-07-30,Bitstamp,0.0,0.0
2019-07-31,Bitstamp,0.0,0.0
2019-08-01,Bitstamp,0.0,0.0
2019-08-02,Bitstamp,0.0,0.0
2019-08-03,Bitstamp,0.0,0.0
2019-08-04,Bitstamp,0.0,0.0
2019-08-05,Bitstamp,0.0,0.0
2019-08-06,Bitstamp,0.0,0.0
2019-08-07,Bitstamp,0.0,0.0
2019-08-08,Bitstamp,0.0,0.0
2019-08-09,Bitstamp,0.0,0.0
2019-08-10,Bitstamp,0.0,0.0
2019-08-11,Bitstamp,0.0,0.0
2019-08-12,Bitstamp,0.0,0.0
2019-08-13,Bitstamp,0.0,0.0
2019-08-14,Bitstamp,0.0,0.0
2019-08-15,Bitstamp,0.0,0.0
2019-08-16,Bitstamp,0.0,0.0
2019-08-17,Bitstamp,0.0,0.0
2019-08-18,Bitstamp,0.0,0.0
2019-08-19,Bitstamp,0.0,0.0
2019-08-20,Bitstamp,0.0,0.0
2019-08-21,Bitstamp,0.0,0.0
2019-08-22,Bitstamp,0.0,0.0
2019-08-23,Bitstamp,0.0,0.0
2019-08-24,Bitstamp,0.0,0.0
2019-08-25,Bitstamp,0.0,0.0
2019-08-26,Bitstamp,0.0,0.0
2019-08-27,Bitstamp,0.0,0.0
2019-08-28,Bitstamp,0.0,0.0
2019-08-29,Bitstamp,0.0,0.0
2019-08-30,Bitstamp,0.0,0.0
2019-08-31,Bitstamp,0.0,0.0
2019-09-01,Bitstamp,0.0,0.0
2019-09-02,Bitstamp,0.0,0.0
2019-09-03,Bitstamp,0.0,0.0
2019-09-04,Bitstamp,0.0,0.0
2019-09-05,Bitstamp,0.0,0.0
2019-09-06,Bitstamp,0.0,0.0
2019-09-07,Bitstamp,0.0,0.0
2019-09-08,Bitstamp,0.0,0.0
2019-09-09,Bitstamp,0.0,0.0
2019-09-10,Bitstamp,0.0,0.0
2019-09-11,Bitstamp,0.0,0.0
2019-09-12,Bitstamp,0.0,0.0
2019-09-13,Bitstamp,0.0,0.0
2019-09-14,Bitstamp,0.0,0.0
2019-09-15,Bitstamp,0.0,0.0
2019-09-16,Bitstamp,0.0,0.0
2019-09-17,Bitstamp,0.0,0.0
2019-09-18,Bitstamp,0.0,0.0
2019-09-19,Bitstamp,0.0,0.0
2019-09-20,Bitstamp,0.0,0.0
2019-09-21,Bitstamp,0.0,0.0
2019-09-22,Bitstamp,0.0,0.0
2019-09-23,Bitstamp,0.0,0.0
2019-09-24,Bitstamp,0.0,0.0
2019-09-25,Bitstamp,0.0,0.0
2019-09-26,Bitstamp,0.0,0.0
2019-09-27,Bitstamp,0.0,0.0
2019-09-28,Bitstamp,0.0,0.0
2019-09-29,Bitstamp,0.0,0.0
2019-09-30,Bitstamp,0.0,0.0
2019-10-01,Bitstamp,0.0,0.0
2019-10-02,Bitstamp,0.0,0.0
2019-10-03,Bitstamp,0.0,0.0
2019-10-04,Bitstamp,0.0,0.0
2019-10-05,Bitstamp,0.0,0.0
2019-10-06,Bitstamp,0.0,0.0
2019-10-07,Bitstamp,0.0,0.0
2019-10-08,Bitstamp,0.0,0.0
2019-10-09,Bitstamp,0.0,0.0
2019-10-10,Bitstamp,0.0,0.0
2019-10-11,Bitstamp,0.0,0.0
2019-10-12,Bitstamp,0.0,0.0
2019-10-13,Bitstamp,0.0,0.0
2019-10-14,Bitstamp,0.0,0.0
2019-10-15,Bitstamp,0.0,0.0
2019-10-16,Bitstamp,0.0,0.0
2019-10-17,Bitstamp,0.0,0.0
2019-10-18,Bitstamp,0.0,0.0
2019-10-19,Bitstamp,0.0,0.0
2019-10-20,Bitstamp,0.0,0.0
2019-10-21,Bitstamp,0.0,0.0
2019-10-22,Bitstamp,0.0,0.0
2019-10-23,Bitstamp,0.0,0.0
2019-10-24,Bitstamp,0.0,0.0
2019-10-25,Bitstamp,0.0,0.0
2019-10-26,Bitstamp,0.0,0.0
2019-10-27,Bitstamp,0.0,0.0
2019-10-28,Bitstamp,0.0,0.0
2019-10-29,Bitstamp,0.0,0.0
2019-10-30,Bitstamp,0.0,0.0
2019-10-31,Bitstamp,0.0,0.0
2019-11-01,Bitstamp,0.0,0.0
2019-11-02,Bitstamp,0.0,0.0
2019-11-03,Bitstamp,0.0,0.0
2019-11-04,Bitstamp,0.0,0.0
2019-11-05,Bitstamp,0.0,0.0
2019-11-06,Bitstamp,0.0,0.0
2019-11-07,Bitstamp,0.0,0.0
2019-11-08,Bitstamp,0.0,0.0
2019-11-09,Bitstamp,0.0,0.0
2019-11-10,Bitstamp,0.0,0.0
2019-11-11,Bitstamp,0.0,0.0
2019-11-12,Bitstamp,0.0,0.0
2019-11-13,Bitstamp,0.0,0.0
2019-11-14,Bitstamp,0.0,0.0
2019-11-15,Bitstamp,0.0,0.0
2019-11-16,Bitstamp,0.0,0.0
2019-11-17,Bitstamp,0.0,0.0
2019-11-18,Bitstamp,0.0,0.0
2019-11-19,Bitstamp,0.0,0.0
2019-11-20,Bitstamp,0.0,0.0
2019-11-21,Bitstamp,0.0,0.0
2019-11-22,Bitstamp,0.0,0.0
2019-11-23,Bitstamp,0.0,0.0
2019-11-24,Bitstamp,0.0,0.0
2019-11-25,Bitstamp,0.0,0.0
2019-11-26,Bitstamp,0.0,0.0
2019-11-27,Bitstamp,0.0,0.0
2019-11-28,Bitstamp,0.0,0.0
2019-11-29,Bitstamp,0.0,0.0
2019-11-30,Bitstamp,0.0,0.0
2019-12-01,Bitstamp,0.0,0.0
2019-12-02,Bitstamp,0.0,0.0
2019-12-03,Bitstamp,0.0,0.0
2019-12-04,Bitstamp,0.0,0.0
2019-12-05,Bitstamp,0.0,0.0
2019-12-06,Bitstamp,0.0,0.0
2019-12-07,Bitstamp,0.0,0.0
2019-12-08,Bitstamp,0.0,0.0
2019-12-09,Bitstamp,0.0,0.0
2019-12-10,Bitstamp,0.0,0.0
2019-12-11,Bitstamp,0.0,0.0
2019-12-12,Bitstamp,0.0,0.0
2019-12-13,Bitstamp,0.0,0.0
2019-12-14,Bitstamp,0.0,0.0
2019-12-15,Bitstamp,0.0,0.0
2019-12-16,Bitstamp,0.0,0.0
2019-12-17,Bitstamp,0.0,0.0
2019-12-18,Bitstamp,0.0,0.0
2019-12-19,Bitstamp,0.0,0.0
2019-12-20,Bitstamp,0.0,0.0
2019-12-21,Bitstamp,0.0,0.0
2019-12-22,Bitstamp,0.0,0.0
2019-12-23,Bitstamp,0.0,0.0
2019-12-24,Bitstamp,0.0,0.0
2019-12-25,Bitstamp,0.0,0.0
2019-12-26,Bitstamp,0.0,0.0
