Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bittrex,0.0,0.0
2019-06-12,Bittrex,0.0,0.0
2019-06-13,Bittrex,0.0,0.0
2019-06-14,Bittrex,0.0,0.0
2019-06-15,Bittrex,0.0,0.0
2019-06-16,Bittrex,0.0,0.0
2019-06-17,Bittrex,0.0,0.0
2019-06-18,Bittrex,0.0,0.0
2019-06-19,Bittrex,0.0,0.0
2019-06-20,Bittrex,0.0,0.0
2019-06-21,Bittrex,0.0,0.0
2019-06-22,Bittrex,0.0,0.0
2019-06-23,Bittrex,0.0,0.0
2019-06-24,Bittrex,0.0,0.0
2019-06-25,Bittrex,0.0,0.0
2019-06-26,Bittrex,0.0,0.0
2019-06-27,Bittrex,0.0,0.0
2019-06-28,Bittrex,0.0,0.0
2019-06-29,Bittrex,0.0,0.0
2019-06-30,Bittrex,0.0,0.0
2019-07-01,Bittrex,0.0,0.0
2019-07-02,Bittrex,0.0,0.0
2019-07-03,Bittrex,0.0,0.0
2019-07-04,Bittrex,0.0,0.0
2019-07-05,Bittrex,0.0,0.0
2019-07-06,Bittrex,0.0,0.0
2019-07-07,Bittrex,0.0,0.0
2019-07-08,Bittrex,0.0,0.0
2019-07-09,Bittrex,0.0,0.0
2019-07-10,Bittrex,0.0,0.0
2019-07-11,Bittrex,0.0,0.0
2019-07-12,Bittrex,0.0,0.0
2019-07-13,Bittrex,0.0,0.0
2019-07-14,Bittrex,0.0,0.0
2019-07-15,Bittrex,0.0,0.0
2019-07-16,Bittrex,0.0,0.0
2019-07-17,Bittrex,0.0,0.0
2019-07-18,Bittrex,0.0,0.0
2019-07-19,Bittrex,0.0,0.0
2019-07-20,Bittrex,0.0,0.0
2019-07-21,Bittrex,0.0,0.0
2019-07-22,Bittrex,0.0,0.0
2019-07-23,Bittrex,0.0,0.0
2019-07-24,Bittrex,0.0,0.0
2019-07-25,Bittrex,0.0,0.0
2019-07-26,Bittrex,0.0,0.0
2019-07-27,Bittrex,0.0,0.0
2019-07-28,Bittrex,0.0,0.0
2019-07-29,Bittrex,0.0,0.0
2019-07-30,Bittrex,0.0,0.0
2019-07-31,Bittrex,0.0,0.0
2019-08-01,Bittrex,0.0,0.0
2019-08-02,Bittrex,0.0,0.0
2019-08-03,Bittrex,0.0,0.0
2019-08-04,Bittrex,0.0,0.0
2019-08-05,Bittrex,0.0,0.0
2019-08-06,Bittrex,0.0,0.0
2019-08-07,Bittrex,0.0,0.0
2019-08-08,Bittrex,0.0,0.0
2019-08-09,Bittrex,0.0,0.0
2019-08-10,Bittrex,0.0,0.0
2019-08-11,Bittrex,0.0,0.0
2019-08-12,Bittrex,0.0,0.0
2019-08-13,Bittrex,0.0,0.0
2019-08-14,Bittrex,0.0,0.0
2019-08-15,Bittrex,0.0,0.0
2019-08-16,Bittrex,0.0,0.0
2019-08-17,Bittrex,0.0,0.0
2019-08-18,Bittrex,0.0,0.0
2019-08-19,Bittrex,0.0,0.0
2019-08-20,Bittrex,0.0,0.0
2019-08-21,Bittrex,0.0,0.0
2019-08-22,Bittrex,0.0,0.0
2019-08-23,Bittrex,0.0,0.0
2019-08-24,Bittrex,0.0,0.0
2019-08-25,Bittrex,0.0,0.0
2019-08-26,Bittrex,0.0,0.0
2019-08-27,Bittrex,0.0,0.0
2019-08-28,Bittrex,0.0,0.0
2019-08-29,Bittrex,0.0,0.0
2019-08-30,Bittrex,0.0,0.0
2019-08-31,Bittrex,0.0,0.0
2019-09-01,Bittrex,0.0,0.0
2019-09-02,Bittrex,0.0,0.0
2019-09-03,Bittrex,0.0,0.0
2019-09-04,Bittrex,0.0,0.0
2019-09-05,Bittrex,0.0,0.0
2019-09-06,Bittrex,0.0,0.0
2019-09-07,Bittrex,0.0,0.0
2019-09-08,Bittrex,0.0,0.0
2019-09-09,Bittrex,0.0,0.0
2019-09-10,Bittrex,0.0,0.0
2019-09-11,Bittrex,0.0,0.0
2019-09-12,Bittrex,0.0,0.0
2019-09-13,Bittrex,0.0,0.0
2019-09-14,Bittrex,0.0,0.0
2019-09-15,Bittrex,0.0,0.0
2019-09-16,Bittrex,0.0,0.0
2019-09-17,Bittrex,0.0,0.0
2019-09-18,Bittrex,0.0,0.0
2019-09-19,Bittrex,0.0,0.0
2019-09-20,Bittrex,0.0,0.0
2019-09-21,Bittrex,0.0,0.0
2019-09-22,Bittrex,0.0,0.0
2019-09-23,Bittrex,0.0,0.0
2019-09-24,Bittrex,0.0,0.0
2019-09-25,Bittrex,0.0,0.0
2019-09-26,Bittrex,0.0,0.0
2019-09-27,Bittrex,0.0,0.0
2019-09-28,Bittrex,0.0,0.0
2019-09-29,Bittrex,0.0,0.0
2019-09-30,Bittrex,0.0,0.0
2019-10-01,Bittrex,0.0,0.0
2019-10-02,Bittrex,0.0,0.0
2019-10-03,Bittrex,0.0,0.0
2019-10-04,Bittrex,0.0,0.0
2019-10-05,Bittrex,0.0,0.0
2019-10-06,Bittrex,0.0,0.0
2019-10-07,Bittrex,0.0,0.0
2019-10-08,Bittrex,0.0,0.0
2019-10-09,Bittrex,0.0,0.0
2019-10-10,Bittrex,0.0,0.0
2019-10-11,Bittrex,0.0,0.0
2019-10-12,Bittrex,0.0,0.0
2019-10-13,Bittrex,0.0,0.0
2019-10-14,Bittrex,0.0,0.0
2019-10-15,Bittrex,0.0,0.0
2019-10-16,Bittrex,0.0,0.0
2019-10-17,Bittrex,0.0,0.0
