Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Bitvavo,0.0,0.0
2019-06-12,Bitvavo,0.0,0.0
2019-06-13,Bitvavo,0.0,0.0
2019-06-14,Bitvavo,0.0,0.0
2019-06-15,Bitvavo,0.0,0.0
2019-06-16,Bitvavo,0.0,0.0
2019-06-17,Bitvavo,0.0,0.0
2019-06-18,Bitvavo,0.0,0.0
2019-06-19,Bitvavo,0.0,0.0
2019-06-20,Bitvavo,0.0,0.0
2019-06-21,Bitvavo,0.0,0.0
2019-06-22,Bitvavo,0.0,0.0
2019-06-23,Bitvavo,0.0,0.0
2019-06-24,Bitvavo,0.0,0.0
2019-06-25,Bitvavo,0.0,0.0
2019-06-26,Bitvavo,0.0,0.0
2019-06-27,Bitvavo,0.0,0.0
2019-06-28,Bitvavo,0.0,0.0
2019-06-29,Bitvavo,0.0,0.0
2019-06-30,Bitvavo,0.0,0.0
2019-07-01,Bitvavo,0.0,0.0
2019-07-02,Bitvavo,0.0,0.0
2019-07-03,Bitvavo,0.0,0.0
2019-07-04,Bitvavo,0.0,0.0
2019-07-05,Bitvavo,0.0,0.0
2019-07-06,Bitvavo,0.0,0.0
2019-07-07,Bitvavo,0.0,0.0
2019-07-08,Bitvavo,0.0,0.0
2019-07-09,Bitvavo,0.0,0.0
2019-07-10,Bitvavo,0.0,0.0
2019-07-11,Bitvavo,0.0,0.0
2019-07-12,Bitvavo,0.0,0.0
2019-07-13,Bitvavo,0.0,0.0
2019-07-14,Bitvavo,0.0,0.0
2019-07-15,Bitvavo,0.0,0.0
2019-07-16,Bitvavo,0.0,0.0
2019-07-17,Bitvavo,0.0,0.0
2019-07-18,Bitvavo,0.0,0.0
2019-07-19,Bitvavo,0.0,0.0
2019-07-20,Bitvavo,0.0,0.0
2019-07-21,Bitvavo,0.0,0.0
2019-07-22,Bitvavo,0.0,0.0
2019-07-23,Bitvavo,0.0,0.0
2019-07-24,Bitvavo,0.0,0.0
2019-07-25,Bitvavo,0.0,0.0
2019-07-26,Bitvavo,0.0,0.0
2019-07-27,Bitvavo,0.0,0.0
2019-07-28,Bitvavo,0.0,0.0
2019-07-29,Bitvavo,0.0,0.0
2019-07-30,Bitvavo,0.0,0.0
2019-07-31,Bitvavo,0.0,0.0
2019-08-01,Bitvavo,0.0,0.0
2019-08-02,Bitvavo,0.0,0.0
2019-08-03,Bitvavo,0.0,0.0
2019-08-04,Bitvavo,0.0,0.0
2019-08-05,Bitvavo,0.0,0.0
2019-08-06,Bitvavo,0.0,0.0
2019-08-07,Bitvavo,0.0,0.0
2019-08-08,Bitvavo,0.0,0.0
2019-08-09,Bitvavo,0.0,0.0
2019-08-10,Bitvavo,0.0,0.0
2019-08-11,Bitvavo,0.0,0.0
2019-08-12,Bitvavo,0.0,0.0
2019-08-13,Bitvavo,0.0,0.0
2019-08-14,Bitvavo,0.0,0.0
2019-08-15,Bitvavo,0.0,0.0
2019-08-16,Bitvavo,0.0,0.0
2019-08-17,Bitvavo,0.0,0.0
2019-08-18,Bitvavo,0.0,0.0
2019-08-19,Bitvavo,0.0,0.0
2019-08-20,Bitvavo,0.0,0.0
2019-08-21,Bitvavo,0.0,0.0
2019-08-22,Bitvavo,0.0,0.0
2019-08-23,Bitvavo,0.0,0.0
2019-08-24,Bitvavo,0.0,0.0
2019-08-25,Bitvavo,0.0,0.0
2019-08-26,Bitvavo,0.0,0.0
2019-08-27,Bitvavo,0.0,0.0
2019-08-28,Bitvavo,0.0,0.0
2019-08-29,Bitvavo,0.0,0.0
2019-08-30,Bitvavo,0.0,0.0
2019-08-31,Bitvavo,0.0,0.0
2019-09-01,Bitvavo,0.0,0.0
2019-09-02,Bitvavo,0.0,0.0
2019-09-03,Bitvavo,0.0,0.0
2019-09-04,Bitvavo,0.0,0.0
2019-09-05,Bitvavo,0.0,0.0
2019-09-06,Bitvavo,0.0,0.0
2019-09-07,Bitvavo,0.0,0.0
2019-09-08,Bitvavo,0.0,0.0
2019-09-09,Bitvavo,0.0,0.0
2019-09-10,Bitvavo,0.0,0.0
2019-09-11,Bitvavo,0.0,0.0
2019-09-12,Bitvavo,0.0,0.0
2019-09-13,Bitvavo,0.0,0.0
2019-09-14,Bitvavo,0.0,0.0
2019-09-15,Bitvavo,0.0,0.0
2019-09-16,Bitvavo,0.0,0.0
2019-09-17,Bitvavo,0.0,0.0
