Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,ByBit,0.0,0.0
2019-06-12,ByBit,0.0,0.0
2019-06-13,ByBit,0.0,0.0
2019-06-14,ByBit,0.0,0.0
2019-06-15,ByBit,0.0,0.0
2019-06-16,ByBit,0.0,0.0
2019-06-17,ByBit,0.0,0.0
2019-06-18,ByBit,0.0,0.0
2019-06-19,ByBit,0.0,0.0
2019-06-20,ByBit,0.0,0.0
2019-06-21,ByBit,0.0,0.0
2019-06-22,ByBit,0.0,0.0
2019-06-23,ByBit,0.0,0.0
2019-06-24,ByBit,0.0,0.0
2019-06-25,ByBit,0.0,0.0
2019-06-26,ByBit,0.0,0.0
2019-06-27,ByBit,0.0,0.0
2019-06-28,ByBit,0.0,0.0
2019-06-29,ByBit,0.0,0.0
2019-06-30,ByBit,0.0,0.0
2019-07-01,ByBit,0.0,0.0
2019-07-02,ByBit,0.0,0.0
2019-07-03,ByBit,0.0,0.0
2019-07-04,ByBit,0.0,0.0
2019-07-05,ByBit,0.0,0.0
2019-07-06,ByBit,0.0,0.0
2019-07-07,ByBit,0.0,0.0
2019-07-08,ByBit,0.0,0.0
2019-07-09,ByBit,0.0,0.0
2019-07-10,ByBit,0.0,0.0
2019-07-11,ByBit,0.0,0.0
2019-07-12,ByBit,0.0,0.0
2019-07-13,ByBit,0.0,0.0
2019-07-14,ByBit,0.0,0.0
2019-07-15,ByBit,0.0,0.0
2019-07-16,ByBit,0.0,0.0
2019-07-17,ByBit,0.0,0.0
2019-07-18,ByBit,0.0,0.0
2019-07-19,ByBit,0.0,0.0
2019-07-20,ByBit,0.0,0.0
2019-07-21,ByBit,0.0,0.0
2019-07-22,ByBit,0.0,0.0
2019-07-23,ByBit,0.0,0.0
2019-07-24,ByBit,0.0,0.0
2019-07-25,ByBit,0.0,0.0
2019-07-26,ByBit,0.0,0.0
2019-07-27,ByBit,0.0,0.0
2019-07-28,ByBit,0.0,0.0
2019-07-29,ByBit,0.0,0.0
2019-07-30,ByBit,0.0,0.0
2019-07-31,ByBit,0.0,0.0
2019-08-01,ByBit,0.0,0.0
2019-08-02,ByBit,0.0,0.0
2019-08-03,ByBit,0.0,0.0
2019-08-04,ByBit,0.0,0.0
2019-08-05,ByBit,0.0,0.0
2019-08-06,ByBit,0.0,0.0
2019-08-07,ByBit,0.0,0.0
2019-08-08,ByBit,0.0,0.0
2019-08-09,ByBit,0.0,0.0
2019-08-10,ByBit,0.0,0.0
2019-08-11,ByBit,0.0,0.0
2019-08-12,ByBit,0.0,0.0
2019-08-13,ByBit,0.0,0.0
2019-08-14,ByBit,0.0,0.0
2019-08-15,ByBit,0.0,0.0
2019-08-16,ByBit,0.0,0.0
2019-08-17,ByBit,0.0,0.0
2019-08-18,ByBit,0.0,0.0
2019-08-19,ByBit,0.0,0.0
2019-08-20,ByBit,0.0,0.0
2019-08-21,ByBit,0.0,0.0
2019-08-22,ByBit,0.0,0.0
2019-08-23,ByBit,0.0,0.0
2019-08-24,ByBit,0.0,0.0
2019-08-25,ByBit,0.0,0.0
2019-08-26,ByBit,0.0,0.0
2019-08-27,ByBit,0.0,0.0
2019-08-28,ByBit,0.0,0.0
2019-08-29,ByBit,0.0,0.0
2019-08-30,ByBit,0.0,0.0
