Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Changelly,0.0,0.0
2019-06-12,Changelly,0.0,0.0
2019-06-13,Changelly,0.0,0.0
2019-06-14,Changelly,0.0,0.0
2019-06-15,Changelly,0.0,0.0
2019-06-16,Changelly,0.0,0.0
2019-06-17,Changelly,0.0,0.0
2019-06-18,Changelly,0.0,0.0
2019-06-19,Changelly,0.0,0.0
2019-06-20,Changelly,0.0,0.0
2019-06-21,Changelly,0.0,0.0
2019-06-22,Changelly,0.0,0.0
2019-06-23,Changelly,0.0,0.0
2019-06-24,Changelly,0.0,0.0
2019-06-25,Changelly,0.0,0.0
2019-06-26,Changelly,0.0,0.0
2019-06-27,Changelly,0.0,0.0
2019-06-28,Changelly,0.0,0.0
2019-06-29,Changelly,0.0,0.0
2019-06-30,Changelly,0.0,0.0
2019-07-01,Changelly,0.0,0.0
2019-07-02,Changelly,0.0,0.0
2019-07-03,Changelly,0.0,0.0
2019-07-04,Changelly,0.0,0.0
2019-07-05,Changelly,0.0,0.0
2019-07-06,Changelly,0.0,0.0
2019-07-07,Changelly,0.0,0.0
2019-07-08,Changelly,0.0,0.0
2019-07-09,Changelly,0.0,0.0
2019-07-10,Changelly,0.0,0.0
2019-07-11,Changelly,0.0,0.0
2019-07-12,Changelly,0.0,0.0
2019-07-13,Changelly,0.0,0.0
2019-07-14,Changelly,0.0,0.0
2019-07-15,Changelly,0.0,0.0
2019-07-16,Changelly,0.0,0.0
2019-07-17,Changelly,0.0,0.0
2019-07-18,Changelly,0.0,0.0
2019-07-19,Changelly,0.0,0.0
2019-07-20,Changelly,0.0,0.0
2019-07-21,Changelly,0.0,0.0
2019-07-22,Changelly,0.0,0.0
2019-07-23,Changelly,0.0,0.0
2019-07-24,Changelly,0.0,0.0
2019-07-25,Changelly,0.0,0.0
2019-07-26,Changelly,0.0,0.0
2019-07-27,Changelly,0.0,0.0
2019-07-28,Changelly,0.0,0.0
2019-07-29,Changelly,0.0,0.0
2019-07-30,Changelly,0.0,0.0
2019-07-31,Changelly,0.0,0.0
2019-08-01,Changelly,0.0,0.0
2019-08-02,Changelly,0.0,0.0
2019-08-03,Changelly,0.0,0.0
2019-08-04,Changelly,0.0,0.0
2019-08-05,Changelly,0.0,0.0
2019-08-06,Changelly,0.0,0.0
2019-08-07,Changelly,0.0,0.0
2019-08-08,Changelly,0.0,0.0
2019-08-09,Changelly,0.0,0.0
2019-08-10,Changelly,0.0,0.0
2019-08-11,Changelly,0.0,0.0
2019-08-12,Changelly,0.0,0.0
2019-08-13,Changelly,0.0,0.0
2019-08-14,Changelly,0.0,0.0
2019-08-15,Changelly,0.0,0.0
2019-08-16,Changelly,0.0,0.0
2019-08-17,Changelly,0.0,0.0
2019-08-18,Changelly,0.0,0.0
2019-08-19,Changelly,0.0,0.0
2019-08-20,Changelly,0.0,0.0
2019-08-21,Changelly,0.0,0.0
2019-08-22,Changelly,0.0,0.0
2019-08-23,Changelly,0.0,0.0
2019-08-24,Changelly,0.0,0.0
2019-08-25,Changelly,0.0,0.0
2019-08-26,Changelly,0.0,0.0
2019-08-27,Changelly,0.0,0.0
2019-08-28,Changelly,0.0,0.0
2019-08-29,Changelly,0.0,0.0
2019-08-30,Changelly,0.0,0.0
2019-08-31,Changelly,0.0,0.0
2019-09-01,Changelly,0.0,0.0
2019-09-02,Changelly,0.0,0.0
2019-09-03,Changelly,0.0,0.0
2019-09-04,Changelly,0.0,0.0
2019-09-05,Changelly,0.0,0.0
2019-09-06,Changelly,0.0,0.0
2019-09-07,Changelly,0.0,0.0
2019-09-08,Changelly,0.0,0.0
2019-09-09,Changelly,0.0,0.0
2019-09-10,Changelly,0.0,0.0
2019-09-11,Changelly,0.0,0.0
2019-09-12,Changelly,0.0,0.0
