Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,CoinSpot,0.0,0.0
2019-06-12,CoinSpot,0.0,0.0
2019-06-13,CoinSpot,0.0,0.0
2019-06-14,CoinSpot,0.0,0.0
2019-06-15,CoinSpot,0.0,0.0
2019-06-16,CoinSpot,0.0,0.0
2019-06-17,CoinSpot,0.0,0.0
2019-06-18,CoinSpot,0.0,0.0
2019-06-19,CoinSpot,0.0,0.0
2019-06-20,CoinSpot,0.0,0.0
2019-06-21,CoinSpot,0.0,0.0
2019-06-22,CoinSpot,0.0,0.0
2019-06-23,CoinSpot,0.0,0.0
2019-06-24,CoinSpot,0.0,0.0
2019-06-25,CoinSpot,0.0,0.0
2019-06-26,CoinSpot,0.0,0.0
2019-06-27,CoinSpot,0.0,0.0
2019-06-28,CoinSpot,0.0,0.0
2019-06-29,CoinSpot,0.0,0.0
2019-06-30,CoinSpot,0.0,0.0
2019-07-01,CoinSpot,0.0,0.0
2019-07-02,CoinSpot,0.0,0.0
2019-07-03,CoinSpot,0.0,0.0
2019-07-04,CoinSpot,0.0,0.0
2019-07-05,CoinSpot,0.0,0.0
2019-07-06,CoinSpot,0.0,0.0
2019-07-07,CoinSpot,0.0,0.0
2019-07-08,CoinSpot,0.0,0.0
2019-07-09,CoinSpot,0.0,0.0
2019-07-10,CoinSpot,0.0,0.0
2019-07-11,CoinSpot,0.0,0.0
2019-07-12,CoinSpot,0.0,0.0
2019-07-13,CoinSpot,0.0,0.0
2019-07-14,CoinSpot,0.0,0.0
2019-07-15,CoinSpot,0.0,0.0
2019-07-16,CoinSpot,0.0,0.0
2019-07-17,CoinSpot,0.0,0.0
2019-07-18,CoinSpot,0.0,0.0
2019-07-19,CoinSpot,0.0,0.0
2019-07-20,CoinSpot,0.0,0.0
2019-07-21,CoinSpot,0.0,0.0
2019-07-22,CoinSpot,0.0,0.0
2019-07-23,CoinSpot,0.0,0.0
2019-07-24,CoinSpot,0.0,0.0
2019-07-25,CoinSpot,0.0,0.0
2019-07-26,CoinSpot,0.0,0.0
2019-07-27,CoinSpot,0.0,0.0
2019-07-28,CoinSpot,0.0,0.0
2019-07-29,CoinSpot,0.0,0.0
2019-07-30,CoinSpot,0.0,0.0
2019-07-31,CoinSpot,0.0,0.0
2019-08-01,CoinSpot,0.0,0.0
2019-08-02,CoinSpot,0.0,0.0
2019-08-03,CoinSpot,0.0,0.0
2019-08-04,CoinSpot,0.0,0.0
2019-08-05,CoinSpot,0.0,0.0
2019-08-06,CoinSpot,0.0,0.0
2019-08-07,CoinSpot,0.0,0.0
2019-08-08,CoinSpot,0.0,0.0
2019-08-09,CoinSpot,0.0,0.0
2019-08-10,CoinSpot,0.0,0.0
2019-08-11,CoinSpot,0.0,0.0
2019-08-12,CoinSpot,0.0,0.0
2019-08-13,CoinSpot,0.0,0.0
2019-08-14,CoinSpot,0.0,0.0
2019-08-15,CoinSpot,0.0,0.0
2019-08-16,CoinSpot,0.0,0.0
2019-08-17,CoinSpot,0.0,0.0
2019-08-18,CoinSpot,0.0,0.0
2019-08-19,CoinSpot,0.0,0.0
2019-08-20,CoinSpot,0.0,0.0
2019-08-21,CoinSpot,0.0,0.0
2019-08-22,CoinSpot,0.0,0.0
2019-08-23,CoinSpot,0.0,0.0
2019-08-24,CoinSpot,0.0,0.0
2019-08-25,CoinSpot,0.0,0.0
2019-08-26,CoinSpot,0.0,0.0
2019-08-27,CoinSpot,0.0,0.0
2019-08-28,CoinSpot,0.0,0.0
2019-08-29,CoinSpot,0.0,0.0
2019-08-30,CoinSpot,0.0,0.0
2019-08-31,CoinSpot,0.0,0.0
2019-09-01,CoinSpot,0.0,0.0
2019-09-02,CoinSpot,0.0,0.0
2019-09-03,CoinSpot,0.0,0.0
2019-09-04,CoinSpot,0.0,0.0
2019-09-05,CoinSpot,0.0,0.0
2019-09-06,CoinSpot,0.0,0.0
2019-09-07,CoinSpot,0.0,0.0
2019-09-08,CoinSpot,0.0,0.0
2019-09-09,CoinSpot,0.0,0.0
2019-09-10,CoinSpot,0.0,0.0
2019-09-11,CoinSpot,0.0,0.0
2019-09-12,CoinSpot,0.0,0.0
2019-09-13,CoinSpot,0.0,0.0
2019-09-14,CoinSpot,0.0,0.0
2019-09-15,CoinSpot,0.0,0.0
2019-09-16,CoinSpot,0.0,0.0
2019-09-17,CoinSpot,0.0,0.0
2019-09-18,CoinSpot,0.0,0.0
2019-09-19,CoinSpot,0.0,0.0
2019-09-20,CoinSpot,0.0,0.0
2019-09-21,CoinSpot,0.0,0.0
2019-09-22,CoinSpot,0.0,0.0
2019-09-23,CoinSpot,0.0,0.0
2019-09-24,CoinSpot,0.0,0.0
2019-09-25,CoinSpot,0.0,0.0
2019-09-26,CoinSpot,0.0,0.0
2019-09-27,CoinSpot,0.0,0.0
2019-09-28,CoinSpot,0.0,0.0
2019-09-29,CoinSpot,0.0,0.0
2019-09-30,CoinSpot,0.0,0.0
