Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Coinbase,0.0,0.0
2019-06-12,Coinbase,0.0,0.0
2019-06-13,Coinbase,0.0,0.0
2019-06-14,Coinbase,0.0,0.0
2019-06-15,Coinbase,0.0,0.0
2019-06-16,Coinbase,0.0,0.0
2019-06-17,Coinbase,0.0,0.0
2019-06-18,Coinbase,0.0,0.0
2019-06-19,Coinbase,0.0,0.0
2019-06-20,Coinbase,0.0,0.0
2019-06-21,Coinbase,0.0,0.0
2019-06-22,Coinbase,0.0,0.0
2019-06-23,Coinbase,0.0,0.0
2019-06-24,Coinbase,0.0,0.0
2019-06-25,Coinbase,0.0,0.0
2019-06-26,Coinbase,0.0,0.0
2019-06-27,Coinbase,0.0,0.0
2019-06-28,Coinbase,0.0,0.0
2019-06-29,Coinbase,0.0,0.0
2019-06-30,Coinbase,0.0,0.0
2019-07-01,Coinbase,0.0,0.0
2019-07-02,Coinbase,0.0,0.0
2019-07-03,Coinbase,0.0,0.0
2019-07-04,Coinbase,0.0,0.0
2019-07-05,Coinbase,0.0,0.0
2019-07-06,Coinbase,0.0,0.0
2019-07-07,Coinbase,0.0,0.0
2019-07-08,Coinbase,0.0,0.0
2019-07-09,Coinbase,0.0,0.0
2019-07-10,Coinbase,0.0,0.0
2019-07-11,Coinbase,0.0,0.0
2019-07-12,Coinbase,0.0,0.0
2019-07-13,Coinbase,0.0,0.0
2019-07-14,Coinbase,0.0,0.0
2019-07-15,Coinbase,0.0,0.0
2019-07-16,Coinbase,0.0,0.0
2019-07-17,Coinbase,0.0,0.0
2019-07-18,Coinbase,0.0,0.0
2019-07-19,Coinbase,0.0,0.0
2019-07-20,Coinbase,0.0,0.0
2019-07-21,Coinbase,0.0,0.0
2019-07-22,Coinbase,0.0,0.0
2019-07-23,Coinbase,8.956559,8.956559
2019-07-24,Coinbase,19.000028,10.043469
2019-07-25,Coinbase,19.000028,0.0
2019-07-26,Coinbase,19.000028,0.0
2019-07-27,Coinbase,19.000028,0.0
2019-07-28,Coinbase,19.000028,0.0
2019-07-29,Coinbase,19.000028,0.0
2019-07-30,Coinbase,19.000028,0.0
2019-07-31,Coinbase,18.0,-1.000028
2019-08-01,Coinbase,9.889434,-8.110566
2019-08-02,Coinbase,7.888886,-2.000548
2019-08-03,Coinbase,7.888886,0.0
2019-08-04,Coinbase,7.888886,0.0
2019-08-05,Coinbase,9.884178,1.995292
2019-08-06,Coinbase,15.870444,5.986266
2019-08-07,Coinbase,18.957373,3.086929
2019-08-08,Coinbase,18.957373,0.0
2019-08-09,Coinbase,18.957373,0.0
2019-08-10,Coinbase,18.957373,0.0
2019-08-11,Coinbase,18.957373,0.0
2019-08-12,Coinbase,18.598681,-0.358692
2019-08-13,Coinbase,22.688097,4.089416
2019-08-14,Coinbase,1040087.512865,1040064.824768
2019-08-15,Coinbase,537725.698634,-502361.814231
2019-08-16,Coinbase,561741.889095,24016.190461
2019-08-17,Coinbase,604003.725259,42261.836164
2019-08-18,Coinbase,611615.218838,7611.493579
2019-08-19,Coinbase,577133.721005,-34481.497833
2019-08-20,Coinbase,665891.686131,88757.965126
2019-08-21,Coinbase,1840216.559761,1174324.87363
2019-08-22,Coinbase,4107645.745873,2267429.186112
2019-08-23,Coinbase,1996701.640825,-2110944.105048
2019-08-24,Coinbase,1983963.723691,-12737.917134
2019-08-25,Coinbase,1954557.295487,-29406.428204
2019-08-26,Coinbase,1958894.880999,4337.585512
2019-08-27,Coinbase,2002512.206793,43617.325794
2019-08-28,Coinbase,1962587.046808,-39925.159985
2019-08-29,Coinbase,2019880.575822,57293.529014
2019-08-30,Coinbase,2016624.745324,-3255.830498
2019-08-31,Coinbase,1933231.225104,-83393.52022
2019-09-01,Coinbase,1884647.619944,-48583.60516
2019-09-02,Coinbase,1920500.797885,35853.177941
2019-09-03,Coinbase,1907083.184387,-13417.613498
2019-09-04,Coinbase,1913468.561278,6385.376891
2019-09-05,Coinbase,1949093.478461,35624.917183
2019-09-06,Coinbase,2053032.052355,103938.573894
2019-09-07,Coinbase,1999746.010598,-53286.041757
2019-09-08,Coinbase,2022191.67532,22445.664722
2019-09-09,Coinbase,1749435.340723,-272756.334597
2019-09-10,Coinbase,1724720.111077,-24715.229646
2019-09-11,Coinbase,1839243.915831,114523.804754
2019-09-12,Coinbase,2062795.158079,223551.242248
2019-09-13,Coinbase,1257965.127744,-804830.030335
2019-09-14,Coinbase,1296988.111391,39022.983647
2019-09-15,Coinbase,1287809.114392,-9178.996999
2019-09-16,Coinbase,1298295.542585,10486.428193
2019-09-17,Coinbase,1336544.291895,38248.74931
2019-09-18,Coinbase,1542888.266119,206343.974224
2019-09-19,Coinbase,1610618.994695,67730.728576
2019-09-20,Coinbase,1666335.039321,55716.044626
2019-09-21,Coinbase,1673892.699465,7557.660144
2019-09-22,Coinbase,1650197.276557,-23695.422908
2019-09-23,Coinbase,1716579.34547,66382.068913
2019-09-24,Coinbase,1878854.30106,162274.95559
2019-09-25,Coinbase,1780615.748605,-98238.552455
2019-09-26,Coinbase,1906768.175663,126152.427058
2019-09-27,Coinbase,1879840.993137,-26927.182526
2019-09-28,Coinbase,1894482.019428,14641.026291
2019-09-29,Coinbase,1628521.108147,-265960.911281
2019-09-30,Coinbase,1610886.347864,-17634.760283
2019-10-01,Coinbase,1919833.514352,308947.166488
2019-10-02,Coinbase,1673254.906638,-246578.607714
2019-10-03,Coinbase,1629214.723376,-44040.183262
2019-10-04,Coinbase,1641327.704143,12112.980767
2019-10-05,Coinbase,1640854.020292,-473.683851
2019-10-06,Coinbase,2000835.222071,359981.201779
2019-10-07,Coinbase,1986485.497002,-14349.725069
2019-10-08,Coinbase,1956708.065091,-29777.431911
2019-10-09,Coinbase,1935913.03708,-20795.028011
2019-10-10,Coinbase,2009182.337998,73269.300918
2019-10-11,Coinbase,1718648.402682,-290533.935316
2019-10-12,Coinbase,1704992.18209,-13656.220592
2019-10-13,Coinbase,1710196.699584,5204.517494
2019-10-14,Coinbase,1671882.884117,-38313.815467
2019-10-15,Coinbase,1581185.481995,-90697.402122
2019-10-16,Coinbase,1360665.072513,-220520.409482
2019-10-17,Coinbase,1341858.738925,-18806.333588
2019-10-18,Coinbase,1913081.652906,571222.913981
2019-10-19,Coinbase,1914867.80711,1786.154204
2019-10-20,Coinbase,1944379.664449,29511.857339
2019-10-21,Coinbase,1934513.888116,-9865.776333
2019-10-22,Coinbase,1971605.280762,37091.392646
2019-10-23,Coinbase,1845331.325787,-126273.954975
2019-10-24,Coinbase,1979466.267316,134134.941529
2019-10-25,Coinbase,1812484.102526,-166982.16479
2019-10-26,Coinbase,1846398.383271,33914.280745
2019-10-27,Coinbase,1965222.393916,118824.010645
2019-10-28,Coinbase,1942441.686628,-22780.707288
2019-10-29,Coinbase,1814155.011976,-128286.674652
2019-10-30,Coinbase,1874938.742699,60783.730723
2019-10-31,Coinbase,1700500.622818,-174438.119881
2019-11-01,Coinbase,1434608.127769,-265892.495049
2019-11-02,Coinbase,56473.123053,-1378135.004716
2019-11-03,Coinbase,2090450.498086,2033977.375033
2019-11-04,Coinbase,1999653.131525,-90797.366561
2019-11-05,Coinbase,1441896.71506,-557756.416465
2019-11-06,Coinbase,2029344.957391,587448.242331
2019-11-07,Coinbase,3987727.457191,1958382.4998
2019-11-08,Coinbase,4078430.99883,90703.541639
2019-11-09,Coinbase,4092100.435263,13669.436433
2019-11-10,Coinbase,3779943.660731,-312156.774532
