Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Coinex,0.0,0.0
2019-06-12,Coinex,0.0,0.0
2019-06-13,Coinex,0.0,0.0
2019-06-14,Coinex,0.0,0.0
2019-06-15,Coinex,0.0,0.0
2019-06-16,Coinex,0.0,0.0
2019-06-17,Coinex,0.0,0.0
2019-06-18,Coinex,0.0,0.0
2019-06-19,Coinex,0.0,0.0
2019-06-20,Coinex,0.0,0.0
2019-06-21,Coinex,7528.213501,7528.213501
2019-06-22,Coinex,13471.068484,5942.854983
2019-06-23,Coinex,16806.894757,3335.826273
2019-06-24,Coinex,21444.545267,4637.65051
2019-06-25,Coinex,23969.48101,2524.935743
2019-06-26,Coinex,23897.154561,-72.326449
2019-06-27,Coinex,23962.92503,65.770469
2019-06-28,Coinex,23685.747467,-277.177563
2019-06-29,Coinex,23830.463542,144.716075
2019-06-30,Coinex,27709.582855,3879.119313
2019-07-01,Coinex,27709.582855,0.0
2019-07-02,Coinex,27669.928553,-39.654302
2019-07-03,Coinex,27706.639487,36.710934
2019-07-04,Coinex,27764.355604,57.716117
2019-07-05,Coinex,27758.043992,-6.311612
2019-07-06,Coinex,27825.546693,67.502701
2019-07-07,Coinex,31932.680248,4107.133555
2019-07-08,Coinex,29003.149163,-2929.531085
2019-07-09,Coinex,29003.149163,0.0
2019-07-10,Coinex,30210.314094,1207.164931
2019-07-11,Coinex,30210.314094,0.0
2019-07-12,Coinex,31376.192841,1165.878747
2019-07-13,Coinex,31307.195484,-68.997357
2019-07-14,Coinex,31724.304889,417.109405
2019-07-15,Coinex,32583.312638,859.007749
2019-07-16,Coinex,32583.312638,0.0
2019-07-17,Coinex,32583.312638,0.0
2019-07-18,Coinex,30051.008711,-2532.303927
2019-07-19,Coinex,30051.008711,0.0
2019-07-20,Coinex,30051.008711,0.0
2019-07-21,Coinex,30051.008711,0.0
2019-07-22,Coinex,30755.3137,704.304989
2019-07-23,Coinex,31152.363281,397.049581
2019-07-24,Coinex,42128.967196,10976.603915
2019-07-25,Coinex,42128.967196,0.0
2019-07-26,Coinex,39073.413965,-3055.553231
2019-07-27,Coinex,39197.715143,124.301178
2019-07-28,Coinex,40896.287919,1698.572776
2019-07-29,Coinex,38940.857661,-1955.430258
2019-07-30,Coinex,44233.890894,5293.033233
2019-07-31,Coinex,23236.645973,-20997.244921
2019-08-01,Coinex,23995.029719,758.383746
2019-08-02,Coinex,41342.217088,17347.187369
2019-08-03,Coinex,55219.133313,13876.916225
2019-08-04,Coinex,55219.133313,0.0
2019-08-05,Coinex,47751.819797,-7467.313516
2019-08-06,Coinex,47470.360261,-281.459536
2019-08-07,Coinex,47518.872737,48.512476
2019-08-08,Coinex,33523.743041,-13995.129696
2019-08-09,Coinex,33562.582488,38.839447
2019-08-10,Coinex,33223.889367,-338.693121
2019-08-11,Coinex,33180.029981,-43.859386
2019-08-12,Coinex,32095.061199,-1084.968782
2019-08-13,Coinex,32353.576179,258.51498
2019-08-14,Coinex,36079.45317,3725.876991
2019-08-15,Coinex,36888.944709,809.491539
2019-08-16,Coinex,33798.801719,-3090.14299
2019-08-17,Coinex,33798.801719,0.0
2019-08-18,Coinex,36821.337153,3022.535434
2019-08-19,Coinex,35682.201566,-1139.135587
2019-08-20,Coinex,31922.016063,-3760.185503
2019-08-21,Coinex,35929.742137,4007.726074
2019-08-22,Coinex,42031.170087,6101.42795
2019-08-23,Coinex,39369.098146,-2662.071941
2019-08-24,Coinex,39147.839196,-221.25895
2019-08-25,Coinex,39147.839196,0.0
2019-08-26,Coinex,38644.376347,-503.462849
2019-08-27,Coinex,38539.182573,-105.193774
2019-08-28,Coinex,39268.640986,729.458413
2019-08-29,Coinex,44613.56697,5344.925984
2019-08-30,Coinex,43937.097247,-676.469723
2019-08-31,Coinex,43950.755781,13.658534
2019-09-01,Coinex,43950.755781,0.0
