Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Coinlist,0.0,0.0
2019-06-12,Coinlist,0.0,0.0
2019-06-13,Coinlist,0.0,0.0
2019-06-14,Coinlist,0.0,0.0
2019-06-15,Coinlist,0.0,0.0
2019-06-16,Coinlist,0.0,0.0
2019-06-17,Coinlist,0.0,0.0
2019-06-18,Coinlist,0.0,0.0
2019-06-19,Coinlist,0.0,0.0
2019-06-20,Coinlist,0.0,0.0
2019-06-21,Coinlist,0.0,0.0
2019-06-22,Coinlist,0.0,0.0
2019-06-23,Coinlist,0.0,0.0
2019-06-24,Coinlist,0.0,0.0
2019-06-25,Coinlist,0.0,0.0
2019-06-26,Coinlist,0.0,0.0
2019-06-27,Coinlist,0.0,0.0
2019-06-28,Coinlist,0.0,0.0
2019-06-29,Coinlist,0.0,0.0
2019-06-30,Coinlist,0.0,0.0
2019-07-01,Coinlist,0.0,0.0
2019-07-02,Coinlist,0.0,0.0
2019-07-03,Coinlist,0.0,0.0
2019-07-04,Coinlist,0.0,0.0
2019-07-05,Coinlist,0.0,0.0
2019-07-06,Coinlist,0.0,0.0
2019-07-07,Coinlist,0.0,0.0
2019-07-08,Coinlist,0.0,0.0
2019-07-09,Coinlist,0.0,0.0
2019-07-10,Coinlist,0.0,0.0
2019-07-11,Coinlist,0.0,0.0
2019-07-12,Coinlist,0.0,0.0
2019-07-13,Coinlist,0.0,0.0
2019-07-14,Coinlist,0.0,0.0
2019-07-15,Coinlist,0.0,0.0
2019-07-16,Coinlist,0.0,0.0
2019-07-17,Coinlist,0.0,0.0
2019-07-18,Coinlist,0.0,0.0
2019-07-19,Coinlist,0.0,0.0
2019-07-20,Coinlist,0.0,0.0
2019-07-21,Coinlist,0.0,0.0
2019-07-22,Coinlist,0.0,0.0
2019-07-23,Coinlist,0.0,0.0
2019-07-24,Coinlist,0.0,0.0
2019-07-25,Coinlist,0.0,0.0
2019-07-26,Coinlist,0.0,0.0
2019-07-27,Coinlist,0.0,0.0
2019-07-28,Coinlist,0.0,0.0
2019-07-29,Coinlist,0.0,0.0
2019-07-30,Coinlist,0.0,0.0
2019-07-31,Coinlist,0.0,0.0
2019-08-01,Coinlist,0.0,0.0
2019-08-02,Coinlist,0.0,0.0
2019-08-03,Coinlist,0.0,0.0
2019-08-04,Coinlist,0.0,0.0
2019-08-05,Coinlist,0.0,0.0
2019-08-06,Coinlist,0.0,0.0
2019-08-07,Coinlist,0.0,0.0
2019-08-08,Coinlist,0.0,0.0
2019-08-09,Coinlist,0.0,0.0
2019-08-10,Coinlist,0.0,0.0
2019-08-11,Coinlist,0.0,0.0
2019-08-12,Coinlist,0.0,0.0
2019-08-13,Coinlist,0.0,0.0
2019-08-14,Coinlist,0.0,0.0
2019-08-15,Coinlist,0.0,0.0
2019-08-16,Coinlist,0.0,0.0
2019-08-17,Coinlist,0.0,0.0
2019-08-18,Coinlist,0.0,0.0
2019-08-19,Coinlist,0.0,0.0
2019-08-20,Coinlist,0.0,0.0
2019-08-21,Coinlist,0.0,0.0
2019-08-22,Coinlist,0.0,0.0
2019-08-23,Coinlist,0.0,0.0
2019-08-24,Coinlist,0.0,0.0
2019-08-25,Coinlist,0.0,0.0
2019-08-26,Coinlist,0.0,0.0
2019-08-27,Coinlist,0.0,0.0
2019-08-28,Coinlist,0.0,0.0
2019-08-29,Coinlist,0.0,0.0
2019-08-30,Coinlist,0.0,0.0
2019-08-31,Coinlist,0.0,0.0
2019-09-01,Coinlist,0.0,0.0
2019-09-02,Coinlist,0.0,0.0
2019-09-03,Coinlist,0.0,0.0
2019-09-04,Coinlist,0.0,0.0
2019-09-05,Coinlist,0.0,0.0
2019-09-06,Coinlist,0.0,0.0
2019-09-07,Coinlist,0.0,0.0
2019-09-08,Coinlist,0.0,0.0
2019-09-09,Coinlist,0.0,0.0
2019-09-10,Coinlist,0.0,0.0
2019-09-11,Coinlist,0.0,0.0
2019-09-12,Coinlist,0.0,0.0
2019-09-13,Coinlist,0.0,0.0
2019-09-14,Coinlist,0.0,0.0
2019-09-15,Coinlist,0.0,0.0
2019-09-16,Coinlist,0.0,0.0
2019-09-17,Coinlist,0.0,0.0
2019-09-18,Coinlist,0.0,0.0
2019-09-19,Coinlist,0.0,0.0
2019-09-20,Coinlist,0.0,0.0
2019-09-21,Coinlist,0.0,0.0
2019-09-22,Coinlist,0.0,0.0
2019-09-23,Coinlist,0.0,0.0
2019-09-24,Coinlist,0.0,0.0
2019-09-25,Coinlist,0.0,0.0
2019-09-26,Coinlist,0.0,0.0
2019-09-27,Coinlist,0.0,0.0
2019-09-28,Coinlist,0.0,0.0
2019-09-29,Coinlist,0.0,0.0
2019-09-30,Coinlist,0.0,0.0
2019-10-01,Coinlist,0.0,0.0
2019-10-02,Coinlist,0.0,0.0
2019-10-03,Coinlist,0.0,0.0
2019-10-04,Coinlist,0.0,0.0
2019-10-05,Coinlist,0.0,0.0
2019-10-06,Coinlist,0.0,0.0
2019-10-07,Coinlist,0.0,0.0
2019-10-08,Coinlist,58.76193,58.76193
2019-10-09,Coinlist,58.76193,0.0
2019-10-10,Coinlist,58.76193,0.0
2019-10-11,Coinlist,58.76193,0.0
2019-10-12,Coinlist,58.76193,0.0
2019-10-13,Coinlist,58.76193,0.0
2019-10-14,Coinlist,58.76193,0.0
2019-10-15,Coinlist,58.76193,0.0
2019-10-16,Coinlist,58.76193,0.0
2019-10-17,Coinlist,58.76193,0.0
2019-10-18,Coinlist,58.76193,0.0
2019-10-19,Coinlist,58.76193,0.0
2019-10-20,Coinlist,58.76193,0.0
2019-10-21,Coinlist,58.76193,0.0
2019-10-22,Coinlist,58.76193,0.0
2019-10-23,Coinlist,58.76193,0.0
2019-10-24,Coinlist,58.76193,0.0
2019-10-25,Coinlist,58.76193,0.0
2019-10-26,Coinlist,58.76193,0.0
2019-10-27,Coinlist,58.76193,0.0
2019-10-28,Coinlist,58.76193,0.0
2019-10-29,Coinlist,58.76193,0.0
2019-10-30,Coinlist,58.76193,0.0
2019-10-31,Coinlist,58.76193,0.0
2019-11-01,Coinlist,58.76193,0.0
2019-11-02,Coinlist,58.76193,0.0
2019-11-03,Coinlist,58.76193,0.0
2019-11-04,Coinlist,58.76193,0.0
2019-11-05,Coinlist,58.76193,0.0
2019-11-06,Coinlist,58.76193,0.0
2019-11-07,Coinlist,58.76193,0.0
2019-11-08,Coinlist,58.76193,0.0
2019-11-09,Coinlist,58.76193,0.0
2019-11-10,Coinlist,58.76193,0.0
2019-11-11,Coinlist,58.76193,0.0
2019-11-12,Coinlist,58.76193,0.0
2019-11-13,Coinlist,58.76193,0.0
2019-11-14,Coinlist,58.76193,0.0
2019-11-15,Coinlist,58.76193,0.0
2019-11-16,Coinlist,79.675007,20.913077
2019-11-17,Coinlist,79.675007,0.0
2019-11-18,Coinlist,79.675007,0.0
2019-11-19,Coinlist,79.675007,0.0
2019-11-20,Coinlist,79.675007,0.0
2019-11-21,Coinlist,79.675007,0.0
2019-11-22,Coinlist,79.675007,0.0
2019-11-23,Coinlist,79.675007,0.0
2019-11-24,Coinlist,79.675007,0.0
2019-11-25,Coinlist,79.675007,0.0
2019-11-26,Coinlist,79.675007,0.0
2019-11-27,Coinlist,79.675007,0.0
2019-11-28,Coinlist,79.675007,0.0
2019-11-29,Coinlist,79.675007,0.0
