Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Crypto.com,0.0,0.0
2019-06-12,Crypto.com,0.0,0.0
2019-06-13,Crypto.com,0.0,0.0
2019-06-14,Crypto.com,0.0,0.0
2019-06-15,Crypto.com,0.0,0.0
2019-06-16,Crypto.com,0.0,0.0
2019-06-17,Crypto.com,0.0,0.0
2019-06-18,Crypto.com,0.0,0.0
2019-06-19,Crypto.com,0.0,0.0
2019-06-20,Crypto.com,0.0,0.0
2019-06-21,Crypto.com,0.0,0.0
2019-06-22,Crypto.com,0.0,0.0
2019-06-23,Crypto.com,0.0,0.0
2019-06-24,Crypto.com,0.0,0.0
2019-06-25,Crypto.com,0.0,0.0
2019-06-26,Crypto.com,0.0,0.0
2019-06-27,Crypto.com,0.0,0.0
2019-06-28,Crypto.com,0.0,0.0
2019-06-29,Crypto.com,0.0,0.0
2019-06-30,Crypto.com,0.0,0.0
2019-07-01,Crypto.com,0.0,0.0
2019-07-02,Crypto.com,0.0,0.0
2019-07-03,Crypto.com,0.0,0.0
2019-07-04,Crypto.com,0.0,0.0
2019-07-05,Crypto.com,0.0,0.0
2019-07-06,Crypto.com,0.0,0.0
2019-07-07,Crypto.com,0.0,0.0
2019-07-08,Crypto.com,0.0,0.0
2019-07-09,Crypto.com,0.0,0.0
2019-07-10,Crypto.com,0.0,0.0
2019-07-11,Crypto.com,0.0,0.0
2019-07-12,Crypto.com,0.0,0.0
2019-07-13,Crypto.com,0.0,0.0
2019-07-14,Crypto.com,0.0,0.0
2019-07-15,Crypto.com,0.0,0.0
2019-07-16,Crypto.com,0.0,0.0
2019-07-17,Crypto.com,0.0,0.0
2019-07-18,Crypto.com,0.0,0.0
2019-07-19,Crypto.com,0.0,0.0
2019-07-20,Crypto.com,0.0,0.0
2019-07-21,Crypto.com,0.0,0.0
2019-07-22,Crypto.com,0.0,0.0
2019-07-23,Crypto.com,0.0,0.0
2019-07-24,Crypto.com,0.0,0.0
2019-07-25,Crypto.com,0.0,0.0
2019-07-26,Crypto.com,0.0,0.0
2019-07-27,Crypto.com,0.0,0.0
2019-07-28,Crypto.com,0.0,0.0
2019-07-29,Crypto.com,0.0,0.0
2019-07-30,Crypto.com,0.0,0.0
2019-07-31,Crypto.com,0.0,0.0
2019-08-01,Crypto.com,0.0,0.0
2019-08-02,Crypto.com,0.0,0.0
2019-08-03,Crypto.com,0.0,0.0
2019-08-04,Crypto.com,0.0,0.0
2019-08-05,Crypto.com,0.0,0.0
2019-08-06,Crypto.com,0.0,0.0
2019-08-07,Crypto.com,0.0,0.0
2019-08-08,Crypto.com,0.0,0.0
2019-08-09,Crypto.com,0.0,0.0
2019-08-10,Crypto.com,0.0,0.0
2019-08-11,Crypto.com,0.0,0.0
