Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Gate.io,0.0,0.0
2019-06-12,Gate.io,0.0,0.0
2019-06-13,Gate.io,0.0,0.0
2019-06-14,Gate.io,0.0,0.0
2019-06-15,Gate.io,0.0,0.0
2019-06-16,Gate.io,0.0,0.0
2019-06-17,Gate.io,0.0,0.0
2019-06-18,Gate.io,0.0,0.0
2019-06-19,Gate.io,0.0,0.0
2019-06-20,Gate.io,0.0,0.0
2019-06-21,Gate.io,100.899,100.899
2019-06-22,Gate.io,87654.593717,87553.694717
2019-06-23,Gate.io,684330.510245,596675.916528
2019-06-24,Gate.io,1235466.692254,551136.182009
2019-06-25,Gate.io,1564554.22878,329087.536526
2019-06-26,Gate.io,1317791.812153,-246762.416627
2019-06-27,Gate.io,1330224.43555,12432.623397
2019-06-28,Gate.io,1565901.462967,235677.027417
2019-06-29,Gate.io,1568705.623941,2804.160974
2019-06-30,Gate.io,1545894.285787,-22811.338154
2019-07-01,Gate.io,1643928.562418,98034.276631
2019-07-02,Gate.io,1823120.79744,179192.235022
2019-07-03,Gate.io,2017687.595667,194566.798227
2019-07-04,Gate.io,2210980.757213,193293.161546
2019-07-05,Gate.io,2287409.188338,76428.431125
2019-07-06,Gate.io,2181185.378833,-106223.809505
2019-07-07,Gate.io,2250388.376195,69202.997362
2019-07-08,Gate.io,2297339.003331,46950.627136
2019-07-09,Gate.io,2300011.095231,2672.0919
2019-07-10,Gate.io,2318030.713256,18019.618025
2019-07-11,Gate.io,2315856.252604,-2174.460652
2019-07-12,Gate.io,2316351.260672,495.008068
2019-07-13,Gate.io,2404540.399708,88189.139036
2019-07-14,Gate.io,2516651.13111,112110.731402
2019-07-15,Gate.io,2565468.740331,48817.609221
2019-07-16,Gate.io,2372212.740818,-193255.999513
2019-07-17,Gate.io,2543593.396502,171380.655684
2019-07-18,Gate.io,2808864.287535,265270.891033
2019-07-19,Gate.io,2866742.695484,57878.407949
2019-07-20,Gate.io,2888746.8589,22004.163416
2019-07-21,Gate.io,2882996.561029,-5750.297871
2019-07-22,Gate.io,2868874.304807,-14122.256222
2019-07-23,Gate.io,2836386.244505,-32488.060302
2019-07-24,Gate.io,2978481.096876,142094.852371
2019-07-25,Gate.io,3071137.639689,92656.542813
2019-07-26,Gate.io,3244390.691186,173253.051497
2019-07-27,Gate.io,3231210.199268,-13180.491918
2019-07-28,Gate.io,3265224.343493,34014.144225
2019-07-29,Gate.io,3378730.843293,113506.4998
2019-07-30,Gate.io,3326334.390513,-52396.45278
2019-07-31,Gate.io,3643326.742554,316992.352041
