Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Hotbit,0.0,0.0
2019-06-12,Hotbit,0.0,0.0
2019-06-13,Hotbit,0.0,0.0
2019-06-14,Hotbit,0.0,0.0
2019-06-15,Hotbit,0.0,0.0
2019-06-16,Hotbit,0.0,0.0
2019-06-17,Hotbit,0.0,0.0
2019-06-18,Hotbit,0.0,0.0
2019-06-19,Hotbit,0.0,0.0
2019-06-20,Hotbit,0.0,0.0
2019-06-21,Hotbit,1378.446735,1378.446735
2019-06-22,Hotbit,843.818147,-534.628588
2019-06-23,Hotbit,18360.237428,17516.419281
2019-06-24,Hotbit,29377.89677,11017.659342
2019-06-25,Hotbit,20093.293315,-9284.603455
2019-06-26,Hotbit,27816.706583,7723.413268
2019-06-27,Hotbit,26588.276526,-1228.430057
2019-06-28,Hotbit,14573.30625,-12014.970276
2019-06-29,Hotbit,15453.64635,880.3401
2019-06-30,Hotbit,11993.64907,-3459.99728
2019-07-01,Hotbit,14742.950634,2749.301564
2019-07-02,Hotbit,38932.21466,24189.264026
2019-07-03,Hotbit,42875.404931,3943.190271
2019-07-04,Hotbit,51222.33685,8346.931919
2019-07-05,Hotbit,51522.439355,300.102505
2019-07-06,Hotbit,64479.346216,12956.906861
2019-07-07,Hotbit,64479.346216,0.0
2019-07-08,Hotbit,117906.289149,53426.942933
2019-07-09,Hotbit,66951.036474,-50955.252675
2019-07-10,Hotbit,61653.709085,-5297.327389
2019-07-11,Hotbit,37953.458729,-23700.250356
2019-07-12,Hotbit,7664.865374,-30288.593355
2019-07-13,Hotbit,4866.611699,-2798.253675
2019-07-14,Hotbit,7347.852748,2481.241049
2019-07-15,Hotbit,155508.706731,148160.853983
2019-07-16,Hotbit,5553.453356,-149955.253375
2019-07-17,Hotbit,5791.775174,238.321818
2019-07-18,Hotbit,6770.211603,978.436429
2019-07-19,Hotbit,10059.059496,3288.847893
2019-07-20,Hotbit,10129.945999,70.886503
2019-07-21,Hotbit,10151.737832,21.791833
2019-07-22,Hotbit,11156.540916,1004.803084
2019-07-23,Hotbit,19861.234241,8704.693325
2019-07-24,Hotbit,20070.654564,209.420323
2019-07-25,Hotbit,21842.393904,1771.73934
2019-07-26,Hotbit,20284.647681,-1557.746223
2019-07-27,Hotbit,26282.028582,5997.380901
2019-07-28,Hotbit,26099.572815,-182.455767
2019-07-29,Hotbit,41682.212356,15582.639541
2019-07-30,Hotbit,33302.832087,-8379.380269
2019-07-31,Hotbit,33256.921088,-45.910999
2019-08-01,Hotbit,30560.350574,-2696.570514
2019-08-02,Hotbit,4931.295629,-25629.054945
2019-08-03,Hotbit,1442.766619,-3488.52901
2019-08-04,Hotbit,5179.383271,3736.616652
2019-08-05,Hotbit,1477.378868,-3702.004403
2019-08-06,Hotbit,1411.096467,-66.282401
2019-08-07,Hotbit,2914.190652,1503.094185
2019-08-08,Hotbit,455.432497,-2458.758155
2019-08-09,Hotbit,2766.27915,2310.846653
2019-08-10,Hotbit,3842.999928,1076.720778
2019-08-11,Hotbit,6948.712196,3105.712268
2019-08-12,Hotbit,7099.326518,150.614322
2019-08-13,Hotbit,6072.184273,-1027.142245
2019-08-14,Hotbit,4723.874196,-1348.310077
2019-08-15,Hotbit,4099.147307,-624.726889
2019-08-16,Hotbit,6157.646953,2058.499646
2019-08-17,Hotbit,6390.767947,233.120994
2019-08-18,Hotbit,8410.977755,2020.209808
2019-08-19,Hotbit,8410.977755,0.0
2019-08-20,Hotbit,4512.873384,-3898.104371
2019-08-21,Hotbit,3854.123364,-658.75002
2019-08-22,Hotbit,2367.740618,-1486.382746
2019-08-23,Hotbit,5007.365032,2639.624414
2019-08-24,Hotbit,4583.649765,-423.715267
2019-08-25,Hotbit,36603.705017,32020.055252
2019-08-26,Hotbit,61495.377448,24891.672431
2019-08-27,Hotbit,62060.958292,565.580844
2019-08-28,Hotbit,61831.793808,-229.164484
2019-08-29,Hotbit,28007.155002,-33824.638806
2019-08-30,Hotbit,200624.716461,172617.561459
2019-08-31,Hotbit,309408.422535,108783.706074
2019-09-01,Hotbit,599442.577115,290034.15458
2019-09-02,Hotbit,601257.075782,1814.498667
2019-09-03,Hotbit,602494.504297,1237.428515
2019-09-04,Hotbit,609240.509719,6746.005422
2019-09-05,Hotbit,610101.422317,860.912598
2019-09-06,Hotbit,610101.422317,0.0
2019-09-07,Hotbit,604648.460197,-5452.96212
2019-09-08,Hotbit,604648.460197,0.0
2019-09-09,Hotbit,604847.534035,199.073838
2019-09-10,Hotbit,605242.195204,394.661169
2019-09-11,Hotbit,605471.788532,229.593328
2019-09-12,Hotbit,575652.874048,-29818.914484
2019-09-13,Hotbit,577769.144182,2116.270134
2019-09-14,Hotbit,578107.532743,338.388561
2019-09-15,Hotbit,506806.770626,-71300.762117
2019-09-16,Hotbit,482507.720721,-24299.049905
2019-09-17,Hotbit,482769.613521,261.8928
2019-09-18,Hotbit,484265.259752,1495.646231
2019-09-19,Hotbit,484637.932357,372.672605
