Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Indodax,0.0,0.0
2019-06-12,Indodax,0.0,0.0
2019-06-13,Indodax,0.0,0.0
2019-06-14,Indodax,0.0,0.0
2019-06-15,Indodax,0.0,0.0
2019-06-16,Indodax,0.0,0.0
2019-06-17,Indodax,0.0,0.0
2019-06-18,Indodax,0.0,0.0
2019-06-19,Indodax,0.0,0.0
2019-06-20,Indodax,0.0,0.0
2019-06-21,Indodax,0.0,0.0
2019-06-22,Indodax,0.0,0.0
2019-06-23,Indodax,0.0,0.0
2019-06-24,Indodax,0.0,0.0
2019-06-25,Indodax,0.0,0.0
2019-06-26,Indodax,0.0,0.0
2019-06-27,Indodax,0.0,0.0
2019-06-28,Indodax,0.0,0.0
2019-06-29,Indodax,0.0,0.0
2019-06-30,Indodax,0.0,0.0
2019-07-01,Indodax,0.0,0.0
2019-07-02,Indodax,0.0,0.0
2019-07-03,Indodax,0.0,0.0
2019-07-04,Indodax,0.0,0.0
2019-07-05,Indodax,0.0,0.0
2019-07-06,Indodax,0.0,0.0
2019-07-07,Indodax,0.0,0.0
2019-07-08,Indodax,0.0,0.0
2019-07-09,Indodax,0.0,0.0
2019-07-10,Indodax,0.0,0.0
2019-07-11,Indodax,0.0,0.0
2019-07-12,Indodax,0.0,0.0
2019-07-13,Indodax,0.0,0.0
2019-07-14,Indodax,0.0,0.0
2019-07-15,Indodax,0.0,0.0
2019-07-16,Indodax,0.0,0.0
2019-07-17,Indodax,0.0,0.0
2019-07-18,Indodax,0.0,0.0
2019-07-19,Indodax,0.0,0.0
2019-07-20,Indodax,0.0,0.0
2019-07-21,Indodax,0.0,0.0
2019-07-22,Indodax,0.0,0.0
2019-07-23,Indodax,0.0,0.0
2019-07-24,Indodax,0.0,0.0
2019-07-25,Indodax,0.0,0.0
2019-07-26,Indodax,0.0,0.0
2019-07-27,Indodax,0.0,0.0
2019-07-28,Indodax,0.0,0.0
2019-07-29,Indodax,0.0,0.0
2019-07-30,Indodax,0.0,0.0
2019-07-31,Indodax,0.0,0.0
2019-08-01,Indodax,0.0,0.0
2019-08-02,Indodax,0.0,0.0
2019-08-03,Indodax,0.0,0.0
2019-08-04,Indodax,0.0,0.0
2019-08-05,Indodax,0.0,0.0
2019-08-06,Indodax,0.0,0.0
2019-08-07,Indodax,0.0,0.0
2019-08-08,Indodax,0.0,0.0
2019-08-09,Indodax,0.0,0.0
2019-08-10,Indodax,0.0,0.0
2019-08-11,Indodax,0.0,0.0
2019-08-12,Indodax,0.0,0.0
2019-08-13,Indodax,0.0,0.0
2019-08-14,Indodax,0.0,0.0
2019-08-15,Indodax,0.0,0.0
2019-08-16,Indodax,0.0,0.0
2019-08-17,Indodax,0.0,0.0
2019-08-18,Indodax,0.0,0.0
2019-08-19,Indodax,0.0,0.0
