Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Koibanx,0.0,0.0
2019-06-12,Koibanx,0.0,0.0
2019-06-13,Koibanx,0.0,0.0
2019-06-14,Koibanx,0.0,0.0
2019-06-15,Koibanx,0.0,0.0
2019-06-16,Koibanx,0.0,0.0
2019-06-17,Koibanx,0.0,0.0
2019-06-18,Koibanx,0.0,0.0
2019-06-19,Koibanx,0.0,0.0
2019-06-20,Koibanx,0.0,0.0
2019-06-21,Koibanx,0.0,0.0
2019-06-22,Koibanx,0.0,0.0
2019-06-23,Koibanx,0.0,0.0
2019-06-24,Koibanx,0.0,0.0
2019-06-25,Koibanx,0.0,0.0
2019-06-26,Koibanx,0.0,0.0
2019-06-27,Koibanx,0.0,0.0
2019-06-28,Koibanx,0.0,0.0
2019-06-29,Koibanx,0.0,0.0
2019-06-30,Koibanx,0.0,0.0
2019-07-01,Koibanx,0.0,0.0
2019-07-02,Koibanx,0.0,0.0
2019-07-03,Koibanx,0.0,0.0
2019-07-04,Koibanx,0.0,0.0
2019-07-05,Koibanx,0.0,0.0
2019-07-06,Koibanx,0.0,0.0
2019-07-07,Koibanx,0.0,0.0
2019-07-08,Koibanx,0.0,0.0
2019-07-09,Koibanx,0.0,0.0
2019-07-10,Koibanx,0.0,0.0
2019-07-11,Koibanx,0.0,0.0
2019-07-12,Koibanx,0.0,0.0
2019-07-13,Koibanx,0.0,0.0
2019-07-14,Koibanx,0.0,0.0
2019-07-15,Koibanx,0.0,0.0
2019-07-16,Koibanx,0.0,0.0
2019-07-17,Koibanx,0.0,0.0
2019-07-18,Koibanx,0.0,0.0
2019-07-19,Koibanx,0.0,0.0
2019-07-20,Koibanx,0.0,0.0
2019-07-21,Koibanx,0.0,0.0
2019-07-22,Koibanx,0.0,0.0
2019-07-23,Koibanx,0.0,0.0
2019-07-24,Koibanx,0.0,0.0
2019-07-25,Koibanx,0.0,0.0
2019-07-26,Koibanx,0.0,0.0
2019-07-27,Koibanx,0.0,0.0
2019-07-28,Koibanx,0.0,0.0
2019-07-29,Koibanx,0.0,0.0
2019-07-30,Koibanx,0.0,0.0
2019-07-31,Koibanx,0.0,0.0
2019-08-01,Koibanx,0.0,0.0
