Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Kraken,0.0,0.0
2019-06-12,Kraken,0.0,0.0
2019-06-13,Kraken,0.0,0.0
2019-06-14,Kraken,0.0,0.0
2019-06-15,Kraken,0.0,0.0
2019-06-16,Kraken,0.0,0.0
2019-06-17,Kraken,0.0,0.0
2019-06-18,Kraken,0.0,0.0
2019-06-19,Kraken,0.0,0.0
2019-06-20,Kraken,0.0,0.0
2019-06-21,Kraken,0.0,0.0
2019-06-22,Kraken,0.0,0.0
2019-06-23,Kraken,0.0,0.0
2019-06-24,Kraken,0.0,0.0
2019-06-25,Kraken,0.0,0.0
2019-06-26,Kraken,0.0,0.0
2019-06-27,Kraken,0.0,0.0
2019-06-28,Kraken,0.0,0.0
2019-06-29,Kraken,0.0,0.0
2019-06-30,Kraken,0.0,0.0
2019-07-01,Kraken,0.0,0.0
2019-07-02,Kraken,0.0,0.0
2019-07-03,Kraken,0.0,0.0
2019-07-04,Kraken,0.0,0.0
2019-07-05,Kraken,0.0,0.0
2019-07-06,Kraken,0.0,0.0
2019-07-07,Kraken,0.0,0.0
2019-07-08,Kraken,0.0,0.0
2019-07-09,Kraken,0.0,0.0
2019-07-10,Kraken,0.0,0.0
2019-07-11,Kraken,0.0,0.0
2019-07-12,Kraken,0.0,0.0
2019-07-13,Kraken,0.0,0.0
2019-07-14,Kraken,0.0,0.0
2019-07-15,Kraken,0.0,0.0
2019-07-16,Kraken,0.0,0.0
2019-07-17,Kraken,0.0,0.0
2019-07-18,Kraken,0.0,0.0
2019-07-19,Kraken,0.0,0.0
2019-07-20,Kraken,0.0,0.0
2019-07-21,Kraken,0.0,0.0
2019-07-22,Kraken,0.0,0.0
2019-07-23,Kraken,0.0,0.0
2019-07-24,Kraken,0.0,0.0
2019-07-25,Kraken,0.0,0.0
2019-07-26,Kraken,0.0,0.0
2019-07-27,Kraken,0.0,0.0
2019-07-28,Kraken,0.0,0.0
2019-07-29,Kraken,0.0,0.0
2019-07-30,Kraken,0.0,0.0
2019-07-31,Kraken,0.0,0.0
2019-08-01,Kraken,0.0,0.0
2019-08-02,Kraken,0.0,0.0
2019-08-03,Kraken,0.0,0.0
2019-08-04,Kraken,0.0,0.0
2019-08-05,Kraken,0.0,0.0
2019-08-06,Kraken,0.0,0.0
2019-08-07,Kraken,0.0,0.0
2019-08-08,Kraken,0.0,0.0
2019-08-09,Kraken,0.0,0.0
2019-08-10,Kraken,0.0,0.0
