Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Kucoin,0.0,0.0
2019-06-12,Kucoin,0.0,0.0
2019-06-13,Kucoin,0.0,0.0
2019-06-14,Kucoin,0.0,0.0
2019-06-15,Kucoin,0.0,0.0
2019-06-16,Kucoin,0.0,0.0
2019-06-17,Kucoin,0.0,0.0
2019-06-18,Kucoin,0.0,0.0
2019-06-19,Kucoin,0.0,0.0
2019-06-20,Kucoin,0.0,0.0
2019-06-21,Kucoin,0.0,0.0
2019-06-22,Kucoin,0.0,0.0
2019-06-23,Kucoin,0.0,0.0
2019-06-24,Kucoin,0.0,0.0
2019-06-25,Kucoin,0.0,0.0
2019-06-26,Kucoin,0.0,0.0
2019-06-27,Kucoin,0.0,0.0
2019-06-28,Kucoin,0.0,0.0
2019-06-29,Kucoin,0.0,0.0
2019-06-30,Kucoin,0.0,0.0
2019-07-01,Kucoin,0.0,0.0
2019-07-02,Kucoin,0.0,0.0
2019-07-03,Kucoin,0.0,0.0
2019-07-04,Kucoin,0.0,0.0
2019-07-05,Kucoin,0.0,0.0
2019-07-06,Kucoin,0.0,0.0
2019-07-07,Kucoin,0.0,0.0
2019-07-08,Kucoin,0.0,0.0
2019-07-09,Kucoin,0.0,0.0
2019-07-10,Kucoin,0.0,0.0
2019-07-11,Kucoin,0.0,0.0
2019-07-12,Kucoin,0.0,0.0
2019-07-13,Kucoin,0.0,0.0
2019-07-14,Kucoin,0.0,0.0
2019-07-15,Kucoin,0.0,0.0
2019-07-16,Kucoin,0.0,0.0
2019-07-17,Kucoin,0.0,0.0
2019-07-18,Kucoin,0.0,0.0
2019-07-19,Kucoin,0.0,0.0
2019-07-20,Kucoin,0.0,0.0
2019-07-21,Kucoin,0.0,0.0
2019-07-22,Kucoin,0.0,0.0
2019-07-23,Kucoin,0.0,0.0
2019-07-24,Kucoin,0.0,0.0
2019-07-25,Kucoin,0.0,0.0
2019-07-26,Kucoin,0.0,0.0
2019-07-27,Kucoin,0.0,0.0
2019-07-28,Kucoin,0.0,0.0
2019-07-29,Kucoin,0.0,0.0
2019-07-30,Kucoin,0.0,0.0
2019-07-31,Kucoin,0.0,0.0
2019-08-01,Kucoin,0.0,0.0
2019-08-02,Kucoin,0.0,0.0
2019-08-03,Kucoin,0.0,0.0
2019-08-04,Kucoin,0.0,0.0
2019-08-05,Kucoin,0.0,0.0
2019-08-06,Kucoin,0.0,0.0
2019-08-07,Kucoin,0.0,0.0
2019-08-08,Kucoin,0.0,0.0
2019-08-09,Kucoin,0.0,0.0
2019-08-10,Kucoin,0.0,0.0
2019-08-11,Kucoin,0.0,0.0
2019-08-12,Kucoin,0.0,0.0
2019-08-13,Kucoin,0.0,0.0
2019-08-14,Kucoin,0.0,0.0
2019-08-15,Kucoin,0.0,0.0
2019-08-16,Kucoin,0.0,0.0
2019-08-17,Kucoin,0.0,0.0
2019-08-18,Kucoin,0.0,0.0
2019-08-19,Kucoin,0.0,0.0
2019-08-20,Kucoin,0.0,0.0
2019-08-21,Kucoin,0.0,0.0
2019-08-22,Kucoin,0.0,0.0
2019-08-23,Kucoin,0.0,0.0
2019-08-24,Kucoin,0.0,0.0
2019-08-25,Kucoin,0.0,0.0
2019-08-26,Kucoin,0.0,0.0
2019-08-27,Kucoin,0.0,0.0
2019-08-28,Kucoin,0.0,0.0
2019-08-29,Kucoin,0.0,0.0
2019-08-30,Kucoin,0.0,0.0
2019-08-31,Kucoin,0.0,0.0
2019-09-01,Kucoin,0.0,0.0
2019-09-02,Kucoin,0.0,0.0
2019-09-03,Kucoin,0.0,0.0
2019-09-04,Kucoin,0.0,0.0
2019-09-05,Kucoin,0.0,0.0
2019-09-06,Kucoin,0.0,0.0
2019-09-07,Kucoin,0.0,0.0
2019-09-08,Kucoin,0.0,0.0
2019-09-09,Kucoin,0.0,0.0
2019-09-10,Kucoin,0.0,0.0
2019-09-11,Kucoin,0.0,0.0
2019-09-12,Kucoin,0.0,0.0
2019-09-13,Kucoin,0.0,0.0
2019-09-14,Kucoin,0.0,0.0
2019-09-15,Kucoin,0.0,0.0
2019-09-16,Kucoin,0.0,0.0
2019-09-17,Kucoin,0.0,0.0
2019-09-18,Kucoin,0.0,0.0
2019-09-19,Kucoin,0.0,0.0
2019-09-20,Kucoin,0.0,0.0
2019-09-21,Kucoin,0.0,0.0
2019-09-22,Kucoin,0.0,0.0
2019-09-23,Kucoin,0.0,0.0
2019-09-24,Kucoin,0.0,0.0
2019-09-25,Kucoin,0.0,0.0
2019-09-26,Kucoin,0.0,0.0
2019-09-27,Kucoin,0.0,0.0
2019-09-28,Kucoin,0.0,0.0
2019-09-29,Kucoin,0.0,0.0
2019-09-30,Kucoin,0.0,0.0
2019-10-01,Kucoin,0.0,0.0
2019-10-02,Kucoin,0.0,0.0
2019-10-03,Kucoin,0.0,0.0
2019-10-04,Kucoin,0.0,0.0
2019-10-05,Kucoin,0.0,0.0
