Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,MEXC,0.0,0.0
2019-06-12,MEXC,0.0,0.0
2019-06-13,MEXC,0.0,0.0
2019-06-14,MEXC,0.0,0.0
2019-06-15,MEXC,0.0,0.0
2019-06-16,MEXC,0.0,0.0
2019-06-17,MEXC,0.0,0.0
2019-06-18,MEXC,0.0,0.0
2019-06-19,MEXC,0.0,0.0
2019-06-20,MEXC,0.0,0.0
2019-06-21,MEXC,0.0,0.0
2019-06-22,MEXC,0.0,0.0
2019-06-23,MEXC,0.0,0.0
2019-06-24,MEXC,0.0,0.0
2019-06-25,MEXC,0.0,0.0
2019-06-26,MEXC,0.0,0.0
2019-06-27,MEXC,0.0,0.0
2019-06-28,MEXC,0.0,0.0
2019-06-29,MEXC,0.0,0.0
2019-06-30,MEXC,0.0,0.0
2019-07-01,MEXC,0.0,0.0
2019-07-02,MEXC,0.0,0.0
2019-07-03,MEXC,0.0,0.0
2019-07-04,MEXC,0.0,0.0
2019-07-05,MEXC,0.0,0.0
2019-07-06,MEXC,0.0,0.0
2019-07-07,MEXC,0.0,0.0
2019-07-08,MEXC,0.0,0.0
2019-07-09,MEXC,0.0,0.0
2019-07-10,MEXC,0.0,0.0
2019-07-11,MEXC,0.0,0.0
2019-07-12,MEXC,0.0,0.0
2019-07-13,MEXC,0.0,0.0
2019-07-14,MEXC,0.0,0.0
2019-07-15,MEXC,0.0,0.0
2019-07-16,MEXC,0.0,0.0
2019-07-17,MEXC,0.0,0.0
2019-07-18,MEXC,0.0,0.0
2019-07-19,MEXC,0.0,0.0
2019-07-20,MEXC,0.0,0.0
2019-07-21,MEXC,0.0,0.0
2019-07-22,MEXC,0.0,0.0
2019-07-23,MEXC,0.0,0.0
2019-07-24,MEXC,0.0,0.0
2019-07-25,MEXC,0.0,0.0
2019-07-26,MEXC,0.0,0.0
2019-07-27,MEXC,0.0,0.0
2019-07-28,MEXC,0.0,0.0
2019-07-29,MEXC,0.0,0.0
2019-07-30,MEXC,0.0,0.0
2019-07-31,MEXC,0.0,0.0
2019-08-01,MEXC,0.0,0.0
2019-08-02,MEXC,0.0,0.0
2019-08-03,MEXC,0.0,0.0
2019-08-04,MEXC,0.0,0.0
2019-08-05,MEXC,0.0,0.0
2019-08-06,MEXC,0.0,0.0
2019-08-07,MEXC,0.0,0.0
2019-08-08,MEXC,0.0,0.0
2019-08-09,MEXC,0.0,0.0
2019-08-10,MEXC,0.0,0.0
2019-08-11,MEXC,0.0,0.0
2019-08-12,MEXC,0.0,0.0
2019-08-13,MEXC,0.0,0.0
2019-08-14,MEXC,0.0,0.0
2019-08-15,MEXC,0.0,0.0
2019-08-16,MEXC,0.0,0.0
2019-08-17,MEXC,0.0,0.0
2019-08-18,MEXC,0.0,0.0
2019-08-19,MEXC,0.0,0.0
2019-08-20,MEXC,0.0,0.0
2019-08-21,MEXC,0.0,0.0
2019-08-22,MEXC,0.0,0.0
2019-08-23,MEXC,0.0,0.0
2019-08-24,MEXC,0.0,0.0
2019-08-25,MEXC,0.0,0.0
2019-08-26,MEXC,0.0,0.0
2019-08-27,MEXC,0.0,0.0
2019-08-28,MEXC,0.0,0.0
2019-08-29,MEXC,0.0,0.0
2019-08-30,MEXC,0.0,0.0
2019-08-31,MEXC,0.0,0.0
2019-09-01,MEXC,0.0,0.0
2019-09-02,MEXC,0.0,0.0
2019-09-03,MEXC,0.0,0.0
2019-09-04,MEXC,0.0,0.0
2019-09-05,MEXC,0.0,0.0
2019-09-06,MEXC,0.0,0.0
2019-09-07,MEXC,0.0,0.0
2019-09-08,MEXC,0.0,0.0
2019-09-09,MEXC,0.0,0.0
2019-09-10,MEXC,0.0,0.0
2019-09-11,MEXC,0.0,0.0
2019-09-12,MEXC,0.0,0.0
2019-09-13,MEXC,0.0,0.0
2019-09-14,MEXC,0.0,0.0
2019-09-15,MEXC,0.0,0.0
2019-09-16,MEXC,0.0,0.0
2019-09-17,MEXC,0.0,0.0
2019-09-18,MEXC,0.0,0.0
2019-09-19,MEXC,0.0,0.0
2019-09-20,MEXC,0.0,0.0
2019-09-21,MEXC,0.0,0.0
2019-09-22,MEXC,0.0,0.0
2019-09-23,MEXC,0.0,0.0
2019-09-24,MEXC,0.0,0.0
2019-09-25,MEXC,0.0,0.0
2019-09-26,MEXC,0.0,0.0
2019-09-27,MEXC,0.0,0.0
2019-09-28,MEXC,0.0,0.0
2019-09-29,MEXC,0.0,0.0
2019-09-30,MEXC,0.0,0.0
2019-10-01,MEXC,0.0,0.0
2019-10-02,MEXC,0.0,0.0
2019-10-03,MEXC,0.0,0.0
2019-10-04,MEXC,0.0,0.0
2019-10-05,MEXC,0.0,0.0
2019-10-06,MEXC,0.0,0.0
2019-10-07,MEXC,0.0,0.0
2019-10-08,MEXC,0.0,0.0
2019-10-09,MEXC,0.0,0.0
2019-10-10,MEXC,0.0,0.0
2019-10-11,MEXC,0.0,0.0
2019-10-12,MEXC,0.0,0.0
2019-10-13,MEXC,0.0,0.0
2019-10-14,MEXC,0.0,0.0
2019-10-15,MEXC,0.0,0.0
2019-10-16,MEXC,0.0,0.0
2019-10-17,MEXC,0.0,0.0
2019-10-18,MEXC,0.0,0.0
2019-10-19,MEXC,0.0,0.0
2019-10-20,MEXC,0.0,0.0
2019-10-21,MEXC,0.0,0.0
2019-10-22,MEXC,0.0,0.0
2019-10-23,MEXC,0.0,0.0
