Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Netcoins,0.0,0.0
2019-06-12,Netcoins,0.0,0.0
2019-06-13,Netcoins,0.0,0.0
2019-06-14,Netcoins,0.0,0.0
2019-06-15,Netcoins,0.0,0.0
2019-06-16,Netcoins,0.0,0.0
2019-06-17,Netcoins,0.0,0.0
2019-06-18,Netcoins,0.0,0.0
2019-06-19,Netcoins,0.0,0.0
2019-06-20,Netcoins,0.0,0.0
2019-06-21,Netcoins,0.0,0.0
2019-06-22,Netcoins,0.0,0.0
2019-06-23,Netcoins,0.0,0.0
2019-06-24,Netcoins,0.0,0.0
2019-06-25,Netcoins,0.0,0.0
2019-06-26,Netcoins,0.0,0.0
2019-06-27,Netcoins,0.0,0.0
2019-06-28,Netcoins,0.0,0.0
2019-06-29,Netcoins,0.0,0.0
2019-06-30,Netcoins,0.0,0.0
2019-07-01,Netcoins,0.0,0.0
2019-07-02,Netcoins,0.0,0.0
2019-07-03,Netcoins,0.0,0.0
2019-07-04,Netcoins,0.0,0.0
2019-07-05,Netcoins,0.0,0.0
2019-07-06,Netcoins,0.0,0.0
2019-07-07,Netcoins,0.0,0.0
2019-07-08,Netcoins,0.0,0.0
2019-07-09,Netcoins,0.0,0.0
2019-07-10,Netcoins,0.0,0.0
2019-07-11,Netcoins,0.0,0.0
2019-07-12,Netcoins,0.0,0.0
2019-07-13,Netcoins,0.0,0.0
2019-07-14,Netcoins,0.0,0.0
2019-07-15,Netcoins,0.0,0.0
2019-07-16,Netcoins,0.0,0.0
2019-07-17,Netcoins,0.0,0.0
2019-07-18,Netcoins,0.0,0.0
2019-07-19,Netcoins,0.0,0.0
2019-07-20,Netcoins,0.0,0.0
2019-07-21,Netcoins,0.0,0.0
2019-07-22,Netcoins,0.0,0.0
2019-07-23,Netcoins,0.0,0.0
2019-07-24,Netcoins,0.0,0.0
2019-07-25,Netcoins,0.0,0.0
2019-07-26,Netcoins,0.0,0.0
2019-07-27,Netcoins,0.0,0.0
2019-07-28,Netcoins,0.0,0.0
2019-07-29,Netcoins,0.0,0.0
2019-07-30,Netcoins,0.0,0.0
2019-07-31,Netcoins,0.0,0.0
2019-08-01,Netcoins,0.0,0.0
2019-08-02,Netcoins,0.0,0.0
2019-08-03,Netcoins,0.0,0.0
2019-08-04,Netcoins,0.0,0.0
2019-08-05,Netcoins,0.0,0.0
2019-08-06,Netcoins,0.0,0.0
2019-08-07,Netcoins,0.0,0.0
2019-08-08,Netcoins,0.0,0.0
2019-08-09,Netcoins,0.0,0.0
2019-08-10,Netcoins,0.0,0.0
2019-08-11,Netcoins,0.0,0.0
2019-08-12,Netcoins,0.0,0.0
2019-08-13,Netcoins,0.0,0.0
2019-08-14,Netcoins,0.0,0.0
2019-08-15,Netcoins,0.0,0.0
2019-08-16,Netcoins,0.0,0.0
2019-08-17,Netcoins,0.0,0.0
2019-08-18,Netcoins,0.0,0.0
2019-08-19,Netcoins,0.0,0.0
2019-08-20,Netcoins,0.0,0.0
