Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,OKX,0.0,0.0
2019-06-12,OKX,0.0,0.0
2019-06-13,OKX,0.0,0.0
2019-06-14,OKX,0.0,0.0
2019-06-15,OKX,0.0,0.0
2019-06-16,OKX,0.0,0.0
2019-06-17,OKX,0.0,0.0
2019-06-18,OKX,0.0,0.0
2019-06-19,OKX,0.189,0.189
2019-06-20,OKX,0.189,0.0
2019-06-21,OKX,1012749.42364,1012749.23464
2019-06-22,OKX,1580193.349928,567443.926288
2019-06-23,OKX,1660462.463381,80269.113453
2019-06-24,OKX,1849644.983184,189182.519803
2019-06-25,OKX,2046638.526151,196993.542967
2019-06-26,OKX,2162816.88881,116178.362659
2019-06-27,OKX,2209009.100162,46192.211352
2019-06-28,OKX,2000164.926401,-208844.173761
2019-06-29,OKX,1990614.569276,-9550.357125
2019-06-30,OKX,2045490.314448,54875.745172
2019-07-01,OKX,2109881.647475,64391.333027
2019-07-02,OKX,2042022.45457,-67859.192905
2019-07-03,OKX,2094132.089854,52109.635284
2019-07-04,OKX,2254700.05712,160567.967266
2019-07-05,OKX,2374835.741291,120135.684171
2019-07-06,OKX,2487021.018934,112185.277643
2019-07-07,OKX,2599209.524962,112188.506028
2019-07-08,OKX,2675297.809504,76088.284542
2019-07-09,OKX,2791799.060289,116501.250785
2019-07-10,OKX,2515961.278325,-275837.781964
2019-07-11,OKX,2170710.346876,-345250.931449
2019-07-12,OKX,2202208.743091,31498.396215
2019-07-13,OKX,2130834.820415,-71373.922676
2019-07-14,OKX,2199751.211778,68916.391363
2019-07-15,OKX,2306625.032471,106873.820693
2019-07-16,OKX,2275737.187174,-30887.845297
2019-07-17,OKX,2284034.340201,8297.153027
2019-07-18,OKX,2201300.504399,-82733.835802
2019-07-19,OKX,2257734.530258,56434.025859
2019-07-20,OKX,2340064.373973,82329.843715
2019-07-21,OKX,2428850.127348,88785.753375
2019-07-22,OKX,2406150.265465,-22699.861883
2019-07-23,OKX,2472774.170748,66623.905283
2019-07-24,OKX,2518093.387842,45319.217094
2019-07-25,OKX,2461606.68128,-56486.706562
2019-07-26,OKX,2931052.503468,469445.822188
2019-07-27,OKX,2749368.923288,-181683.58018
2019-07-28,OKX,2839488.074455,90119.151167
2019-07-29,OKX,3031567.346262,192079.271807
2019-07-30,OKX,3122856.336196,91288.989934
2019-07-31,OKX,3042012.776634,-80843.559562
2019-08-01,OKX,3089464.070721,47451.294087
2019-08-02,OKX,3030540.638079,-58923.432642
2019-08-03,OKX,3105355.595633,74814.957554
2019-08-04,OKX,2947610.807979,-157744.787654
2019-08-05,OKX,2735188.72186,-212422.086119
2019-08-06,OKX,2853064.030033,117875.308173
2019-08-07,OKX,2913098.744499,60034.714466
2019-08-08,OKX,2950577.743189,37478.99869
2019-08-09,OKX,3120656.205849,170078.46266
2019-08-10,OKX,3105450.489686,-15205.716163
2019-08-11,OKX,3153169.920804,47719.431118
2019-08-12,OKX,3272101.086822,118931.166018
