Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,OkCoin,0.0,0.0
2019-06-12,OkCoin,0.0,0.0
2019-06-13,OkCoin,0.0,0.0
2019-06-14,OkCoin,0.0,0.0
2019-06-15,OkCoin,0.0,0.0
2019-06-16,OkCoin,0.0,0.0
2019-06-17,OkCoin,0.0,0.0
2019-06-18,OkCoin,0.0,0.0
2019-06-19,OkCoin,0.0,0.0
2019-06-20,OkCoin,0.0,0.0
2019-06-21,OkCoin,0.0,0.0
2019-06-22,OkCoin,0.0,0.0
2019-06-23,OkCoin,0.0,0.0
2019-06-24,OkCoin,0.0,0.0
2019-06-25,OkCoin,0.0,0.0
2019-06-26,OkCoin,0.0,0.0
2019-06-27,OkCoin,0.0,0.0
2019-06-28,OkCoin,0.0,0.0
2019-06-29,OkCoin,0.0,0.0
2019-06-30,OkCoin,0.0,0.0
2019-07-01,OkCoin,0.0,0.0
2019-07-02,OkCoin,0.0,0.0
2019-07-03,OkCoin,0.0,0.0
2019-07-04,OkCoin,0.0,0.0
2019-07-05,OkCoin,0.0,0.0
2019-07-06,OkCoin,0.0,0.0
2019-07-07,OkCoin,0.0,0.0
2019-07-08,OkCoin,0.0,0.0
2019-07-09,OkCoin,0.0,0.0
2019-07-10,OkCoin,0.0,0.0
2019-07-11,OkCoin,0.0,0.0
2019-07-12,OkCoin,0.0,0.0
2019-07-13,OkCoin,0.0,0.0
2019-07-14,OkCoin,0.0,0.0
2019-07-15,OkCoin,0.0,0.0
2019-07-16,OkCoin,0.0,0.0
2019-07-17,OkCoin,0.0,0.0
2019-07-18,OkCoin,0.0,0.0
2019-07-19,OkCoin,0.0,0.0
2019-07-20,OkCoin,0.0,0.0
2019-07-21,OkCoin,0.0,0.0
2019-07-22,OkCoin,0.0,0.0
2019-07-23,OkCoin,0.0,0.0
2019-07-24,OkCoin,0.0,0.0
2019-07-25,OkCoin,0.0,0.0
2019-07-26,OkCoin,0.0,0.0
2019-07-27,OkCoin,0.0,0.0
2019-07-28,OkCoin,0.0,0.0
2019-07-29,OkCoin,0.0,0.0
2019-07-30,OkCoin,0.0,0.0
2019-07-31,OkCoin,0.0,0.0
2019-08-01,OkCoin,0.0,0.0
2019-08-02,OkCoin,0.0,0.0
2019-08-03,OkCoin,0.0,0.0
2019-08-04,OkCoin,0.0,0.0
2019-08-05,OkCoin,0.0,0.0
2019-08-06,OkCoin,0.0,0.0
2019-08-07,OkCoin,0.0,0.0
2019-08-08,OkCoin,0.0,0.0
2019-08-09,OkCoin,0.0,0.0
2019-08-10,OkCoin,0.0,0.0
2019-08-11,OkCoin,0.0,0.0
2019-08-12,OkCoin,0.0,0.0
2019-08-13,OkCoin,0.0,0.0
2019-08-14,OkCoin,0.0,0.0
2019-08-15,OkCoin,0.0,0.0
2019-08-16,OkCoin,0.0,0.0
2019-08-17,OkCoin,0.0,0.0
2019-08-18,OkCoin,0.0,0.0
2019-08-19,OkCoin,0.0,0.0
2019-08-20,OkCoin,0.0,0.0
2019-08-21,OkCoin,0.0,0.0
2019-08-22,OkCoin,0.0,0.0
2019-08-23,OkCoin,0.0,0.0
2019-08-24,OkCoin,0.0,0.0
2019-08-25,OkCoin,0.0,0.0
2019-08-26,OkCoin,0.0,0.0
2019-08-27,OkCoin,0.0,0.0
2019-08-28,OkCoin,0.0,0.0
2019-08-29,OkCoin,0.0,0.0
2019-08-30,OkCoin,0.0,0.0
2019-08-31,OkCoin,0.0,0.0
2019-09-01,OkCoin,0.0,0.0
2019-09-02,OkCoin,0.0,0.0
2019-09-03,OkCoin,0.0,0.0
2019-09-04,OkCoin,0.0,0.0
2019-09-05,OkCoin,0.0,0.0
2019-09-06,OkCoin,0.0,0.0
2019-09-07,OkCoin,0.0,0.0
2019-09-08,OkCoin,0.0,0.0
2019-09-09,OkCoin,0.0,0.0
2019-09-10,OkCoin,0.0,0.0
2019-09-11,OkCoin,0.0,0.0
2019-09-12,OkCoin,0.0,0.0
2019-09-13,OkCoin,0.0,0.0
2019-09-14,OkCoin,0.0,0.0
2019-09-15,OkCoin,0.0,0.0
2019-09-16,OkCoin,0.0,0.0
2019-09-17,OkCoin,0.0,0.0
2019-09-18,OkCoin,0.0,0.0
2019-09-19,OkCoin,0.0,0.0
2019-09-20,OkCoin,0.0,0.0
2019-09-21,OkCoin,0.0,0.0
2019-09-22,OkCoin,0.0,0.0
2019-09-23,OkCoin,0.0,0.0
2019-09-24,OkCoin,0.0,0.0
2019-09-25,OkCoin,0.0,0.0
2019-09-26,OkCoin,0.0,0.0
2019-09-27,OkCoin,0.0,0.0
2019-09-28,OkCoin,0.0,0.0
2019-09-29,OkCoin,0.0,0.0
2019-09-30,OkCoin,0.0,0.0
2019-10-01,OkCoin,0.0,0.0
2019-10-02,OkCoin,0.0,0.0
2019-10-03,OkCoin,0.0,0.0
2019-10-04,OkCoin,0.0,0.0
2019-10-05,OkCoin,0.0,0.0
2019-10-06,OkCoin,0.0,0.0
2019-10-07,OkCoin,0.0,0.0
2019-10-08,OkCoin,0.0,0.0
2019-10-09,OkCoin,0.0,0.0
2019-10-10,OkCoin,0.0,0.0
