Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Paribu,0.0,0.0
2019-06-12,Paribu,0.0,0.0
2019-06-13,Paribu,0.0,0.0
2019-06-14,Paribu,0.0,0.0
2019-06-15,Paribu,0.0,0.0
2019-06-16,Paribu,0.0,0.0
2019-06-17,Paribu,0.0,0.0
2019-06-18,Paribu,0.0,0.0
2019-06-19,Paribu,0.0,0.0
2019-06-20,Paribu,0.0,0.0
2019-06-21,Paribu,0.0,0.0
2019-06-22,Paribu,0.0,0.0
2019-06-23,Paribu,0.0,0.0
2019-06-24,Paribu,0.0,0.0
2019-06-25,Paribu,0.0,0.0
2019-06-26,Paribu,0.0,0.0
2019-06-27,Paribu,0.0,0.0
2019-06-28,Paribu,0.0,0.0
2019-06-29,Paribu,0.0,0.0
2019-06-30,Paribu,0.0,0.0
2019-07-01,Paribu,0.0,0.0
2019-07-02,Paribu,0.0,0.0
2019-07-03,Paribu,0.0,0.0
2019-07-04,Paribu,0.0,0.0
2019-07-05,Paribu,0.0,0.0
2019-07-06,Paribu,0.0,0.0
2019-07-07,Paribu,0.0,0.0
2019-07-08,Paribu,0.0,0.0
2019-07-09,Paribu,0.0,0.0
2019-07-10,Paribu,0.0,0.0
2019-07-11,Paribu,0.0,0.0
2019-07-12,Paribu,0.0,0.0
2019-07-13,Paribu,0.0,0.0
2019-07-14,Paribu,0.0,0.0
2019-07-15,Paribu,0.0,0.0
2019-07-16,Paribu,0.0,0.0
2019-07-17,Paribu,0.0,0.0
2019-07-18,Paribu,0.0,0.0
2019-07-19,Paribu,0.0,0.0
2019-07-20,Paribu,0.0,0.0
2019-07-21,Paribu,0.0,0.0
2019-07-22,Paribu,0.0,0.0
2019-07-23,Paribu,0.0,0.0
2019-07-24,Paribu,0.0,0.0
2019-07-25,Paribu,0.0,0.0
2019-07-26,Paribu,0.0,0.0
2019-07-27,Paribu,0.0,0.0
2019-07-28,Paribu,0.0,0.0
2019-07-29,Paribu,0.0,0.0
2019-07-30,Paribu,0.0,0.0
2019-07-31,Paribu,0.0,0.0
2019-08-01,Paribu,0.0,0.0
2019-08-02,Paribu,0.0,0.0
2019-08-03,Paribu,0.0,0.0
2019-08-04,Paribu,0.0,0.0
2019-08-05,Paribu,0.0,0.0
2019-08-06,Paribu,0.0,0.0
2019-08-07,Paribu,0.0,0.0
2019-08-08,Paribu,0.0,0.0
2019-08-09,Paribu,0.0,0.0
2019-08-10,Paribu,0.0,0.0
2019-08-11,Paribu,0.0,0.0
2019-08-12,Paribu,0.0,0.0
2019-08-13,Paribu,0.0,0.0
2019-08-14,Paribu,0.0,0.0
2019-08-15,Paribu,0.0,0.0
2019-08-16,Paribu,0.0,0.0
2019-08-17,Paribu,0.0,0.0
2019-08-18,Paribu,0.0,0.0
2019-08-19,Paribu,0.0,0.0
2019-08-20,Paribu,0.0,0.0
2019-08-21,Paribu,0.0,0.0
2019-08-22,Paribu,0.0,0.0
2019-08-23,Paribu,0.0,0.0
2019-08-24,Paribu,0.0,0.0
2019-08-25,Paribu,0.0,0.0
2019-08-26,Paribu,0.0,0.0
2019-08-27,Paribu,0.0,0.0
2019-08-28,Paribu,0.0,0.0
2019-08-29,Paribu,0.0,0.0
2019-08-30,Paribu,0.0,0.0
