Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Phemex,0.0,0.0
2019-06-12,Phemex,0.0,0.0
2019-06-13,Phemex,0.0,0.0
2019-06-14,Phemex,0.0,0.0
2019-06-15,Phemex,0.0,0.0
2019-06-16,Phemex,0.0,0.0
2019-06-17,Phemex,0.0,0.0
2019-06-18,Phemex,0.0,0.0
2019-06-19,Phemex,0.0,0.0
2019-06-20,Phemex,0.0,0.0
2019-06-21,Phemex,0.0,0.0
2019-06-22,Phemex,0.0,0.0
2019-06-23,Phemex,0.0,0.0
2019-06-24,Phemex,0.0,0.0
2019-06-25,Phemex,0.0,0.0
2019-06-26,Phemex,0.0,0.0
2019-06-27,Phemex,0.0,0.0
2019-06-28,Phemex,0.0,0.0
2019-06-29,Phemex,0.0,0.0
2019-06-30,Phemex,0.0,0.0
2019-07-01,Phemex,0.0,0.0
2019-07-02,Phemex,0.0,0.0
2019-07-03,Phemex,0.0,0.0
2019-07-04,Phemex,0.0,0.0
2019-07-05,Phemex,0.0,0.0
2019-07-06,Phemex,0.0,0.0
2019-07-07,Phemex,0.0,0.0
2019-07-08,Phemex,0.0,0.0
2019-07-09,Phemex,0.0,0.0
2019-07-10,Phemex,0.0,0.0
2019-07-11,Phemex,0.0,0.0
2019-07-12,Phemex,0.0,0.0
2019-07-13,Phemex,0.0,0.0
2019-07-14,Phemex,0.0,0.0
2019-07-15,Phemex,0.0,0.0
2019-07-16,Phemex,0.0,0.0
2019-07-17,Phemex,0.0,0.0
2019-07-18,Phemex,0.0,0.0
2019-07-19,Phemex,0.0,0.0
2019-07-20,Phemex,0.0,0.0
2019-07-21,Phemex,0.0,0.0
2019-07-22,Phemex,0.0,0.0
2019-07-23,Phemex,0.0,0.0
2019-07-24,Phemex,0.0,0.0
2019-07-25,Phemex,0.0,0.0
2019-07-26,Phemex,0.0,0.0
2019-07-27,Phemex,0.0,0.0
2019-07-28,Phemex,0.0,0.0
2019-07-29,Phemex,0.0,0.0
2019-07-30,Phemex,0.0,0.0
2019-07-31,Phemex,0.0,0.0
2019-08-01,Phemex,0.0,0.0
2019-08-02,Phemex,0.0,0.0
2019-08-03,Phemex,0.0,0.0
2019-08-04,Phemex,0.0,0.0
2019-08-05,Phemex,0.0,0.0
2019-08-06,Phemex,0.0,0.0
2019-08-07,Phemex,0.0,0.0
2019-08-08,Phemex,0.0,0.0
2019-08-09,Phemex,0.0,0.0
2019-08-10,Phemex,0.0,0.0
2019-08-11,Phemex,0.0,0.0
2019-08-12,Phemex,0.0,0.0
2019-08-13,Phemex,0.0,0.0
2019-08-14,Phemex,0.0,0.0
2019-08-15,Phemex,0.0,0.0
2019-08-16,Phemex,0.0,0.0
2019-08-17,Phemex,0.0,0.0
2019-08-18,Phemex,0.0,0.0
2019-08-19,Phemex,0.0,0.0
2019-08-20,Phemex,0.0,0.0
2019-08-21,Phemex,0.0,0.0
2019-08-22,Phemex,0.0,0.0
2019-08-23,Phemex,0.0,0.0
2019-08-24,Phemex,0.0,0.0
2019-08-25,Phemex,0.0,0.0
2019-08-26,Phemex,0.0,0.0
2019-08-27,Phemex,0.0,0.0
2019-08-28,Phemex,0.0,0.0
2019-08-29,Phemex,0.0,0.0
2019-08-30,Phemex,0.0,0.0
2019-08-31,Phemex,0.0,0.0
2019-09-01,Phemex,0.0,0.0
2019-09-02,Phemex,0.0,0.0
2019-09-03,Phemex,0.0,0.0
2019-09-04,Phemex,0.0,0.0
2019-09-05,Phemex,0.0,0.0
2019-09-06,Phemex,0.0,0.0
2019-09-07,Phemex,0.0,0.0
2019-09-08,Phemex,0.0,0.0
2019-09-09,Phemex,0.0,0.0
2019-09-10,Phemex,0.0,0.0
2019-09-11,Phemex,0.0,0.0
2019-09-12,Phemex,0.0,0.0
2019-09-13,Phemex,0.0,0.0
2019-09-14,Phemex,0.0,0.0
2019-09-15,Phemex,0.0,0.0
2019-09-16,Phemex,0.0,0.0
2019-09-17,Phemex,0.0,0.0
2019-09-18,Phemex,0.0,0.0
2019-09-19,Phemex,0.0,0.0
2019-09-20,Phemex,0.0,0.0
2019-09-21,Phemex,0.0,0.0
2019-09-22,Phemex,0.0,0.0
2019-09-23,Phemex,0.0,0.0
2019-09-24,Phemex,0.0,0.0
2019-09-25,Phemex,0.0,0.0
2019-09-26,Phemex,0.0,0.0
2019-09-27,Phemex,0.0,0.0
2019-09-28,Phemex,0.0,0.0
2019-09-29,Phemex,0.0,0.0
2019-09-30,Phemex,0.0,0.0
2019-10-01,Phemex,0.0,0.0
2019-10-02,Phemex,0.0,0.0
2019-10-03,Phemex,0.0,0.0
2019-10-04,Phemex,0.0,0.0
2019-10-05,Phemex,0.0,0.0
2019-10-06,Phemex,0.0,0.0
2019-10-07,Phemex,0.0,0.0
2019-10-08,Phemex,0.0,0.0
2019-10-09,Phemex,0.0,0.0
2019-10-10,Phemex,0.0,0.0
2019-10-11,Phemex,0.0,0.0
2019-10-12,Phemex,0.0,0.0
2019-10-13,Phemex,0.0,0.0
2019-10-14,Phemex,0.0,0.0
2019-10-15,Phemex,0.0,0.0
2019-10-16,Phemex,0.0,0.0
2019-10-17,Phemex,0.0,0.0
2019-10-18,Phemex,0.0,0.0
2019-10-19,Phemex,0.0,0.0
2019-10-20,Phemex,0.0,0.0
2019-10-21,Phemex,0.0,0.0
2019-10-22,Phemex,0.0,0.0
2019-10-23,Phemex,0.0,0.0
2019-10-24,Phemex,0.0,0.0
2019-10-25,Phemex,0.0,0.0
2019-10-26,Phemex,0.0,0.0
2019-10-27,Phemex,0.0,0.0
2019-10-28,Phemex,0.0,0.0
2019-10-29,Phemex,0.0,0.0
2019-10-30,Phemex,0.0,0.0
2019-10-31,Phemex,0.0,0.0
2019-11-01,Phemex,0.0,0.0
2019-11-02,Phemex,0.0,0.0
2019-11-03,Phemex,0.0,0.0
2019-11-04,Phemex,0.0,0.0
2019-11-05,Phemex,0.0,0.0
2019-11-06,Phemex,0.0,0.0
2019-11-07,Phemex,0.0,0.0
2019-11-08,Phemex,0.0,0.0
2019-11-09,Phemex,0.0,0.0
2019-11-10,Phemex,0.0,0.0
2019-11-11,Phemex,0.0,0.0
2019-11-12,Phemex,0.0,0.0
2019-11-13,Phemex,0.0,0.0
2019-11-14,Phemex,0.0,0.0
2019-11-15,Phemex,0.0,0.0
2019-11-16,Phemex,0.0,0.0
2019-11-17,Phemex,0.0,0.0
2019-11-18,Phemex,0.0,0.0
2019-11-19,Phemex,0.0,0.0
2019-11-20,Phemex,0.0,0.0
2019-11-21,Phemex,0.0,0.0
2019-11-22,Phemex,0.0,0.0
2019-11-23,Phemex,0.0,0.0
2019-11-24,Phemex,0.0,0.0
2019-11-25,Phemex,0.0,0.0
2019-11-26,Phemex,0.0,0.0
2019-11-27,Phemex,0.0,0.0
2019-11-28,Phemex,0.0,0.0
2019-11-29,Phemex,0.0,0.0
2019-11-30,Phemex,0.0,0.0
2019-12-01,Phemex,0.0,0.0
2019-12-02,Phemex,0.0,0.0
2019-12-03,Phemex,0.0,0.0
2019-12-04,Phemex,0.0,0.0
2019-12-05,Phemex,0.0,0.0
2019-12-06,Phemex,0.0,0.0
2019-12-07,Phemex,0.0,0.0
2019-12-08,Phemex,0.0,0.0
2019-12-09,Phemex,0.0,0.0
2019-12-10,Phemex,0.0,0.0
2019-12-11,Phemex,0.0,0.0
2019-12-12,Phemex,0.0,0.0
2019-12-13,Phemex,0.0,0.0
2019-12-14,Phemex,0.0,0.0
2019-12-15,Phemex,0.0,0.0
2019-12-16,Phemex,0.0,0.0
2019-12-17,Phemex,0.0,0.0
2019-12-18,Phemex,0.0,0.0
2019-12-19,Phemex,0.0,0.0
2019-12-20,Phemex,0.0,0.0
2019-12-21,Phemex,0.0,0.0
2019-12-22,Phemex,0.0,0.0
2019-12-23,Phemex,0.0,0.0
2019-12-24,Phemex,0.0,0.0
2019-12-25,Phemex,0.0,0.0
2019-12-26,Phemex,0.0,0.0
2019-12-27,Phemex,0.0,0.0
2019-12-28,Phemex,0.0,0.0
2019-12-29,Phemex,0.0,0.0
2019-12-30,Phemex,0.0,0.0
2019-12-31,Phemex,0.0,0.0
2020-01-01,Phemex,0.0,0.0
2020-01-02,Phemex,0.0,0.0
2020-01-03,Phemex,0.0,0.0
2020-01-04,Phemex,0.0,0.0
2020-01-05,Phemex,0.0,0.0
2020-01-06,Phemex,0.0,0.0
2020-01-07,Phemex,0.0,0.0
2020-01-08,Phemex,0.0,0.0
2020-01-09,Phemex,0.0,0.0
2020-01-10,Phemex,0.0,0.0
2020-01-11,Phemex,0.0,0.0
2020-01-12,Phemex,0.0,0.0
2020-01-13,Phemex,0.0,0.0
2020-01-14,Phemex,0.0,0.0
2020-01-15,Phemex,0.0,0.0
2020-01-16,Phemex,0.0,0.0
2020-01-17,Phemex,0.0,0.0
2020-01-18,Phemex,0.0,0.0
2020-01-19,Phemex,0.0,0.0
2020-01-20,Phemex,0.0,0.0
2020-01-21,Phemex,0.0,0.0
2020-01-22,Phemex,0.0,0.0
2020-01-23,Phemex,0.0,0.0
2020-01-24,Phemex,0.0,0.0
2020-01-25,Phemex,0.0,0.0
2020-01-26,Phemex,0.0,0.0
2020-01-27,Phemex,0.0,0.0
2020-01-28,Phemex,0.0,0.0
2020-01-29,Phemex,0.0,0.0
2020-01-30,Phemex,0.0,0.0
2020-01-31,Phemex,0.0,0.0
2020-02-01,Phemex,0.0,0.0
2020-02-02,Phemex,0.0,0.0
2020-02-03,Phemex,0.0,0.0
2020-02-04,Phemex,0.0,0.0
2020-02-05,Phemex,0.0,0.0
2020-02-06,Phemex,0.0,0.0
2020-02-07,Phemex,0.0,0.0
2020-02-08,Phemex,0.0,0.0
2020-02-09,Phemex,0.0,0.0
2020-02-10,Phemex,0.0,0.0
2020-02-11,Phemex,0.0,0.0
2020-02-12,Phemex,0.0,0.0
2020-02-13,Phemex,0.0,0.0
2020-02-14,Phemex,0.0,0.0
2020-02-15,Phemex,0.0,0.0
2020-02-16,Phemex,0.0,0.0
2020-02-17,Phemex,0.0,0.0
2020-02-18,Phemex,0.0,0.0
2020-02-19,Phemex,0.0,0.0
2020-02-20,Phemex,0.0,0.0
2020-02-21,Phemex,0.0,0.0
2020-02-22,Phemex,0.0,0.0
2020-02-23,Phemex,0.0,0.0
2020-02-24,Phemex,0.0,0.0
2020-02-25,Phemex,0.0,0.0
2020-02-26,Phemex,0.0,0.0
2020-02-27,Phemex,0.0,0.0
2020-02-28,Phemex,0.0,0.0
2020-02-29,Phemex,0.0,0.0
2020-03-01,Phemex,0.0,0.0
2020-03-02,Phemex,0.0,0.0
2020-03-03,Phemex,0.0,0.0
2020-03-04,Phemex,0.0,0.0
2020-03-05,Phemex,0.0,0.0
2020-03-06,Phemex,0.0,0.0
2020-03-07,Phemex,0.0,0.0
2020-03-08,Phemex,0.0,0.0
2020-03-09,Phemex,0.0,0.0
2020-03-10,Phemex,0.0,0.0
2020-03-11,Phemex,0.0,0.0
2020-03-12,Phemex,0.0,0.0
2020-03-13,Phemex,0.0,0.0
2020-03-14,Phemex,0.0,0.0
2020-03-15,Phemex,0.0,0.0
2020-03-16,Phemex,0.0,0.0
2020-03-17,Phemex,0.0,0.0
2020-03-18,Phemex,0.0,0.0
2020-03-19,Phemex,0.0,0.0
2020-03-20,Phemex,0.0,0.0
2020-03-21,Phemex,0.0,0.0
2020-03-22,Phemex,0.0,0.0
2020-03-23,Phemex,0.0,0.0
2020-03-24,Phemex,0.0,0.0
2020-03-25,Phemex,0.0,0.0
2020-03-26,Phemex,0.0,0.0
2020-03-27,Phemex,0.0,0.0
2020-03-28,Phemex,0.0,0.0
2020-03-29,Phemex,0.0,0.0
2020-03-30,Phemex,0.0,0.0
2020-03-31,Phemex,0.0,0.0
2020-04-01,Phemex,0.0,0.0
2020-04-02,Phemex,0.0,0.0
2020-04-03,Phemex,0.0,0.0
2020-04-04,Phemex,0.0,0.0
2020-04-05,Phemex,0.0,0.0
2020-04-06,Phemex,0.0,0.0
2020-04-07,Phemex,0.0,0.0
2020-04-08,Phemex,0.0,0.0
2020-04-09,Phemex,0.0,0.0
2020-04-10,Phemex,0.0,0.0
2020-04-11,Phemex,0.0,0.0
2020-04-12,Phemex,0.0,0.0
2020-04-13,Phemex,0.0,0.0
2020-04-14,Phemex,0.0,0.0
2020-04-15,Phemex,0.0,0.0
2020-04-16,Phemex,0.0,0.0
2020-04-17,Phemex,0.0,0.0
2020-04-18,Phemex,0.0,0.0
2020-04-19,Phemex,0.0,0.0
2020-04-20,Phemex,0.0,0.0
2020-04-21,Phemex,0.0,0.0
2020-04-22,Phemex,0.0,0.0
2020-04-23,Phemex,0.0,0.0
2020-04-24,Phemex,0.0,0.0
2020-04-25,Phemex,0.0,0.0
2020-04-26,Phemex,0.0,0.0
2020-04-27,Phemex,0.0,0.0
2020-04-28,Phemex,0.0,0.0
2020-04-29,Phemex,0.0,0.0
2020-04-30,Phemex,0.0,0.0
2020-05-01,Phemex,0.0,0.0
2020-05-02,Phemex,0.0,0.0
2020-05-03,Phemex,0.0,0.0
2020-05-04,Phemex,0.0,0.0
2020-05-05,Phemex,0.0,0.0
2020-05-06,Phemex,0.0,0.0
2020-05-07,Phemex,0.0,0.0
2020-05-08,Phemex,0.0,0.0
2020-05-09,Phemex,0.0,0.0
2020-05-10,Phemex,0.0,0.0
2020-05-11,Phemex,0.0,0.0
2020-05-12,Phemex,0.0,0.0
2020-05-13,Phemex,0.0,0.0
2020-05-14,Phemex,0.0,0.0
2020-05-15,Phemex,0.0,0.0
2020-05-16,Phemex,0.0,0.0
2020-05-17,Phemex,0.0,0.0
2020-05-18,Phemex,0.0,0.0
2020-05-19,Phemex,0.0,0.0
2020-05-20,Phemex,0.0,0.0
2020-05-21,Phemex,0.0,0.0
2020-05-22,Phemex,0.0,0.0
2020-05-23,Phemex,0.0,0.0
2020-05-24,Phemex,0.0,0.0
2020-05-25,Phemex,0.0,0.0
2020-05-26,Phemex,0.0,0.0
2020-05-27,Phemex,0.0,0.0
2020-05-28,Phemex,0.0,0.0
2020-05-29,Phemex,0.0,0.0
2020-05-30,Phemex,0.0,0.0
2020-05-31,Phemex,0.0,0.0
2020-06-01,Phemex,0.0,0.0
2020-06-02,Phemex,0.0,0.0
2020-06-03,Phemex,0.0,0.0
2020-06-04,Phemex,0.0,0.0
2020-06-05,Phemex,0.0,0.0
2020-06-06,Phemex,0.0,0.0
2020-06-07,Phemex,0.0,0.0
2020-06-08,Phemex,0.0,0.0
2020-06-09,Phemex,0.0,0.0
2020-06-10,Phemex,0.0,0.0
2020-06-11,Phemex,0.0,0.0
2020-06-12,Phemex,0.0,0.0
2020-06-13,Phemex,0.0,0.0
2020-06-14,Phemex,0.0,0.0
2020-06-15,Phemex,0.0,0.0
