Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,ProBit,0.0,0.0
2019-06-12,ProBit,0.0,0.0
2019-06-13,ProBit,0.0,0.0
2019-06-14,ProBit,0.0,0.0
2019-06-15,ProBit,0.0,0.0
2019-06-16,ProBit,0.0,0.0
2019-06-17,ProBit,0.0,0.0
2019-06-18,ProBit,0.0,0.0
2019-06-19,ProBit,0.0,0.0
2019-06-20,ProBit,0.0,0.0
2019-06-21,ProBit,0.0,0.0
2019-06-22,ProBit,0.0,0.0
2019-06-23,ProBit,0.0,0.0
2019-06-24,ProBit,0.0,0.0
2019-06-25,ProBit,0.0,0.0
2019-06-26,ProBit,0.0,0.0
2019-06-27,ProBit,0.0,0.0
2019-06-28,ProBit,0.0,0.0
2019-06-29,ProBit,0.0,0.0
2019-06-30,ProBit,0.0,0.0
2019-07-01,ProBit,0.0,0.0
2019-07-02,ProBit,0.0,0.0
2019-07-03,ProBit,0.0,0.0
2019-07-04,ProBit,0.0,0.0
2019-07-05,ProBit,0.0,0.0
2019-07-06,ProBit,0.0,0.0
2019-07-07,ProBit,0.0,0.0
2019-07-08,ProBit,0.0,0.0
2019-07-09,ProBit,0.0,0.0
2019-07-10,ProBit,0.0,0.0
2019-07-11,ProBit,0.0,0.0
2019-07-12,ProBit,0.0,0.0
2019-07-13,ProBit,0.0,0.0
2019-07-14,ProBit,0.0,0.0
2019-07-15,ProBit,0.0,0.0
2019-07-16,ProBit,0.0,0.0
2019-07-17,ProBit,0.0,0.0
2019-07-18,ProBit,0.0,0.0
2019-07-19,ProBit,0.0,0.0
2019-07-20,ProBit,0.0,0.0
2019-07-21,ProBit,0.0,0.0
2019-07-22,ProBit,0.0,0.0
2019-07-23,ProBit,0.0,0.0
2019-07-24,ProBit,0.0,0.0
2019-07-25,ProBit,0.0,0.0
2019-07-26,ProBit,0.0,0.0
2019-07-27,ProBit,0.0,0.0
2019-07-28,ProBit,0.0,0.0
2019-07-29,ProBit,0.0,0.0
2019-07-30,ProBit,0.0,0.0
2019-07-31,ProBit,0.0,0.0
2019-08-01,ProBit,0.0,0.0
2019-08-02,ProBit,0.0,0.0
2019-08-03,ProBit,0.0,0.0
2019-08-04,ProBit,0.0,0.0
2019-08-05,ProBit,0.0,0.0
2019-08-06,ProBit,0.0,0.0
2019-08-07,ProBit,0.0,0.0
2019-08-08,ProBit,0.0,0.0
2019-08-09,ProBit,0.0,0.0
2019-08-10,ProBit,0.0,0.0
2019-08-11,ProBit,0.0,0.0
2019-08-12,ProBit,0.0,0.0
2019-08-13,ProBit,0.0,0.0
2019-08-14,ProBit,0.0,0.0
2019-08-15,ProBit,0.0,0.0
2019-08-16,ProBit,0.0,0.0
2019-08-17,ProBit,0.0,0.0
2019-08-18,ProBit,0.0,0.0
2019-08-19,ProBit,0.0,0.0
2019-08-20,ProBit,0.0,0.0
2019-08-21,ProBit,0.0,0.0
2019-08-22,ProBit,0.0,0.0
2019-08-23,ProBit,0.0,0.0
2019-08-24,ProBit,0.0,0.0
2019-08-25,ProBit,0.0,0.0
2019-08-26,ProBit,0.0,0.0
2019-08-27,ProBit,0.0,0.0
2019-08-28,ProBit,0.0,0.0
2019-08-29,ProBit,0.0,0.0
2019-08-30,ProBit,0.0,0.0
2019-08-31,ProBit,0.0,0.0
2019-09-01,ProBit,0.0,0.0
2019-09-02,ProBit,0.0,0.0
2019-09-03,ProBit,0.0,0.0
2019-09-04,ProBit,0.0,0.0
