Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,UpHold,0.0,0.0
2019-06-12,UpHold,0.0,0.0
2019-06-13,UpHold,0.0,0.0
2019-06-14,UpHold,0.0,0.0
2019-06-15,UpHold,0.0,0.0
2019-06-16,UpHold,0.0,0.0
2019-06-17,UpHold,0.0,0.0
2019-06-18,UpHold,0.0,0.0
2019-06-19,UpHold,0.0,0.0
2019-06-20,UpHold,0.0,0.0
2019-06-21,UpHold,0.0,0.0
2019-06-22,UpHold,0.0,0.0
2019-06-23,UpHold,0.0,0.0
2019-06-24,UpHold,0.0,0.0
2019-06-25,UpHold,0.0,0.0
2019-06-26,UpHold,0.0,0.0
2019-06-27,UpHold,0.0,0.0
2019-06-28,UpHold,0.0,0.0
2019-06-29,UpHold,0.0,0.0
2019-06-30,UpHold,0.0,0.0
2019-07-01,UpHold,0.0,0.0
2019-07-02,UpHold,0.0,0.0
2019-07-03,UpHold,0.0,0.0
2019-07-04,UpHold,0.0,0.0
2019-07-05,UpHold,0.0,0.0
2019-07-06,UpHold,0.0,0.0
2019-07-07,UpHold,0.0,0.0
2019-07-08,UpHold,0.0,0.0
2019-07-09,UpHold,0.0,0.0
2019-07-10,UpHold,0.0,0.0
2019-07-11,UpHold,0.0,0.0
2019-07-12,UpHold,0.0,0.0
2019-07-13,UpHold,0.0,0.0
2019-07-14,UpHold,0.0,0.0
2019-07-15,UpHold,0.0,0.0
2019-07-16,UpHold,0.0,0.0
2019-07-17,UpHold,0.0,0.0
2019-07-18,UpHold,0.0,0.0
2019-07-19,UpHold,0.0,0.0
2019-07-20,UpHold,0.0,0.0
2019-07-21,UpHold,0.0,0.0
2019-07-22,UpHold,0.0,0.0
2019-07-23,UpHold,0.0,0.0
2019-07-24,UpHold,0.0,0.0
2019-07-25,UpHold,0.0,0.0
2019-07-26,UpHold,0.0,0.0
2019-07-27,UpHold,0.0,0.0
2019-07-28,UpHold,0.0,0.0
2019-07-29,UpHold,0.0,0.0
2019-07-30,UpHold,0.0,0.0
2019-07-31,UpHold,0.0,0.0
2019-08-01,UpHold,0.0,0.0
2019-08-02,UpHold,0.0,0.0
2019-08-03,UpHold,0.0,0.0
2019-08-04,UpHold,0.0,0.0
2019-08-05,UpHold,0.0,0.0
2019-08-06,UpHold,0.0,0.0
2019-08-07,UpHold,0.0,0.0
2019-08-08,UpHold,0.0,0.0
2019-08-09,UpHold,0.0,0.0
2019-08-10,UpHold,0.0,0.0
2019-08-11,UpHold,0.0,0.0
2019-08-12,UpHold,0.0,0.0
2019-08-13,UpHold,0.0,0.0
2019-08-14,UpHold,0.0,0.0
2019-08-15,UpHold,0.0,0.0
2019-08-16,UpHold,0.0,0.0
2019-08-17,UpHold,0.0,0.0
2019-08-18,UpHold,0.0,0.0
2019-08-19,UpHold,0.0,0.0
2019-08-20,UpHold,0.0,0.0
2019-08-21,UpHold,0.0,0.0
2019-08-22,UpHold,0.0,0.0
2019-08-23,UpHold,0.0,0.0
2019-08-24,UpHold,0.0,0.0
2019-08-25,UpHold,0.0,0.0
2019-08-26,UpHold,0.0,0.0
2019-08-27,UpHold,0.0,0.0
2019-08-28,UpHold,0.0,0.0
2019-08-29,UpHold,0.0,0.0
2019-08-30,UpHold,0.0,0.0
2019-08-31,UpHold,0.0,0.0
2019-09-01,UpHold,0.0,0.0
2019-09-02,UpHold,0.0,0.0
2019-09-03,UpHold,0.0,0.0
2019-09-04,UpHold,0.0,0.0
2019-09-05,UpHold,0.0,0.0
2019-09-06,UpHold,0.0,0.0
2019-09-07,UpHold,0.0,0.0
2019-09-08,UpHold,0.0,0.0
2019-09-09,UpHold,0.0,0.0
2019-09-10,UpHold,0.0,0.0
2019-09-11,UpHold,0.0,0.0
2019-09-12,UpHold,0.0,0.0
2019-09-13,UpHold,0.0,0.0
2019-09-14,UpHold,0.0,0.0
2019-09-15,UpHold,0.0,0.0
2019-09-16,UpHold,0.0,0.0
2019-09-17,UpHold,0.0,0.0
2019-09-18,UpHold,0.0,0.0
2019-09-19,UpHold,0.0,0.0
2019-09-20,UpHold,0.0,0.0
2019-09-21,UpHold,0.0,0.0
2019-09-22,UpHold,0.0,0.0
2019-09-23,UpHold,0.0,0.0
2019-09-24,UpHold,0.0,0.0
2019-09-25,UpHold,0.0,0.0
2019-09-26,UpHold,0.0,0.0
2019-09-27,UpHold,0.0,0.0
2019-09-28,UpHold,0.0,0.0
2019-09-29,UpHold,0.0,0.0
2019-09-30,UpHold,0.0,0.0
2019-10-01,UpHold,0.0,0.0
2019-10-02,UpHold,0.0,0.0
2019-10-03,UpHold,0.0,0.0
2019-10-04,UpHold,0.0,0.0
2019-10-05,UpHold,0.0,0.0
2019-10-06,UpHold,0.0,0.0
2019-10-07,UpHold,0.0,0.0
2019-10-08,UpHold,0.0,0.0
2019-10-09,UpHold,0.0,0.0
2019-10-10,UpHold,0.0,0.0
