Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,Vindax,0.0,0.0
2019-06-12,Vindax,0.0,0.0
2019-06-13,Vindax,0.0,0.0
2019-06-14,Vindax,0.0,0.0
2019-06-15,Vindax,0.0,0.0
2019-06-16,Vindax,0.0,0.0
2019-06-17,Vindax,0.0,0.0
2019-06-18,Vindax,0.0,0.0
2019-06-19,Vindax,0.0,0.0
2019-06-20,Vindax,0.0,0.0
2019-06-21,Vindax,0.0,0.0
2019-06-22,Vindax,0.0,0.0
2019-06-23,Vindax,0.0,0.0
2019-06-24,Vindax,0.0,0.0
2019-06-25,Vindax,0.0,0.0
2019-06-26,Vindax,0.0,0.0
2019-06-27,Vindax,0.0,0.0
2019-06-28,Vindax,0.0,0.0
2019-06-29,Vindax,0.0,0.0
2019-06-30,Vindax,0.0,0.0
2019-07-01,Vindax,0.0,0.0
2019-07-02,Vindax,0.0,0.0
2019-07-03,Vindax,0.0,0.0
2019-07-04,Vindax,0.0,0.0
2019-07-05,Vindax,0.0,0.0
2019-07-06,Vindax,0.0,0.0
2019-07-07,Vindax,0.0,0.0
2019-07-08,Vindax,0.0,0.0
2019-07-09,Vindax,0.0,0.0
2019-07-10,Vindax,0.0,0.0
2019-07-11,Vindax,0.0,0.0
2019-07-12,Vindax,0.0,0.0
2019-07-13,Vindax,0.0,0.0
2019-07-14,Vindax,0.0,0.0
2019-07-15,Vindax,0.0,0.0
2019-07-16,Vindax,0.0,0.0
2019-07-17,Vindax,0.0,0.0
2019-07-18,Vindax,0.0,0.0
2019-07-19,Vindax,0.0,0.0
2019-07-20,Vindax,0.0,0.0
2019-07-21,Vindax,0.0,0.0
2019-07-22,Vindax,0.0,0.0
2019-07-23,Vindax,0.0,0.0
2019-07-24,Vindax,0.0,0.0
2019-07-25,Vindax,0.0,0.0
2019-07-26,Vindax,0.0,0.0
2019-07-27,Vindax,0.0,0.0
2019-07-28,Vindax,0.0,0.0
2019-07-29,Vindax,0.0,0.0
2019-07-30,Vindax,0.0,0.0
2019-07-31,Vindax,0.0,0.0
2019-08-01,Vindax,0.0,0.0
2019-08-02,Vindax,0.0,0.0
2019-08-03,Vindax,0.0,0.0
2019-08-04,Vindax,0.0,0.0
2019-08-05,Vindax,0.0,0.0
2019-08-06,Vindax,0.0,0.0
2019-08-07,Vindax,0.0,0.0
2019-08-08,Vindax,0.0,0.0
2019-08-09,Vindax,0.0,0.0
2019-08-10,Vindax,0.0,0.0
2019-08-11,Vindax,0.0,0.0
2019-08-12,Vindax,0.0,0.0
2019-08-13,Vindax,0.0,0.0
2019-08-14,Vindax,0.0,0.0
2019-08-15,Vindax,0.0,0.0
2019-08-16,Vindax,0.0,0.0
2019-08-17,Vindax,0.0,0.0
2019-08-18,Vindax,0.0,0.0
2019-08-19,Vindax,0.0,0.0
2019-08-20,Vindax,0.0,0.0
2019-08-21,Vindax,0.0,0.0
2019-08-22,Vindax,0.0,0.0
2019-08-23,Vindax,0.0,0.0
2019-08-24,Vindax,0.0,0.0
2019-08-25,Vindax,0.0,0.0
2019-08-26,Vindax,0.0,0.0
2019-08-27,Vindax,0.0,0.0
2019-08-28,Vindax,0.0,0.0
2019-08-29,Vindax,0.0,0.0
2019-08-30,Vindax,0.0,0.0
2019-08-31,Vindax,0.0,0.0
2019-09-01,Vindax,0.0,0.0
2019-09-02,Vindax,0.0,0.0
2019-09-03,Vindax,0.0,0.0
2019-09-04,Vindax,0.0,0.0
2019-09-05,Vindax,0.0,0.0
2019-09-06,Vindax,0.0,0.0
2019-09-07,Vindax,0.0,0.0
2019-09-08,Vindax,0.0,0.0
2019-09-09,Vindax,0.0,0.0
2019-09-10,Vindax,0.0,0.0
2019-09-11,Vindax,0.0,0.0
2019-09-12,Vindax,0.0,0.0
2019-09-13,Vindax,0.0,0.0
2019-09-14,Vindax,0.0,0.0
2019-09-15,Vindax,0.0,0.0
2019-09-16,Vindax,0.0,0.0
2019-09-17,Vindax,0.0,0.0
2019-09-18,Vindax,0.0,0.0
2019-09-19,Vindax,0.0,0.0
2019-09-20,Vindax,0.0,0.0
2019-09-21,Vindax,0.0,0.0
2019-09-22,Vindax,0.0,0.0
2019-09-23,Vindax,0.0,0.0
2019-09-24,Vindax,0.0,0.0
2019-09-25,Vindax,0.0,0.0
2019-09-26,Vindax,0.0,0.0
2019-09-27,Vindax,0.0,0.0
2019-09-28,Vindax,0.0,0.0
2019-09-29,Vindax,0.0,0.0
2019-09-30,Vindax,0.0,0.0
2019-10-01,Vindax,0.0,0.0
2019-10-02,Vindax,0.0,0.0
2019-10-03,Vindax,0.0,0.0
2019-10-04,Vindax,0.0,0.0
2019-10-05,Vindax,0.0,0.0
2019-10-06,Vindax,0.0,0.0
2019-10-07,Vindax,0.0,0.0
2019-10-08,Vindax,0.0,0.0
2019-10-09,Vindax,0.0,0.0
2019-10-10,Vindax,0.0,0.0
2019-10-11,Vindax,0.0,0.0
2019-10-12,Vindax,0.0,0.0
2019-10-13,Vindax,0.0,0.0
2019-10-14,Vindax,0.0,0.0
2019-10-15,Vindax,0.0,0.0
2019-10-16,Vindax,0.0,0.0
2019-10-17,Vindax,0.0,0.0
2019-10-18,Vindax,0.0,0.0
2019-10-19,Vindax,0.0,0.0
2019-10-20,Vindax,0.0,0.0
2019-10-21,Vindax,0.0,0.0
2019-10-22,Vindax,0.0,0.0
2019-10-23,Vindax,0.0,0.0
2019-10-24,Vindax,0.0,0.0
2019-10-25,Vindax,0.0,0.0
2019-10-26,Vindax,0.0,0.0
2019-10-27,Vindax,0.0,0.0
2019-10-28,Vindax,0.0,0.0
2019-10-29,Vindax,0.0,0.0
2019-10-30,Vindax,0.0,0.0
2019-10-31,Vindax,0.0,0.0
2019-11-01,Vindax,0.0,0.0
2019-11-02,Vindax,0.0,0.0
2019-11-03,Vindax,0.0,0.0
2019-11-04,Vindax,0.0,0.0
2019-11-05,Vindax,0.0,0.0
2019-11-06,Vindax,0.0,0.0
2019-11-07,Vindax,0.0,0.0
2019-11-08,Vindax,0.0,0.0
2019-11-09,Vindax,0.0,0.0
2019-11-10,Vindax,0.0,0.0
2019-11-11,Vindax,0.0,0.0
2019-11-12,Vindax,0.0,0.0
2019-11-13,Vindax,0.0,0.0
2019-11-14,Vindax,0.0,0.0
2019-11-15,Vindax,0.0,0.0
2019-11-16,Vindax,0.0,0.0
2019-11-17,Vindax,0.0,0.0
2019-11-18,Vindax,0.0,0.0
2019-11-19,Vindax,0.0,0.0
2019-11-20,Vindax,0.0,0.0
2019-11-21,Vindax,0.0,0.0
2019-11-22,Vindax,0.0,0.0
2019-11-23,Vindax,0.0,0.0
2019-11-24,Vindax,0.0,0.0
2019-11-25,Vindax,0.0,0.0
2019-11-26,Vindax,0.0,0.0
2019-11-27,Vindax,0.0,0.0
2019-11-28,Vindax,0.0,0.0
