Date,Entity,AlgoBalance,AlgoBalanceDelta
2019-06-11,WhiteBIT,0.0,0.0
2019-06-12,WhiteBIT,0.0,0.0
2019-06-13,WhiteBIT,0.0,0.0
2019-06-14,WhiteBIT,0.0,0.0
2019-06-15,WhiteBIT,0.0,0.0
2019-06-16,WhiteBIT,0.0,0.0
2019-06-17,WhiteBIT,0.0,0.0
2019-06-18,WhiteBIT,0.0,0.0
2019-06-19,WhiteBIT,0.0,0.0
2019-06-20,WhiteBIT,0.0,0.0
2019-06-21,WhiteBIT,0.0,0.0
2019-06-22,WhiteBIT,0.0,0.0
2019-06-23,WhiteBIT,0.0,0.0
2019-06-24,WhiteBIT,0.0,0.0
2019-06-25,WhiteBIT,0.0,0.0
2019-06-26,WhiteBIT,0.0,0.0
2019-06-27,WhiteBIT,0.0,0.0
2019-06-28,WhiteBIT,0.0,0.0
2019-06-29,WhiteBIT,0.0,0.0
2019-06-30,WhiteBIT,0.0,0.0
2019-07-01,WhiteBIT,0.0,0.0
2019-07-02,WhiteBIT,0.0,0.0
2019-07-03,WhiteBIT,0.0,0.0
2019-07-04,WhiteBIT,0.0,0.0
2019-07-05,WhiteBIT,0.0,0.0
2019-07-06,WhiteBIT,0.0,0.0
2019-07-07,WhiteBIT,0.0,0.0
2019-07-08,WhiteBIT,0.0,0.0
2019-07-09,WhiteBIT,0.0,0.0
2019-07-10,WhiteBIT,0.0,0.0
2019-07-11,WhiteBIT,0.0,0.0
2019-07-12,WhiteBIT,0.0,0.0
2019-07-13,WhiteBIT,0.0,0.0
2019-07-14,WhiteBIT,0.0,0.0
2019-07-15,WhiteBIT,0.0,0.0
2019-07-16,WhiteBIT,0.0,0.0
2019-07-17,WhiteBIT,0.0,0.0
2019-07-18,WhiteBIT,0.0,0.0
2019-07-19,WhiteBIT,0.0,0.0
2019-07-20,WhiteBIT,0.0,0.0
2019-07-21,WhiteBIT,0.0,0.0
2019-07-22,WhiteBIT,0.0,0.0
2019-07-23,WhiteBIT,0.0,0.0
2019-07-24,WhiteBIT,0.0,0.0
2019-07-25,WhiteBIT,0.0,0.0
2019-07-26,WhiteBIT,0.0,0.0
2019-07-27,WhiteBIT,0.0,0.0
2019-07-28,WhiteBIT,0.0,0.0
2019-07-29,WhiteBIT,0.0,0.0
2019-07-30,WhiteBIT,0.0,0.0
2019-07-31,WhiteBIT,0.0,0.0
2019-08-01,WhiteBIT,0.0,0.0
2019-08-02,WhiteBIT,0.0,0.0
2019-08-03,WhiteBIT,0.0,0.0
2019-08-04,WhiteBIT,0.0,0.0
2019-08-05,WhiteBIT,0.0,0.0
2019-08-06,WhiteBIT,0.0,0.0
2019-08-07,WhiteBIT,0.0,0.0
2019-08-08,WhiteBIT,0.0,0.0
2019-08-09,WhiteBIT,0.0,0.0
2019-08-10,WhiteBIT,0.0,0.0
2019-08-11,WhiteBIT,0.0,0.0
2019-08-12,WhiteBIT,0.0,0.0
2019-08-13,WhiteBIT,0.0,0.0
2019-08-14,WhiteBIT,0.0,0.0
2019-08-15,WhiteBIT,0.0,0.0
2019-08-16,WhiteBIT,0.0,0.0
2019-08-17,WhiteBIT,0.0,0.0
2019-08-18,WhiteBIT,0.0,0.0
2019-08-19,WhiteBIT,0.0,0.0
2019-08-20,WhiteBIT,0.0,0.0
2019-08-21,WhiteBIT,0.0,0.0
2019-08-22,WhiteBIT,0.0,0.0
2019-08-23,WhiteBIT,0.0,0.0
2019-08-24,WhiteBIT,0.0,0.0
2019-08-25,WhiteBIT,0.0,0.0
2019-08-26,WhiteBIT,0.0,0.0
2019-08-27,WhiteBIT,0.0,0.0
2019-08-28,WhiteBIT,0.0,0.0
2019-08-29,WhiteBIT,0.0,0.0
2019-08-30,WhiteBIT,0.0,0.0
2019-08-31,WhiteBIT,0.0,0.0
2019-09-01,WhiteBIT,0.0,0.0
2019-09-02,WhiteBIT,0.0,0.0
2019-09-03,WhiteBIT,0.0,0.0
2019-09-04,WhiteBIT,0.0,0.0
2019-09-05,WhiteBIT,0.0,0.0
2019-09-06,WhiteBIT,0.0,0.0
2019-09-07,WhiteBIT,0.0,0.0
2019-09-08,WhiteBIT,0.0,0.0
2019-09-09,WhiteBIT,0.0,0.0
2019-09-10,WhiteBIT,0.0,0.0
2019-09-11,WhiteBIT,0.0,0.0
2019-09-12,WhiteBIT,0.0,0.0
2019-09-13,WhiteBIT,0.0,0.0
2019-09-14,WhiteBIT,0.0,0.0
2019-09-15,WhiteBIT,0.0,0.0
2019-09-16,WhiteBIT,0.0,0.0
2019-09-17,WhiteBIT,0.0,0.0
2019-09-18,WhiteBIT,0.0,0.0
2019-09-19,WhiteBIT,0.0,0.0
2019-09-20,WhiteBIT,0.0,0.0
2019-09-21,WhiteBIT,0.0,0.0
2019-09-22,WhiteBIT,0.0,0.0
2019-09-23,WhiteBIT,0.0,0.0
2019-09-24,WhiteBIT,0.0,0.0
2019-09-25,WhiteBIT,0.0,0.0
2019-09-26,WhiteBIT,0.0,0.0
2019-09-27,WhiteBIT,0.0,0.0
2019-09-28,WhiteBIT,0.0,0.0
2019-09-29,WhiteBIT,0.0,0.0
2019-09-30,WhiteBIT,0.0,0.0
2019-10-01,WhiteBIT,0.0,0.0
2019-10-02,WhiteBIT,0.0,0.0
2019-10-03,WhiteBIT,0.0,0.0
2019-10-04,WhiteBIT,0.0,0.0
2019-10-05,WhiteBIT,0.0,0.0
2019-10-06,WhiteBIT,0.0,0.0
2019-10-07,WhiteBIT,0.0,0.0
2019-10-08,WhiteBIT,0.0,0.0
2019-10-09,WhiteBIT,0.0,0.0
2019-10-10,WhiteBIT,0.0,0.0
2019-10-11,WhiteBIT,0.0,0.0
2019-10-12,WhiteBIT,0.0,0.0
2019-10-13,WhiteBIT,0.0,0.0
