"Date","Entity","AlgoBalance","AlgoBalanceDelta"
"2019-06-11","BTC Markets",0,0
"2019-06-11","BitPanda",0,0
"2019-06-11","Hotbit",0,0
"2019-06-11","MEXC",0,0
"2019-06-11","BingX",0,0
"2019-06-11","BitZ",0,0
"2019-06-11","UpHold",0,0
"2019-06-11","CoinSpot",0,0
"2019-06-11","Gate.io",0,0
"2019-06-11","Binance",0,0
"2019-06-11","Bitmax",0,0
"2019-06-11","Bitrue",0,0
"2019-06-11","ByBit",0,0
"2019-06-11","Kucoin",0,0
"2019-06-11","Phemex",0,0
"2019-06-11","Bitbox",0,0
"2019-06-11","Coinlist",0,0
"2019-06-11","Paribu",0,0
"2019-06-11","Vindax",0,0
"2019-06-11","Korbit",0,0
"2019-06-11","Netcoins",0,0
"2019-06-11","WhiteBIT",0,0
"2019-06-11","OKX",0,0
"2019-06-11","BTCTurk",0,0
"2019-06-11","BitGo",0,0
"2019-06-11","Bittrex",0,0
"2019-06-11","Kraken",0,0
"2019-06-11","Bitso",0,0
"2019-06-11","Coinex",0,0
"2019-06-11","ProBit",0,0
"2019-06-11","Blockchain.com",0,0
"2019-06-11","Coinbase",0,0
"2019-06-11","Koibanx",0,0
"2019-06-11","Bitvavo",0,0
"2019-06-11","Changelly",0,0
"2019-06-11","Indodax",0,0
"2019-06-11","Ripio",0,0
"2019-06-11","Bitfinex",0,0
"2019-06-11","Bitkub",0,0
"2019-06-11","Crypto.com",0,0
"2019-06-11","OkCoin",0,0
"2019-06-11","BKEX",0,0
"2019-06-11","Bitstamp",0,0
"2019-06-12","BTC Markets",0,0
"2019-06-12","BitPanda",0,0
"2019-06-12","Hotbit",0,0
"2019-06-12","MEXC",0,0
"2019-06-12","BingX",0,0
"2019-06-12","BitZ",0,0
"2019-06-12","UpHold",0,0
"2019-06-12","CoinSpot",0,0
"2019-06-12","Gate.io",0,0
"2019-06-12","Binance",0,0
"2019-06-12","Bitmax",0,0
"2019-06-12","Bitrue",0,0
"2019-06-12","ByBit",0,0
"2019-06-12","Kucoin",0,0
"2019-06-12","Phemex",0,0
"2019-06-12","Bitbox",0,0
"2019-06-12","Coinlist",0,0
"2019-06-12","Paribu",0,0
"2019-06-12","Vindax",0,0
"2019-06-12","Korbit",0,0
"2019-06-12","Netcoins",0,0
"2019-06-12","WhiteBIT",0,0
"2019-06-12","OKX",0,0
"2019-06-12","BTCTurk",0,0
"2019-06-12","BitGo",0,0
"2019-06-12","Bittrex",0,0
"2019-06-12","Kraken",0,0
"2019-06-12","Bitso",0,0
"2019-06-12","Coinex",0,0
"2019-06-12","ProBit",0,0
"2019-06-12","Blockchain.com",0,0
"2019-06-12","Coinbase",0,0
"2019-06-12","Koibanx",0,0
"2019-06-12","Bitvavo",0,0
"2019-06-12","Changelly",0,0
"2019-06-12","Indodax",0,0
"2019-06-12","Ripio",0,0
"2019-06-12","Bitfinex",0,0
"2019-06-12","Bitkub",0,0
"2019-06-12","Crypto.com",0,0
"2019-06-12","OkCoin",0,0
"2019-06-12","BKEX",0,0
"2019-06-12","Bitstamp",0,0
"2019-06-13","BTC Markets",0,0
"2019-06-13","BitPanda",0,0
"2019-06-13","Hotbit",0,0
"2019-06-13","MEXC",0,0
"2019-06-13","BingX",0,0
"2019-06-13","BitZ",0,0
"2019-06-13","UpHold",0,0
"2019-06-13","CoinSpot",0,0
"2019-06-13","Gate.io",0,0
"2019-06-13","Binance",0,0
"2019-06-13","Bitmax",0,0
"2019-06-13","Bitrue",0,0
"2019-06-13","ByBit",0,0
"2019-06-13","Kucoin",0,0
"2019-06-13","Phemex",0,0
"2019-06-13","Bitbox",0,0
"2019-06-13","Coinlist",0,0
"2019-06-13","Paribu",0,0
"2019-06-13","Vindax",0,0
"2019-06-13","Korbit",0,0
"2019-06-13","Netcoins",0,0
"2019-06-13","WhiteBIT",0,0
"2019-06-13","OKX",0,0
"2019-06-13","BTCTurk",0,0
"2019-06-13","BitGo",0,0
"2019-06-13","Bittrex",0,0
"2019-06-13","Kraken",0,0
"2019-06-13","Bitso",0,0
"2019-06-13","Coinex",0,0
"2019-06-13","ProBit",0,0
"2019-06-13","Blockchain.com",0,0
"2019-06-13","Coinbase",0,0
"2019-06-13","Koibanx",0,0
"2019-06-13","Bitvavo",0,0
"2019-06-13","Changelly",0,0
"2019-06-13","Indodax",0,0
"2019-06-13","Ripio",0,0
"2019-06-13","Bitfinex",0,0
"2019-06-13","Bitkub",0,0
"2019-06-13","Crypto.com",0,0
"2019-06-13","OkCoin",0,0
"2019-06-13","BKEX",0,0
"2019-06-13","Bitstamp",0,0
"2019-06-14","BTC Markets",0,0
"2019-06-14","BitPanda",0,0
"2019-06-14","Hotbit",0,0
"2019-06-14","MEXC",0,0
"2019-06-14","BingX",0,0
"2019-06-14","BitZ",0,0
"2019-06-14","UpHold",0,0
"2019-06-14","CoinSpot",0,0
