Address,Transaction ID,TotalCommitedALGO,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov
VYUAQ7SJGEIFC3CGR6KDNBPFDV32AELPOERZXLGYKXZWGN5CIBJZFOQ2XA,UUYVQY4TRA4SWOUAKVDQ4XCYJYFYLX4D5QPXCS473ICFZT6XJHZQ,8832298892,0,8832298892,8832298892,2024-10-14 15:59:58.209164+00:00,,,No
MMOSX2JGAAFRRPPQFZBR4BNCGJFQF4WKHI2JKB76DQZV7ZVIELRSBXR2ZQ,GUU4H7SDPYJ6BXVWPB4ANQEUWVFQ6OZDGJXUDTYUVPFVDZ6H4CZQ,180074583901,45000000000,135074583901,135074583901,2024-10-14 15:59:51.647378+00:00,,,No
QKR2OF6MIVVPCXJO2EUMQ7TL2QQADSJQDDBGZGN7GPFVHUJSJDC3UB62DE,NHMABB6OU6LOQZ5KXWZ4JXCNFRXU3WEVRLKRVPPWWF23VCE2JENQ,29499713793,0,29499713793,29499713793,2024-10-14 15:59:18.062740+00:00,,,No
AEMZR3LSASIB2CBJS3SKNIRK3MX42VQLUVOF37GIJJVFKF4QM2GT2OONCY,ZYNVHH2EPF4USLZ3U5LFCIJTCHM55TGDN5WSSXRZLHP33VQMR7IA,6255650642,100000000,6155650642,6155650642,2024-10-14 15:59:09.456458+00:00,,,No
IUXKDRGUIRXSOUKIK4E3WUQW7FRKYREOANNNZ4PTKKKQOFMBL245OXITZU,Y25GLWN44FTICC65BVUZ2XP62ME4EHBCKUYUBU5ZX54GZLR5SH3A,3506332054,3506332054,0,0,2024-10-14 15:58:21.405689+00:00,,,No
NTPZ6YM5TA36WBUV7FXFLIK7OOH3KGINWKTAGQB35XZ73XIFOAMWEAE3BE,JAS3XV2KX4SZW6DHAEME4KZH2PUQSMPCQDYK6TWMT75OJC5ISWYA,15400000000,15400000000,0,15400000000,2024-10-14 15:58:21.386736+00:00,CL2ORUNYWKO5NLQUFFAX75SNTLSPZSPC52FYBP6XHSU5KPUOY2A5ZT36B4,,No
AKBIEESDF4MNTJ5LBJRI2JQOUL2S25GDB55I6VWISBM4J7FFMSR4RKYJ6I,4PTE72TOZVRJVDOQJC5ONUAGMMK2Q4IX7E5W3FN2XSSWXNFEYCRQ,1055000000,1055000000,0,1055000000,2024-10-14 15:58:14.882011+00:00,ZCD52JBAGNEJUVV6W4JMILN5UW52ERQB4O3RFDMFRUHI45PBSSBXTOAS6I,,No
GVBOLAZJU24BAJUIOFFX3GKYN6NHQHNSCPJDQQP3VVOSXPH7PDHEKBNXGE,YTLQYYLHFPHI6UHGX72PQWX4PVJ2XFP4HALHCGRD3ILWBZS2R4VQ,998000000,998000000,0,998000000,2024-10-14 15:58:12.730219+00:00,E3ZVEJATXHORWP36YYEKYVXHFFJFJOR4NPSZUENS5327QSBAVKZXUSDDSA,,No
BZ4PU5EUM4CB57R2JRNQFBN4VPK24N6MQVCHZ2ZYSNWIMGQNBX2IESTMAE,IBRWP7BEP2R2PDXEVNBDFU7VK2WKKHQ36F7ZJRE56RF27KRHLEFQ,200000000000,200000000000,0,200000000000,2024-10-14 15:58:07.138549+00:00,LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,,No
4DJLPIJAZL3YKO3RH3Q3PO2SYRE6CPUWEKABPMXREMJ3YTYSR5VBHTNSMQ,JURB4QQ75MTN3MPLU3JVIBD3RIW6HRK2B4DM4H2VBU6X6VHTNSQQ,81513571,0,81513571,81513571,2024-10-14 15:57:55.286652+00:00,4NN3HHJDD7GG6KEVHVAHRRPP7XQOHYRU7SCEWHPKRVZXJSG2PPR2YVKXVQ,,No
CL5DRUJBB2BEP6LYSVJMZMWHCAZ5PLUIYWHXV5LOY2HYWONONOS74NXWKY,2WJOAZWIKPAX7V2C2DZNEDJEBUMHDWBEWC6SVSOIYPGHFMWZA7VA,44545873042,44545873042,0,44545873042,2024-10-14 15:57:41.410262+00:00,7DKBC7KOPEEHH7LBMAVPBXKTO2G6ZRUUPFXYIWME4G26G7EMDB2ZX5GGJI,,No
MJ3GR4IR4HSMCOSMOWU4FMUD5XXFXCQVOGTWRLG2YMNS2RKG7XQ3TILU6I,GE3ONLRD3XMROFWBTEZMCBDB2IXNM65W6GEFDK7BZZ7W26T5F2VA,502500000000,502500000000,0,502500000000,2024-10-14 15:57:22.343251+00:00,MMOSX2JGAAFRRPPQFZBR4BNCGJFQF4WKHI2JKB76DQZV7ZVIELRSBXR2ZQ,,No
3HFGZMMSUOKWF3XRPXP7GJ76NBYRVFDFLOUP7BGO7ZJQHPCP3PUCIUBHA4,GP4CA65NL6NX3J2CZXRATIPQJ5AMF573GLX665F2Q4DQETATXPQA,200000000000,200000000000,0,0,2024-10-14 15:57:16.901171+00:00,,,No
AJ45OB6JUHPSIQBX7XORAHEEKPFFELYHJGA4ORE5Z4MNWGDVVHHNGLBAEI,VGTKVHUIQ3XCI2MZYPXDVPA4OLUQSBJIPIOITAYDUVYDAVYYX2CA,12162000000,12162000000,0,12162000000,2024-10-14 15:57:02.967919+00:00,4NN3HHJDD7GG6KEVHVAHRRPP7XQOHYRU7SCEWHPKRVZXJSG2PPR2YVKXVQ,,No
SITVSTKW5NOP7I7XSGJ2JECRKPPQSW2K2QUXRJ2K5BAOPI5OSDR4YSEL64,XTI3EMYVZJNSWRKXSZMZWCRJZ7SSXWUN7KEHJ6CHRCGANKB5CCBA,10500000000,10500000000,0,10500000000,2024-10-14 15:56:48.733467+00:00,XKAG5XBRKI2VPEJYW75KGSF7DYPDAUTHOTSKDRST3IGX6UBX5XCGM4BCVU,,No
UP5723WOKUOA2KIOYIRXM6QWPSJQGSBM3SRFTJLPIOFTIO6C5ATHIS6MKA,LG2ROFHALFR3OQNFKTBKR632HCFSGVDTMFMMB6XPJK2REIDS6HEA,12954905107,12954905107,0,0,2024-10-14 15:56:48.679480+00:00,,,No
EOXKHS6RZIRDRB4AW3GO6VFNWOGSGL7RJOACJSQGAR2O7N2SIN4WZAXKCY,4UUH3JARTMUFXAYZKVOO72ZADX3VGZJ3WCW445UZ33SSDA2PLHBA,331145437746,331145437746,0,331145437746,2024-10-14 15:56:36.886913+00:00,O4HAPTZEXNTTJRXJ5J5FYGPLOHQI6LBG5PD6YLCUDGO4XIAGEITDZVXNWI,,No
LS6OL4RBFYEEF46R7QIJPLRWQKC63NS243KO5MU4N2MTNHCYSAVYVHZNJM,IW7MYNRKRXEMTJDRW734W5TNKKE3LCQ4ZFUNKQD534JUTWGUAJBQ,2290989998,2290989998,0,0,2024-10-14 15:56:31.819703+00:00,,,No
IKTTM7363FNLXIE5LXIFKYF5BIL7X7HZHX5EOXNIXTFFSRET2I2DQJN4WU,PYUYX6X6MGIRZKA7M2OAJ3RNQFHCB2UP5TRHEI5WT5GNFSDCONAQ,30000000000,30000000000,0,30000000000,2024-10-14 15:56:23.174773+00:00,QKR2OF6MIVVPCXJO2EUMQ7TL2QQADSJQDDBGZGN7GPFVHUJSJDC3UB62DE,,No
RYQUMA2MPCSDUEM62TTXSIWZZD2UL3B344TBZY642O7NQQ4REAR4HST5RQ,QJXHBCRZ4WWOFSXWRYJ77V3UVLOA5RSQWTREHLDTVISQRIKDAC3A,100000000,100000000,0,100000000,2024-10-14 15:56:21.191237+00:00,RKTWI4ENA4Z3AM5LYUSW647AMSDJLT5WDXRZS3IMOMC3B6AQA6S7SOFZDI,,No
FZCAT2Q2LTN52TYAUFXSOQJLQV2QUEKXFWOP6KNCOUXDV55EHL3X567PSE,JO4AMBEY2VLJCSE7K4IKBKYT3UTAFF6MEJB4YX2SMC7KWNCIIDTQ,8000000,8000000,0,8000000,2024-10-14 15:56:04.498607+00:00,MVUXEMC3FP62CQGUUIRVN35V3B5CKADW4Q3JKD5DGJ4MH6RJJ72OD2MVGI,,No
PNUCYC6ZPQUAIZYXEEEBWPGZKXBMCKD6CZ6KHSZNIJLOX7DTYSGEHNHT7I,XRGY4R2JNHXPNCA3T6LVJYZJVBBSBBTWD4MD65NF5LZU2IZEKAKA,9049017708,0,9049017708,9049017708,2024-10-14 15:55:55.075626+00:00,LAH4FD6RN6ACVHHTK5FXGJGNQJEMHY3FPG37YTCQGYJNFZLU6GCB3TVAJQ,,No
G3KIGJED2OTZLQR44I3EPXNM6GGY4MZRPJX6WA3OJRQODBRWBQZ5NQHWCA,GKMK7A6WYMRWG7J5RXBZLUG3RSD6ONBPWUKQNCL7OBKTDNZJSEKQ,142900277542,142900277542,0,142900277542,2024-10-14 15:55:21.451954+00:00,BP2KPO55UJ5R7VXG472OOKDVMNMHYHGQOPZ6PK74PRTZBC24G4SNKSBPHY,,No
KLNHTLY422QBYK4ZN4RWID2OMGR6AANYCIOCOMSTPRVVQFXTVZFK4JGTYE,54RNIQ3X2HOUF7QMPDRVSHWJ2SCNX4C7YHRWRQ42J324UBVTARQA,144000000000,144000000000,0,144000000000,2024-10-14 15:55:19.092422+00:00,TI7PD646SBEKGBYEQKSIG3GZNRYFVTT4ZX5U76KPYWFTXNEHRNT53AAHIU,,No
BZEK42L2J6XZLKAVSMKSZMLFXCRBJOOGTL7LU4OAOXIFFYNI3Z75AHDOVM,ZPJ4SLTNVOLVYJKXVVG55KX5KWWRBFV46PQUFXYTX7M7ZIMNK5BA,7419561694,7419561694,0,0,2024-10-14 15:54:44.895109+00:00,,,No
PTEJ6OOFIAJNQANWGMHFBAFKTLQEI7YTSJI7PQUW6EFMTW3M5UC3FL3N3E,JOIH3UB6UH4XBYIJSWPFJGLDXSVE6Q35NQB52F4Z35LIIDIBGJJA,2650000000,2650000000,0,2650000000,2024-10-14 15:54:37.058447+00:00,67GUH7WOYVMNKO2VZKHRIYSNZKTMERIZOJSAIBL4JZLCZCKCC2ITK5A5K4,,No
SV4PBC3ZZBXABDFJMYJ2JZG6WNO737X4BMFCTZ2TPV2PQLJKLNS2AD6UHU,HWSXTD2Z2V2DVNXDD32HFKYVKZUITVA4MXQDKXSOUMAWJDI6VNEQ,250900526895,250900526895,0,0,2024-10-14 15:54:37.026225+00:00,,,No
GM6P77RSM6QMBZ7IITM2D7UTXEU7BCIOH3HASZ65IJ6RQ2SHR6GOV4QFOA,HMZHEC3HHPMOMKBSM7ATUGVIMWEU25555RQXL3OBOL7ZOEBDR4JA,30000000,30000000,0,30000000,2024-10-14 15:54:33.727353+00:00,GVPYFCA3FYBX3WQDKLSRRH2DHTOXLXVZMZZWUVA4NIXZEPSZL3TKOWR76A,,No
G2LFDJYJIQKWUBQKP7T3BGJS5ISDQLKS7ILNHOMEJV3L7VL436JNOK5P4A,QAQNQFGRUQNEXCTBZD6C7S24WTGS45D4I4CQMIF6XZRUDO6H77FQ,39952713957,0,39952713957,39952713957,2024-10-14 15:53:57.610165+00:00,3L3NSBVLPRMPQESHSPGCTXFHY653IXF2PSFIUJAVTNVUY6Z52YDFGWFD7M,,No
FJLEV6VRFG5FBHCGEXJT3IQCJZ34AGOYPQ64A625NKXFFBDKBH2VGVNS6E,IXHQ3WSZJOIFCIZQCJ2MRV7HQKFXVXHTUNDJK2ZZ4DAJJIZSNNKA,115774252349,40000000000,75774252349,75774252349,2024-10-14 15:53:20.179573+00:00,,,No
UK5XKVG7BRVRWXI4TNFBNRCU3CP5CXGKSY4L4FB3BAFIDMBM2Q5Y6R5FRA,EUK6VHAF4TH2KYJD6QSWM4BZZNGMIVWBEAJN6T5GWWR752C2VHLA,257792712,0,257792712,257792712,2024-10-14 15:53:03.273339+00:00,X4BW3S3SH2IU734GXYKSJEJQN7IBQV3T2DJENDXDJ4PAMN52TWQBKU3OIA,,No
Q22S6S45Z4Z3VR4RG5UUXVTNPD4KSXYWLGF2S6EPAKTLYN6CX2LAIF4ZJ4,ZFQNB5CGOQ474FNIPXZRSKDYWATM4RWMPNTCVKKRW4CBNZLX5ACA,1547852714,0,1547852714,1547852714,2024-10-14 15:52:46.136248+00:00,X4BW3S3SH2IU734GXYKSJEJQN7IBQV3T2DJENDXDJ4PAMN52TWQBKU3OIA,,No
HBLAALEIRJLFKHVT2PXZOQNTWQHP33P5C46MVYZMN7AM5F7CPK6HPR6Y3A,4TEF5C5LFMSY5OAH7HBIM63DO53NNEWRXOW7FGLUFRLPFNTBGSRQ,1153860255,0,1153860255,1153860255,2024-10-14 15:52:26.564709+00:00,X4BW3S3SH2IU734GXYKSJEJQN7IBQV3T2DJENDXDJ4PAMN52TWQBKU3OIA,,No
67YMO4M4PQX32UMAVVBSITS4GXVJYHQBNWD3QFJRY6G7RDN4QTORFFXA6A,PEHRUSR4TUYT7M53BP45V7H6ARENGXPAKXM32WWLETA4YUMZXVHA,13722067,13722067,0,0,2024-10-14 15:52:21.626449+00:00,,,No
PXDP4UVCJTK6PAMSWZZYJS3E4PT7TJBK3PRSQRSNPUWPSHHMXTG4WJJBOY,QHYJ7AIZMEIO2BJ3NSVAYRCA2VIFUV5OQC2UBSSPJHTUV35MM2UQ,11797207841,0,11797207841,11797207841,2024-10-14 15:52:13.011946+00:00,,,No
