Address,Transaction ID,Total Committed Amount in Algo,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov
S7JZLWMAIICT35VJCT5FLAHA6NHNXLMSQJIFNMKDESK2IK6QYRR7ZNWOBU,NPCZT3C6MJX45EJVW2LFD44BYO7EEFG2HCULMD6DWHGQ5PREKXJQ,3466513795,0,3466513795,3466513795,2025-01-14 15:59:55.960177+00:00,,,No
LICZGM5LLXH5CXUCFUJJYTHN2KXO63ZQJMQQPDOVTLRG6TKPZLLWZHRE74,BZBZUF3437G64PUABSWQE5WBLSGVJ7GURMECDJ243IRJMRUGRI4A,50750000000,50750000000,0,50750000000,2025-01-14 15:59:05.906815+00:00,P2UMKQJSQSXVAFQ2TVSUA7WPVETWRNLXG4ZKTH75HN4VEHRJSF4TFOXDME,,No
5LBR32HN6CA2SADEETEOYK7XDRPMAKBPUHTV5REFXX4ICNPAMJ5TMJ5Y5M,36AIKDSB56ISM4ZAQJGLLVWRUH4R3EEUDD76CSN2FOISZY4EPH4A,100000000000,100000000000,0,100000000000,2025-01-14 15:58:57.838073+00:00,YAWPP4H63LCIGP23JDSLNBILP2DJ6MPLELY76SY57EN465J5RMNA2JMMQ4,,No
K3HOGJYJXHO2KQ3D6LKBILDX7SCHPRD532BFMELO6I6KISAXBGQ36YOIEU,34SV5CAFWBKVBXOSLPZ6SBJYZY3V7OFXZV2D656KY4VFQRE3MERQ,49998000000,49998000000,0,49998000000,2025-01-14 15:58:46.722141+00:00,LFSMYOP77AKWAUIV6DGWCUZQKLWOCHT7D6B3KKVMNMMUFUR2AJAJLB2IQM,,No
TI7VKESZJLM66XN5RAUHWW2GPBDC3FS4Y5VK4TYK5K27ZACGLJQTEPLCVE,JKDEI62JCVFBWVRC3T7LZ4SW5NRETCVZHJD2CQNPNSTKLFKXGNDA,27500000000,27500000000,0,0,2025-01-14 15:58:41.266827+00:00,,,No
55CTOTQIPLRF4FYY7Q2QGYKJAF6B5NVJQY3UU7D7RDAF3OU26PFAPPXWDM,6OCFNMQHUVHP7KHKF47H2UTBJMWXXVA4QSV3DA53EUPUTXFXXTJA,14670000000,14670000000,0,14670000000,2025-01-14 15:58:37.981359+00:00,YUHQIHBOB5A3IAELBLPHXIGRNPFGEYM3GWHEHQQY76XBDHH6BSYMZVEWIU,,No
HEM2TZSOXOX5RHQWRSO6MOPIZ23ORHZLWMZTSONR4Q4KJBH5MS6M5UDEHM,F255ZUJCHSLSMBOUVBMPHCDSR3PV3YOO5A2G4KLOOV7UU5S6XR5A,32713321835,32713321835,0,0,2025-01-14 15:58:35.876262+00:00,,,No
QO6MXPGXUAZGHJS522BJIQLWHGTXPGXGUOOGK22UCH6CXEJFXYPGZZ2MNI,GYFKHIJJXNF7RXTHANBYZOQ7UJTMC52UE2MQTWXH2NWT3GF37AAA,12960197919,11000000000,1960197919,1960197919,2025-01-14 15:58:30.721815+00:00,,,No
L44VBFKFHMYDLKE4RN3LMH63HSJD4BCRSCTWDHQXBIXOJ2MIMZ37KLMTX4,XEIR3VCBQ2CCLJBD2QAHCBZVZBJVQYIZOJC2RMKVUGJJ436T2VRQ,112000000000,112000000000,0,0,2025-01-14 15:58:05.809036+00:00,,,No
QI2536ZH364J5BYGCWCKA4UMVG2PQSGI55MHTNM6RXYDDX4ZIOGTDTHJ7Y,NUAXPHLDWGJP4GXPNKEUENGFW4DVQUGRPCF7OFAKA2OXZWR75OWQ,400000000000,400000000000,0,400000000000,2025-01-14 15:57:48.542423+00:00,DZGBVB5FXPTWAYPH5HLNRDFMWAKQZJ6KYWV2DIN2ZT2VSAUXADP272DMLM,,No
URTLWPVX4QTALYZERV3F6ZLHKHAXCA5TL2RJV4UP2RIDVGBOUY4AWSSZ5I,4LWXRXIRZ74H6RUDUQRSK3YOMMRZBCCVPC4Z47NV5DS3UFRF2I6Q,5600000000000,5600000000000,0,5600000000000,2025-01-14 15:57:37.606859+00:00,62AWBG3VJZI3SD2WUYD36YM7H5VXN5TVZPQZNXG3D7AP4T7NWF7QX2FFKU,,No
TIGER4VK5MHK2TIE2DLV5LQSJLZQROKY4H5VC3HXNTMDOPPMSPKKS4TK44,7DV6IYYIKO32SAVBU6EHSXQWMRCALE3FEW4RG7UFMLRZD3ELIIKQ,1000000,1000000,0,0,2025-01-14 15:57:32.346670+00:00,,,No
FUMFDCH4EUXFMXY4GYJY6MVM7KKZ5ECK5YOXNJRGHQMLHVGYKC3LZBBFSE,CQAJTQ2HM35FWQNFIY4IVFOV7S6ZGRL2ONCDTHSWIBZIKLWP3GRQ,725410000000,725410000000,0,0,2025-01-14 15:57:30.366137+00:00,,,No
44ZHWUESESMZU3EEB3OAPHPQ24AUSYKMCW3NEJJ76G54IH4J3KMGOUGQKE,D5RXAWE6EAERO6ZCUEFHHBZAPJV7QUFWN5NSKLT7L7VVJCFSB6SA,78070926296,78070926296,0,78070926296,2025-01-14 15:57:18.297959+00:00,FUTRPTIVMK7ZWWMJYK7CS4PHGCUPCTSAHLWY77FXAKZU7RY2IZB2GU426E,,No
HRGJSGUZGL4Q27FME7NEFASPBX3R3F5NVEKFCH3W3J4XWAIG22EV6DGEPE,DD43LMHJZG27W375RU3FIHOO5GLCBE456UPWITCB7GNKRWAHLYFQ,40504000000,40504000000,0,40504000000,2025-01-14 15:57:12.764120+00:00,6KZQQDLKKYSHMVVSEIGAA3JKTABWA23IAHHF6WTQAUJBG2ZPTQRIXZVLK4,,No
JJ77X55ZARM3FASC355ETOCMHRXE5XRBNVMUMF3KZWPMOXF5B6D4FMML6U,FJ2QPM32WSHALG2IMURB5OND4C5DATKB3H7VGJGGJ2Z2NOEH5SAQ,100000000,100000000,0,0,2025-01-14 15:57:10.932113+00:00,,,No
YAWPP4H63LCIGP23JDSLNBILP2DJ6MPLELY76SY57EN465J5RMNA2JMMQ4,ORXDD6N5W2Z3GEHALGLWNANQ3LXLQI7POCCPQL2M2KFNADZQTYZQ,281210710530,0,281210710530,281210710530,2025-01-14 15:56:53.585044+00:00,,,No
LKSBYRGJKASYTPWS6QBQKB5G65AJZIKJR3R2RSLNA36DHHIRPNWD5YFMKA,TNUXYOLBPWODA4Y6BWQQUVUQZ4BDWZMAN43X2JDH66HFIZAWU52A,675271931966,675271931966,0,675271931966,2025-01-14 15:56:53.516318+00:00,KQ4G7SLB7LCSKCOLEAAB2KH6JLIESGAISNM4OIKFSKL3KFOMITVOHI5PNQ,,No
PF6BBTJRTUPUJMIRZIKGSPG3UQMBTDWV5F7KE6JBWKPNEWXFHBMX3EK6JI,FHKXRQ374XZ4NQXFQTXO33WIRPLGQRYRI5UQOR74ZESJVVTZSYUQ,100100000000,100100000000,0,100100000000,2025-01-14 15:56:53.430518+00:00,SKRP3S2RWCNBSLJAMJ743PCKQGFKKPBAQAL7J6YZB67GORU6JPX2IFZ3WQ,,No
UBTGDHKA5WPH7RUJDM3FKDAB6TYQAOCTFFKESLWOTXTYP57EUFBMFWLQIA,47FT4FHMLB6DFSZQM6BHGJNG5KAWX7E6IUGYP2537THALGWGZ2MQ,105166220784,105166220784,0,105166220784,2025-01-14 15:56:31.424914+00:00,NZEK6WZES7B77BRIBSOS4WX6ALJESNMAWNKXJ5D2QALB43J2FOGZH4VC5Y,,No
PXDP4UVCJTK6PAMSWZZYJS3E4PT7TJBK3PRSQRSNPUWPSHHMXTG4WJJBOY,6RBCU5NNKLKJJBSGQDG3NFAVVUFBVQCR6MA6GCPK7T2PIFNUMODQ,23770613710,0,23770613710,23770613710,2025-01-14 15:56:04.922124+00:00,,,No
WIOQH4IZ5KAEUUIUWTA3NTSS3CNF3EASR6KDD4HJFZQC6E2GD4JDJGUP3Q,CAPVHJ3CLYVRJCWEMR46BOCM45DTVWO66E255H4KRVWIM5XOOAQQ,2569778913,2569778913,0,0,2025-01-14 15:55:56.457246+00:00,,,No
6LY5HUMZECWMO4SXG5IQJUPNNWFYOYYWRUNATNTJGBPIK7Z2YZJW7RNUJY,ZFLEVTF6SARCQNZELKVIASPWFND42RPTTCERNYS4SCHIUXJWFQUQ,100000000000,100000000000,0,100000000000,2025-01-14 15:55:26.048154+00:00,647P242C3NZGROFQ5IIM2JJDOAV3HOAH7443RV36BSCSKTJAIN4CAO4WPE,,No
PDYIKGNKULB2ZW6EN4MWIDJDLDQOC5QO4ESARLCGAMCQUXYMBWL6Z5VFPM,2JSLGEMFSGWGBR6U5AKZEN6GJBROHFSDRBWZSNZKCONSZBE6U5HQ,540000000,540000000,0,540000000,2025-01-14 15:55:09.434147+00:00,NFTIYGUBAGESW75VZUKAYRW7VLAIOODBAYT3GS5J7UGA6RPXIQGPP2IVJM,,No
SQMJW766NV7MEAJORHRIWWFEKCW6CDXSB5WZDIFXJFH2FH64QHEGZ2D3C4,G3NHDJ4CPIEZWYWJ3V4GP6PJX4VVWTRHDMR7K5AQJVVBQMCLTCQA,69128332,0,69128332,69128332,2025-01-14 15:55:05.957818+00:00,,,No
KDOGHKJ747KYHQ54BZGGNF3AJTTTDZYJRMMJD2XJE5DGXPGGPPXUXCDMGU,RIPFQMH4FPUCWMYKSRY3S6XMI25UOA3PXK5PVMG4TTUF4AFLJNPA,15000000000,15000000000,0,15000000000,2025-01-14 15:54:27.530798+00:00,MSCQEC2IEVFQQ3Q7REAKH33625SJIINMPUIRC7GG4ALLZMZQX3VKUPOAQE,,No
4DS7ZZ7ALNJ7ZGSOAQV2JIWSVAMONNNSMAPE5LUQOJ2AAXLQSPMIHIABCM,73JHN77E4WKIWXBH6S67LUME6ASYYDMM332DHK5ZHFB4QNK6IVQA,200000000000,200000000000,0,200000000000,2025-01-14 15:54:17.078050+00:00,HIBQKC6BT64QL7S2OFMQI6ZITKU2OCP6Y754HGESU36A6HE5QZDWXGYWVU,,No
E3ONTIVC2MCHXIECID57IXCYP2IGEPDP65BGHPFNOFRH7SQENOFEW52VPQ,HWHKHV3RHZTPT4NROW6WBYQ2BO2A7XSGTMNZYG3I3WZXCQK5IUCQ,21969271,0,21969271,21969271,2025-01-14 15:53:53.897198+00:00,,,No
JAJQYXQWJZCNXCJ4T2WYHGUE2WAM4EFGPD2HI6D5IPLBDRFAPVG4YBNAEU,F42YAIC3YOHH5TQIIVFUQCRTOX6BQAM7N24IUAS2XA2EO2655WYQ,111600000000,111600000000,0,111600000000,2025-01-14 15:53:53.871580+00:00,A7AFKM2OM5MDUOSUSZII7VSBBA7NPEYJRGGARZXH2OYGJ4HSRSM2SCZRYE,,No
