addr,app_id,label,is_cex,entity_name,tags
PUTIC5LJFLCQTZWLG52KS5BX2QHWCKJB7JE5544T5NVB46OCDMSOMCAKVQ,,AEX,1,AEX,CEX
GGUMZYT7GHGTOUOMBXVY3AY754UKOKABBD4732COI7IVXMOCR4P4X23YYA,,Ascendex (Bitmax),1,Bitmax,CEX
YHNEBTGKMXNKHCIZHFKOKD4QLYSVWA2BO7CXOLHKKCYDWDAP7KUGV2HEQM,,Ascendex (Bitmax),1,Bitmax,CEX
32ZOP2VAG24WADFNO5KYXRNFMPEJW2AQRET57UPCLDYHJFVGZJBXA6LBMM,,Ascendex (Bitmax),1,Bitmax,CEX
3TT3NBAFMXODXJ7CRN2PISXARITZIJPSWTCAXJZQXJJ7RCX3JFEJPUEF6A,,Ascendex (Bitmax),1,Bitmax,CEX
LH3S57LNFJQNQAJTSL6N7PYCKZPH2VAUXWDWHJBQ223EETQMQXVBIZOEKM,,Bilaxy,1,Bilaxy,CEX
HCUTA2M27FKUKPOVI2F7VSCSJI3MYQC3N6F6YO2SK3RM6W4GQPQ3AHHKEU,,Bilaxy,1,Bilaxy,CEX
HEOQ3S6V47RFLU2RZ5GTQYJBEFRL54UWZ77PNUBNTDVSXIPYOPE2XZJSLE,,Binance 2,1,Binance,CEX; Verified
MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI,,Binance 4,1,Binance,CEX; Verified
QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,,Binance 5,1,Binance,CEX; Verified
YNH3E6RUOK7HAXBB4ZYBVASZEP2B7ZUN7XBMYHSFB2ZHWFYOE4OYJTZSTQ,,Binance 6,1,Binance,CEX; Verified
3FRCCRN37PJKJLDYIJZFA2L57VJHLYY22KXHJFE77H254TFFQFGVQVQMTQ,,BingX,1,BingX,CEX
RRPHQTWHANKSKT3LMJHEJBRVLQ43PIRYYI3TON6O6WFOR5O6C65C3N43UQ,,BingX,1,BingX,CEX
JUL2CBXW3DUN2IK4ZODKIV3T3JFJGTU52GYIC2PDHVPXKUHENMH4VXE7CM,,Bitbox,1,Bitbox,CEX
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFDNYAA47OC5IS62I,,Bitfinex 1,1,Bitfinex,CEX; Verified
37VPAD3CK7CDHRE4U3J75IE4HLFN5ZWVKJ52YFNBX753NNDN6PUP2N7YKI,,BitGo,1,BitGo,CEX
CT7HPFSYMKHPJES4GEEA5VE6ML7PF4JUOKNSJNDK7MXYNYLMMTFJ7XDETY,,Bitkub,1,Bitkub,CEX
FFRGW3UJ3SC5MQIVBJ3TLO2KAAJBFPFKERTINN2XALIYPTSLYISB3D2R3U,,BitPanda,1,BitPanda,CEX
32ITT53SHUL5UFMS6AGYGWXX2YIDD5UAV7ZRWVOTJPDFSVDCFH5XTFGTOQ,,BitPanda,1,BitPanda,CEX
QF3CAWM6RRCTSZCGD4D6V42NGW6ECH6O6VRGI3BEL2TUPHJYJAJ3UXLCTQ,,BitPanda,1,BitPanda,CEX
LRDSA35VTQL3ORSNBCM7TPGMYZKWK3OTRWSKD6NSXOKAOIPHQXJFEKNS2Q,,BitPanda,1,BitPanda,CEX
JQPL5KM77WZWXSBROCHG4OSI3MODK4ERAVSEV3DEUYGWFFK7EKYCLIT6AU,,BitPin,1,BitPin,CEX
4WXV2OVD5JMSD557MN567JI275UNXQJQIJB4X4HMBHI6LYR5I66XFW3BDA,,Bitrue,1,Bitrue,CEX
HK35AIVEVALFNHVF7ZDWOW4QZX5BWD7GO4RV7VMXYFXULAIYBTCS5NZ3G4,,Bitso,1,Bitso,CEX
4VS32XGKJA3YGH4CZHL6YLC5LWJJSDEHDYFW4WNLKDIYZ63LTCJ5JVJAFQ,,Bitso,1,Bitso,CEX
CSFGMEOVR75FN5CYZMM6OPWIFIWW3IOT4WM4I3J7ISC3VYENVUZCLBJ6Z4,,Bitso,1,Bitso,CEX
6ITEMKNE36NXKWWDL3WBYDHK3T77UY3QDCMBYBC5QMGVDFWEP626JX6CXY,,Bitstamp,1,Bitstamp,CEX
FAMXONMLEMDD57HSUITLDPA7OFC5H3BSIN6UBWYOL2LOLRIHCGTN2CAH3Y,,Bittrex,1,Bittrex,CEX
OYUTVRMJRAVXKYXS542BNWYRQE2IZJJKPROL6JHLBKEAXYURKQ5KARXH6U,,Bitvavo,1,Bitvavo,CEX
ASDNGCOKPWDF3IFVNGVYTRC4EBU4RGFBIX4PVFMBVUM3T4WIKID5GABY3Y,,Bitvavo,1,Bitvavo,CEX
HBR3NL2RR3BOKPRDNQSQO2GYOUXUM2ZHUUDDZOFYU2RT3DHLPLH2BWEA5Y,,Bitvavo,1,Bitvavo,CEX
UKZM663BYLUTDYHF725KCWEOQM4YZ2BN3LCTE5LT4W3TC2H6DAUUMNZNJA,,Bitvavo Governance Rewards,1,Bitvavo,CEX
