CEX,Balance,24h%,7d%,30d%,90d%
Total,2893517116.073318,0.13617647273210484,0.007122331403123547,0.41517271771780917,1.8682867396954863
Coinbase,1000113297.1822592,-0.09650520027602114,-0.36590946126123947,-0.6008231162835358,-0.13761453058743212
UpHold,714100309.756406,0.005171214757702131,0.02744023233791661,1.8982378522770955,4.134853985975498
Binance,563638391.2123698,0.09282465865865988,0.30959117659401214,-0.4108806168925015,1.8603720295690325
BitPanda,119689152.385723,-0.036320565209715966,0.25737047542139163,2.0179524696372657,11.797104748378233
Bitvavo,115060673.63796104,-0.6685933410544972,-2.0537675463583205,-2.2192319594164367,-13.026226168265625
ByBit,93275443.90243793,1.1982611263853062,2.6019200037338277,10.284598681437478,25.494323421707897
Crypto.com,90022307.39115189,-0.043033637382520994,0.06094441188671535,-0.6065757790201565,-0.05833922782625241
OKX,47360219.65560103,0.6618138194862078,3.66378171682925,5.310255684296347,1.167392336624444
CoinSpot,44574869.51638001,-0.05449570338284605,-0.013885951188999518,0.819384715666194,0.2563016224402184
BTCTurk,18433688.283084,0.0,0.0,0.0008474397983347431,4.0884138609432705
BTC Markets,15051157.526150994,0.00023746742943041492,-0.14231377044293167,0.2677958775170927,2.2789280303364445
Gate.io,12828227.97362797,-0.27551298179611095,0.09501513517435613,-9.250998041738285,-27.43054892378696
Kraken,11660201.17773313,58.32747452650625,8.304029391244661,34.148692282712524,285.2408075601794
Paribu,10297616.202225016,-0.2896229543875191,1.5377862547580565,-2.3442201668121303,1.4441906470824912
Bitfinex,6864388.514166008,1.9462325497062343,2.3105525982004593,0.4587032379946084,-9.36506251982304
Bitso,5902627.313118,0.6642152813935395,3.7762273744441313,4.610848788128587,3.897281579325103
Kucoin,5710650.575926992,-2.0252084644988733,-7.9207438075777485,141.15487309794264,117.80624541875642
Korbit,3498725.6876910035,-0.002858130352797452,2.275911702379503,5.037145465782723,2.9481531642401917
Coinex,3476402.821778003,0.18475871033953184,0.5796900191614821,11.024513371871553,23.547765832994607
MEXC,2303657.507834999,4.042103731718451,13.777934585710677,1.6497710126475569,-6.104826025319761
Netcoins,1836168.0721529992,-0.2413029291322384,-0.09536588564533922,3.986593079737905,10.419819145424626
Phemex,1626258.9358190028,-3.1800492447795565,1.2808361885427428,-0.9904712176666725,6.502315662994825
Bitstamp,1194189.265183012,-27.20645385536478,-23.0944729683585,-49.4165652394966,-33.745869294255144
Bitrue,980992.9680729996,-2.295918562255472,0.1237899636538258,1.4147090945428609,-48.997370333899696
OkCoin,873003.1619010017,0.0,0.0,-1.500327659328366,-4.9658168071919055
Hotbit,559039.5524060002,-2.8050519919497012,-12.283750048402055,4.006724232252896,37.986174206898475
WhiteBIT,473578.1431469991,0.21137174629940456,1.3462313691520709,1.6165764514795604,133.8168474697352
Changelly,431661.4014309991,0.04971953789688217,-63.838867076464304,-57.91351221030001,273.68567959988826
Coinlist,421520.8404199927,-5.079177537946816,-12.211499416059345,-40.90189301879268,-60.37898873374051
Indodax,405845.2321230001,0.0,0.0,-90.2373892877284,-89.42719942342138
Bitkub,344285.5468269994,-0.1448595170804082,6.0267523433191625,67.07289277418026,-0.7993440286256556
Bittrex,202116.76615399952,0.0,0.0,0.002473934644133443,-0.10223440827732685
Bitmax,174175.57707100094,-0.6418337070561285,-1.9517664153328131,-27.391724699117702,7550.235292717657
BingX,36971.92079399824,-23.798844841312697,-75.65854134400129,-98.97639112379764,-98.72149528523592
BKEX,35490.044553000014,0.0,0.0,0.0,0.0
ProBit,31171.2294,0.0,-0.871864161099185,-13.025557544801933,-6.835361292252292
Blockchain.com,17995.73775699989,57.979112823619246,-10.663059158507899,-56.08940579650476,-34.0709511598421
Ripio,5456.054595999942,-3.189835223207326,-32.414168751567566,-68.37805432383121,-50.91221288646651
Bitbox,4645.409785000049,0.0,0.0,0.0,0.0
Vindax,538.5660990000003,0.0,0.0,-41.875173602323635,-41.875173602323635
Koibanx,3.1260000000000048,0.0,0.0,0.0,0.0
BitGo,0.1979999989271164,0.0,0.0,0.0,0.0
BitZ,0.1000000000803993,0.0,0.0,0.0,0.0
