td,entity_name,mAlgoBalance,mAgloBalanceDelta
2019-06-18,Bitmax,1.0,1.0
2019-06-19,Bitmax,0.383906,-0.616094
2019-06-19,OKX,0.572906,0.189
2019-06-20,Bitmax,1580842.462968,1580841.890062
2019-06-21,Bitbox,1586295.54961,5453.086642
2019-06-21,Bitfinex,2095905.461165,509609.911555
2019-06-21,Bitmax,2286525.794261,190620.333096
2019-06-21,Coinex,2294054.007762,7528.213501
2019-06-21,Gate.io,2294154.906762,100.899
2019-06-21,Hotbit,2295533.353497,1378.446735
2019-06-21,OKX,3308282.588137,1012749.23464
2019-06-22,Bitbox,3307861.31554,-421.272597
2019-06-22,Bitfinex,3327740.84365,19879.52811
2019-06-22,Bitmax,3074220.365111,-253520.478539
2019-06-22,Coinex,3080163.220094,5942.854983
2019-06-22,Gate.io,3167716.914811,87553.694717
2019-06-22,Hotbit,3167182.286223,-534.628588
2019-06-22,OKX,3734626.212511,567443.926288
2019-06-23,Bitbox,3734605.585793,-20.626718
2019-06-23,Bitfinex,3741185.201292,6579.615499
2019-06-23,Bitmax,3390064.449001,-351120.752291
2019-06-23,Coinex,3393400.275274,3335.826273
2019-06-23,Gate.io,3990076.191802,596675.916528
2019-06-23,Hotbit,4007592.611083,17516.419281
2019-06-23,OKX,4087861.724536,80269.113453
2019-06-24,Bitbox,4098256.85787,10395.133334
2019-06-24,Bitfinex,4117150.587828,18893.729958
2019-06-24,Bitmax,3596032.839422,-521117.748406
2019-06-24,Coinex,3600670.489932,4637.65051
2019-06-24,Gate.io,4151806.671941,551136.182009
2019-06-24,Hotbit,4162824.331283,11017.659342
2019-06-24,OKX,4352006.851086,189182.519803
2019-06-25,BitZ,4354683.31793,2676.466844
2019-06-25,Bitbox,4357902.816852,3219.498922
2019-06-25,Bitfinex,4362202.133425,4299.316573
2019-06-25,Bitmax,4050879.780342,-311322.353083
2019-06-25,Coinex,4053404.716085,2524.935743
2019-06-25,Gate.io,4382492.252611,329087.536526
2019-06-25,Hotbit,4373207.649156,-9284.603455
2019-06-25,OKX,4570201.192123,196993.542967
2019-06-26,Bitbox,4570773.996477,572.804354
2019-06-26,Bitfinex,4593835.346793,23061.350316
2019-06-26,Bitmax,4633954.473142,40119.126349
2019-06-26,Coinex,4633882.146693,-72.326449
2019-06-26,Gate.io,4387119.730066,-246762.416627
2019-06-26,Hotbit,4394843.143334,7723.413268
2019-06-26,OKX,4511021.505993,116178.362659
2019-06-27,Bitbox,4510993.523977,-27.982016
2019-06-27,Bitfinex,4513787.83654,2794.312563
2019-06-27,Bitmax,4358442.397582,-155345.438958
2019-06-27,Coinex,4358508.168051,65.770469
2019-06-27,Gate.io,4370940.791448,12432.623397
2019-06-27,Hotbit,4369712.361391,-1228.430057
2019-06-27,OKX,4415904.572743,46192.211352
