,address,amount_dec,circulating,label
0,2UEQTE5QDNXPI7M3TU44G6SYKLFWLPQO7EBZM7K7MHMQQMFI4QJPLHQFHM,"18,446,404,812,374.50",False,Centre
1,HC2EJL3A3GL7ZKBNK32KTOPGYWJDWMCRM3RNZTYVAN5YDCSK6PZDHF3OQM,"49,500.00",True,Algorand Inc: 127
2,HMHGBXMXEDLACNODMQIUJMYB3EICPULXX6UTAR76SM4DBLA63SPKXD66CM,"12,679.72",True,
3,AYZJCO6BXVYVJNP2JHKUL7UO7OQ66XXWPI3TS4RTIZ7FHMUFHY7RXFKUCQ,"100,000.00",True,
4,HLXSOF26VOBZNGCCLXM6V7RVBUNUSWVMENXNPCEPJ6GYAHA3IWSZJNSBPU,"23,800.30",True,
5,PK3HB7HYUY64R5QRK5GM3OGU6PNPQC2XTDB4YZW3SQV72DM35VSOSTASXE,"12,268.15",True,
6,RC2HTFNLHP3HTGLC3H3MCPKFB56XONEIDLW7OE5AY2PWPDPVC7CVFPNQYU,"12,974.54",True,
7,NSQJFJZZHS73EQXENQS4TIMOUEA4YN2P6CF6TZB2DHLPWGXV3ZJF5VPBXY,"105,911.82",True,
8,3PAEO4WMC3JOQO4IGARFUHHYVAHKWU4W4KLOVNUSNPHH453ZG7OW6VSH6M,"40,506.10",True,
9,ZEJPIFQF5MSDOB3YA6OUG4S26FFX64SCTHKDMYCCB26JGG7DC4IPBWQSLQ,"57,626.21",True,
10,YEA5FH27HDXE4BKXRSXFRWU44KSQO5OAGKSS2RX27W3OTS3D3FIITODX5M,"363,533.84",True,
11,VOXUN6JFMHUO7QEZP2SWDMH7G57U7WY7P5M7NCDOH27ESP6B23WISOWBY4,"25,010.00",True,
12,W6DED57KKXPXWPCMINLIF52USWXZF5AM4YTNUT5ZQH7G7XQCN55IKV2KLQ,"18,269.40",True,
13,YMVF2B2PPRTEWYE4BL4XKSIDLEC3MYFNMQPIOOEWFYMHLIFGSXVC2YZWLU,"15,050.22",True,
14,ICJRBRY4IG2P5SMEJV3DMH2HOW75MR43FAIZ6FDPSDNWYS2V2BUO7WKKNI,"10,042.00",True,
15,Q4ISAN22DKCK5MIYNBKQEJF6QWVK3CIESHEH6AZAX5KAG5K6HLUD5SHKZU,"16,843.81",True,
16,EAQOJYMQ4PFJNVSRGV75QAFMPBN4PYW6C5G6UL2PJTELZSAO7BYAYDWZKM,"13,423.00",True,
17,T3NZ6LMWOATSKV5QPBEAMOUC5XHPC2S4VPNGHC6KRBBP7YIVR3XEMKRWVA,"99,035.23",True,
18,62VVLZRT2JMWAPIGLXNGFMTETULOL7CLIVW662NAYULJHBUL2RUXFYGLZA,"10,311.54",True,
19,PYDSOBVLEFD2XBK3AYMCHTTTEIFR2OYDL2GEYLL6KE7LMRWPPPCQ3HPRNM,"10,368.18",True,
20,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,"20,556.32",True,PACT
21,EMLFBBTJMSBC3YBR6DWKRACODGXTACBWQBTHUTBN6QGY5XW7WQMQDVCAQ4,"18,844.40",True,
22,B4ZXMKNZV3OLPRKY6NSTVRSSJOAC7C2G7XEB6N23PF5PKBO65LVFZOQKU4,"66,060.00",True,
23,ELKEH4T4YVDZ3K7BWQMAF65H55APZZ35E5WB4NGKHXU5DBGPFZHANFIKBQ,"16,583.30",True,
24,R6VOGXS6VVEDCMKK7WULUS6GFIIRLD6T4P3QU3PKOIOJEKJX64SOW73WPI,"28,287.80",True,
25,DOC6NGERSBIG7T4VUEA3PW67YQIIR2H4YVERVY63UG7O7GRDC3LPTLZJZ4,"15,367.83",True,
26,OGRVZ5KZCNZB4LRCOBLGEYXKLDVWI4C3PVMV6KTV4DOVW5ROK6Q5IQ3EZU,"34,250.59",True,MessinaOne
27,NSETXIJIDPWSDVAMWXUFGEXML6IEUOVZ3XFLCYGRVHXO5JA7KALA2IUQC4,"21,618.57",True,
28,MW32EDG33VZXMXZFGXRIMTRYVXZCIC5IZQOV6YE5MVFJ6WDCVCMV5CIW4I,"34,732.00",True,
29,FCBIFKWYNNNPN5RIDXTTEOGGHCRZF7GUYBICJQR2EEVAQNZCD2EBCIWKFI,"19,360.00",True,
30,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,"188,870.65",True,
31,BTXUYQ25Z6E3GMHUW6NHQ2MTDWZUZCR5GU34O3CHUTYKDNWQJDZVPCRPXA,"15,017.92",True,
32,6RHS4VGWJUJGM5MZFDRVVSWUE6RTT6NHFGTFOFC4UDKEGYMK4WYK7O3EWE,"10,000.00",True,
33,CWUANDILUQBUOJT722UD253F3EDLCOI4FOUOECMV2SW2HSCP5EZKZHUPLM,"44,740.54",True,
34,NFS5G7PWHKEUM2U6PNBHWTBDUAHDID4TXJR7DAI55EWIX6O7RIPWUS2LTI,"10,000.00",True,
35,QOJS544V3E2XNGN5PQY6DY3KT536N5SJ2RWAUGR5ZRU2QOXA5Z3YKLXR2I,"73,520.00",True,
