addr,app_id,label,is_cex,entity_name,tags
66PUYUGONQIA4XVPKKMRITCTIB4ZEJWL525WANTWG254B5WDQH2IQLPY4E,,(!) Malicious Account (!) 3,0,(!) Malicious Account (!) 3,Malicious
EX3X3YXIBUMLRSVFRJEHTB5LOKHZPRNPPHG7B2DCXKKQP4A6HJ5W6OQLEA,,123Carbon,0,123Carbon,ECO
HMUMHUEHG4E6NYH5QPJWVNKV7CRF3DDAJEEZF5U53QKGW4HBC5HTMFFAYA,,123Carbon,0,123Carbon,ECO
R3MPVSN4RSU2WPJI4XTUODU5AOC2PSMVC2OSGYKOKR3YPF2LPAOC55OTEA,,123Carbon,0,123Carbon,ECO
IIXNYKEQWCCUM6EGEDDWVNGGCSDBDNLCJTV7GZS32SDFDRI55QLJI6P4KY,,123Carbon,0,123Carbon,
CQ7ADLBX4H6SXYPFG2N4MIAZYTN3GOIGYJO62WLEZPN4XICXOBPEA3ETYY,,2.718.algo,0,2.718.algo,
DE5X2ST7PCJUE5XKNP3IA3TYA5WIDSQHHZ3SBUE6SFEZOKI25ME6JQDI5A,,888eight.algo,0,888eight.algo,
CIRL6FOG3JRFX7VSII5H7XDIVAOO6HDM3TVKNWF4FQZSUWQBRNNAOZ6QFU,,AABBG,0,AABBG,Gold
3O7LC75BSZYL75MHDYYCR6XV7TCJEMA5ZKHKYVEHDTBHV7FVTZ3KAOFJME,,AABBG,0,AABBG,Gold
O7JB4B3QXBBD3GCA4EIRNEUX6ZSQUDA3TMKPD2QT6QSST67IYLSE7FAIBM,,AABBG,0,AABBG,Gold
VQN6LGZ76YJFRHTI6YVKUETTKBAUUH2L4DCXDMAWEU66E5IO3HRBI5WM7E,806492075,ADHDclub.algo,0,ADHDclub,DeFi
3UU6BZDEODSMU7MMIK7O5QNMLIHRPUE6U7P4QOOI6LWH6DBIHS4YICGWXI,,aes.algo,0,aes.algo,
PUTIC5LJFLCQTZWLG52KS5BX2QHWCKJB7JE5544T5NVB46OCDMSOMCAKVQ,,AEX,1,AEX,CEX
IWO3AEVEGU3XWQBBDYV4BEGJU2VIXN6RQ3GKJVNVKM7BQ6IK5BBSUUNBBQ,771945161,Agrotoken,0,Agrotoken,
VMMAGZW3S333RFRMBL4MSHWAPQJIF2WXULBVR7U3EV2TG3BHQX4Z55QTY4,,alexanderthegreat.algo,0,alexanderthegreat.algo,
FAUC7F2DF3UGQFX2QIR5FI5PFKPF6BPVIOSN2X47IKRLO6AMEVA6FFOGUQ,,Algo Faucet,0,Algo Faucet,
YYR2YPPIB26MTWIHVAXK2OBI6SVZ6URKMIICMVZGFTPOFR4FNLWCHRJP44,1049015861,Algo Troops,0,Algo Troops,DeFi
XH6N62VBXRFVB67QLQMG53LKGTTNFTPA4R6JVNFJJEVCWGXS2PMBQYRZRY,962381193,ALGO-BANK Lending Pool Interface Contract,0,Algofi,DeFi
EIJWKMQ6AANY2FH5EZB2BXGOIOWI2ZIT5SUH2FPD5ZTIQYMNCWSBCTLLXM,,algo1.algo,0,algo1.algo,
